R_over_LTi,gamma
1.199999999999999956e+00,-6.986548900604248047e-01
1.373333333333333295e+00,-6.493773460388183594e-01
1.546666666666666634e+00,-6.029631495475769043e-01
1.719999999999999751e+00,-5.594711899757385254e-01
1.893333333333333091e+00,-5.187042355537414551e-01
2.066666666666666430e+00,-4.804020822048187256e-01
2.239999999999999769e+00,-4.443075060844421387e-01
2.413333333333333108e+00,-4.101892411708831787e-01
2.586666666666666448e+00,-3.778430223464965820e-01
2.759999999999999787e+00,-3.470929861068725586e-01
2.933333333333333126e+00,-3.177869021892547607e-01
3.106666666666666465e+00,-2.897926568984985352e-01
3.279999999999999361e+00,-2.629950344562530518e-01
3.453333333333333144e+00,-2.372937649488449097e-01
3.626666666666666039e+00,-2.126009911298751831e-01
3.799999999999999822e+00,-1.888384968042373657e-01
