R_over_LTi,gamma,omega
1.199999999999999956e+00,-7.494115233421325684e-01,4.473706185817718506e-01
1.373333333333333295e+00,-7.616652846336364746e-01,5.300896763801574707e-01
1.546666666666666634e+00,-7.592443823814392090e-01,6.143998503684997559e-01
1.719999999999999751e+00,-7.427526712417602539e-01,6.957041025161743164e-01
1.893333333333333091e+00,-7.146357297897338867e-01,7.703244686126708984e-01
2.066666666666666430e+00,-6.782402396202087402e-01,8.362799882888793945e-01
2.239999999999999769e+00,-6.367453336715698242e-01,8.931439518928527832e-01
2.413333333333333108e+00,-5.926527380943298340e-01,9.414426088333129883e-01
2.586666666666666448e+00,-5.477418899536132812e-01,9.821313023567199707e-01
2.759999999999999787e+00,-5.031977891921997070e-01,1.016285777091979980e+00
2.933333333333333126e+00,-4.597628712654113770e-01,1.044941663742065430e+00
3.106666666666666465e+00,-4.178669154644012451e-01,1.069028615951538086e+00
3.279999999999999361e+00,-3.777273297309875488e-01,1.089342594146728516e+00
3.453333333333333144e+00,-3.394230902194976807e-01,1.106547474861145020e+00
3.626666666666666039e+00,-3.029468357563018799e-01,1.121192216873168945e+00
3.799999999999999822e+00,-2.682392895221710205e-01,1.133723139762878418e+00
