R_over_LTi,gamma_ky0,omega_ky0,gamma_ky1,omega_ky1
1.199999999999999956e+00,-7.494115233421325684e-01,4.473706185817718506e-01,1.343194022774696350e-02,-2.388699769973754883e+00
1.373333333333333295e+00,-7.616652846336364746e-01,5.300896763801574707e-01,1.562061812728643417e-02,-2.386905670166015625e+00
1.546666666666666634e+00,-7.592443823814392090e-01,6.143998503684997559e-01,1.787707395851612091e-02,-2.385116577148437500e+00
1.719999999999999751e+00,-7.427526712417602539e-01,6.957041025161743164e-01,2.020278014242649078e-02,-2.383332252502441406e+00
1.893333333333333091e+00,-7.146357297897338867e-01,7.703244686126708984e-01,2.259958535432815552e-02,-2.381553411483764648e+00
2.066666666666666430e+00,-6.782402396202087402e-01,8.362799882888793945e-01,2.506934292614459991e-02,-2.379781007766723633e+00
2.239999999999999769e+00,-6.367453336715698242e-01,8.931439518928527832e-01,2.761367522180080414e-02,-2.378015518188476562e+00
2.413333333333333108e+00,-5.926527380943298340e-01,9.414426088333129883e-01,3.023466095328330994e-02,-2.376257181167602539e+00
2.586666666666666448e+00,-5.477418899536132812e-01,9.821313023567199707e-01,3.293378651142120361e-02,-2.374507188796997070e+00
2.759999999999999787e+00,-5.031977891921997070e-01,1.016285777091979980e+00,3.571323677897453308e-02,-2.372765541076660156e+00
2.933333333333333126e+00,-4.597628712654113770e-01,1.044941663742065430e+00,3.857489302754402161e-02,-2.371033668518066406e+00
3.106666666666666465e+00,-4.178669154644012451e-01,1.069028615951538086e+00,4.152059555053710938e-02,-2.369311094284057617e+00
3.279999999999999361e+00,-3.777273297309875488e-01,1.089342594146728516e+00,4.455238953232765198e-02,-2.367600440979003906e+00
3.453333333333333144e+00,-3.394230902194976807e-01,1.106547474861145020e+00,4.767230153083801270e-02,-2.365900993347167969e+00
3.626666666666666039e+00,-3.029468357563018799e-01,1.121192216873168945e+00,5.088226497173309326e-02,-2.364213705062866211e+00
3.799999999999999822e+00,-2.682392895221710205e-01,1.133723139762878418e+00,5.418431386351585388e-02,-2.362539768218994141e+00
