ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.050,0.009824,0.036540,0.009943,0.041317,0.012,0.131
0.100,0.030426,0.079845,0.029892,0.078996,-0.018,-0.011
0.150,0.054971,0.126847,0.058059,0.127123,0.056,0.002
0.200,0.075022,0.177868,0.076236,0.185258,0.016,0.042
0.250,0.088412,0.230438,0.090038,0.239169,0.018,0.038
0.300,0.093030,0.281994,0.090428,0.290647,-0.028,0.031
0.350,0.089845,0.330795,0.091826,0.339783,0.022,0.027
0.400,0.080910,0.374944,0.085407,0.384696,0.056,0.026
0.450,0.068488,0.415357,0.072549,0.425188,0.059,0.024
0.500,0.054059,0.455915,0.054553,0.461049,0.009,0.011
0.550,0.034603,0.498353,0.032625,0.491916,-0.057,-0.013
