ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
5.000,1.852071,-2.934911,4.709935,-569.325500,1.543,192.984
10.000,4.644970,-5.964497,6.389998,-33.351704,0.376,4.592
15.000,7.272189,-10.650888,7.827662,-39.271717,0.076,2.687
20.000,9.055227,-15.177515,3.454926,-95.463135,-0.618,5.290
25.000,9.585799,-19.881657,6.189048,-81.426056,-0.354,3.096
30.000,9.053254,-24.591716,5.356543,-105.914230,-0.408,3.307
35.000,7.615385,-29.001972,1.737630,-190.454208,-0.772,5.567
40.000,5.579882,-32.615385,1.413083,-200.868027,-0.747,5.159
45.000,3.136095,-36.355030,2.067618,-222.024551,-0.341,5.107
50.000,1.213018,-38.343195,1.763705,-292.742035,0.454,6.635
