t,W_spectrax,W_gx,Phi2_spectrax,Phi2_gx,qflux_spectrax,qflux_gx,pflux_spectrax,pflux_gx,phi_mode_re,phi_mode_im
7.096817182581687672e-03,7.723706003299145095e+01,5.310932544708251953e+03,4.641798618433615047e+04,3.999728453125000000e+06,-4.473557379976249649e+03,1.504553437500000000e+05,0.000000000000000000e+00,0.000000000000000000e+00,-1.552328627451850407e+00,1.651651910384526412e+00
1.157839710344052593e-02,2.658234232700494317e+02,7.222413864135742188e+02,1.261411833471812969e+02,8.937929835319519043e+02,8.817740205848711810e+01,1.267783355712890625e+02,0.000000000000000000e+00,0.000000000000000000e+00,-1.368151373332938611e-02,-2.930006689077895021e-02
1.620974801296836201e-02,2.589463323232063203e+02,7.347138028144836426e+02,9.962841513921431158e+01,2.927881574630737305e+02,2.574515889775361188e+02,2.432911224365234375e+02,0.000000000000000000e+00,0.000000000000000000e+00,-1.587644915061641598e-02,-1.828095154432412758e-02
2.128060927580196007e-02,2.530144813896824587e+02,6.956445360183715820e+02,1.868182833523048600e+02,2.628778090476989746e+02,3.220517182569495276e+02,3.010324096679687500e+02,0.000000000000000000e+00,0.000000000000000000e+00,-1.800814522340719870e-02,-1.680725917539171652e-02
2.655795958152574326e-02,2.705088011508221939e+02,6.775785360336303711e+02,2.758745191675383239e+02,2.542036000490188599e+02,3.525662402842119150e+02,3.306070251464843750e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.368618555857296762e-02,-1.673426444668586061e-02
3.165729350306575179e-02,2.931495102275644058e+02,6.692201914787292480e+02,1.992561621158818639e+02,2.583321419954299927e+02,3.783115615140062005e+02,3.451090087890625000e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.670761681289854361e-02,-1.474109671683431801e-02
3.669980788289083778e-02,3.022274191764844318e+02,6.699275822639465332e+02,5.675729662688872850e+02,3.368013393878936768e+02,3.863285908103733277e+02,3.530896911621093750e+02,0.000000000000000000e+00,0.000000000000000000e+00,-2.645967925602057957e-02,-1.211067006759064535e-02
4.178542601368418624e-02,3.214937263823562148e+02,6.824799437522888184e+02,3.242260503888559242e+02,2.686913512349128723e+02,4.207733056033276284e+02,3.756376037597656250e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.365679869169488359e-02,-1.214187171449449855e-02
4.697703943336491161e-02,3.481721622022348015e+02,6.947887382507324219e+02,8.261590685519785211e+02,2.752085574269294739e+02,4.202658073384050113e+02,3.998960266113281250e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.520920168513850396e-02,-9.776274337618543961e-03
5.199039434473617244e-02,3.895433606000681834e+02,7.181849694252014160e+02,3.005610926372563654e+02,2.785825710296630859e+02,5.041229778818352543e+02,4.250773315429687500e+02,0.000000000000000000e+00,0.000000000000000000e+00,-3.289929082942603944e-02,-5.528753192513461735e-03
