model,kx,t_nu,response,response_imag,p_max,j_max
coulomb,0.05,0.0,0.0003975325924661,0.0,24,10
coulomb,0.05,0.0499920912112453,0.0002696242405287,-3.356446536391684e-16,24,10
coulomb,0.05,0.0999841824224906,-1.42211916752261e-06,-2.46049995106251e-16,24,10
coulomb,0.05,0.1499762736337359,-0.0001824401350312,1.8579181977567387e-16,24,10
coulomb,0.05,0.1999683648449812,-0.0001316019023307,4.440287793432319e-16,24,10
coulomb,0.05,0.2499604560562265,8.0862212096116e-05,1.5276036048172864e-16,24,10
coulomb,0.05,0.2999525472674718,0.0002474395330893,-4.641618459095153e-16,24,10
coulomb,0.05,0.3499446384787172,0.0002163594610171,-7.64798330053643e-16,24,10
coulomb,0.05,0.3999367296899624,2.3826527960233656e-05,-3.6296058606794784e-16,24,10
coulomb,0.05,0.4499288209012078,-0.0001498343492688,4.1421935397130326e-16,24,10
coulomb,0.05,0.4999209121124531,-0.0001512333311475,7.943541153799833e-16,24,10
coulomb,0.05,0.5499130033236984,8.857341583350205e-06,3.366197010580214e-16,24,10
coulomb,0.05,0.5999050945349437,0.0001742140426598,-5.768927461755409e-16,24,10
coulomb,0.05,0.649897185746189,0.0001925230255542,-1.0618104098473062e-15,24,10
coulomb,0.05,0.6998892769574344,5.319898045602108e-05,-5.934007367207026e-16,24,10
coulomb,0.05,0.7498813681686797,-0.0001105983746982,4.368810852003816e-16,24,10
coulomb,0.05,0.7998734593799249,-0.0001503520293995,1.051137037014461e-15,24,10
coulomb,0.05,0.8498655505911702,-3.761810753335844e-05,6.224579174261305e-16,24,10
coulomb,0.05,0.8998576418024156,0.0001165025599486,-4.86172149245151e-16,24,10
coulomb,0.05,0.9498497330136608,0.0001692646142361,-1.228737206120322e-15,24,10
coulomb,0.05,0.9998418242249062,7.732035268591152e-05,-8.68365200715659e-16,24,10
coulomb,0.05,1.0498339154361516,-6.903391097841837e-05,2.927954935339497e-16,24,10
coulomb,0.05,1.0998260066473968,-0.0001347308742335,1.169895573452839e-15,24,10
coulomb,0.05,1.149818097858642,-6.490139808538023e-05,9.148200179499392e-16,24,10
coulomb,0.05,1.1998101890698871,6.953477521826929e-05,-2.598457596845247e-16,24,10
coulomb,0.05,1.2498022802811326,0.0001428488992912,-1.2562109207694042e-15,24,10
coulomb,0.05,1.299794371492378,9.144153790750107e-05,-1.1217928991146092e-15,24,10
coulomb,0.05,1.3497864627036231,-3.1771172031775914e-05,3.883595770579724e-17,24,10
coulomb,0.05,1.3997785539148688,-0.0001115568975508,1.1447580203400374e-15,24,10
coulomb,0.05,1.449770645126114,-7.825391509415048e-05,1.1508432803954021e-15,24,10
coulomb,0.05,1.4997627363373591,3.141441419961713e-05,3.9535070907192356e-17,24,10
coulomb,0.05,1.5497548275486046,0.0001133611661799,-1.1512142642826872e-15,24,10
coulomb,0.05,1.59974691875985,9.431650328024854e-05,-1.299692502639131e-15,24,10
coulomb,0.05,1.6497390099710951,-3.1737024317594424e-06,-2.5945684252155943e-16,24,10
coulomb,0.05,1.6997311011823404,-8.633847701244083e-05,9.97415133696437e-16,24,10
coulomb,0.05,1.749723192393586,-8.038688130345106e-05,1.2927671463731288e-15,24,10
coulomb,0.05,1.7997152836048311,4.274590977291269e-06,3.4992819008105243e-16,24,10
coulomb,0.05,1.8497073748160764,8.601138132743546e-05,-9.461300779932146e-16,24,10
coulomb,0.05,1.8996994660273216,9.015983228653536e-05,-1.3796840425921997e-15,24,10
coulomb,0.05,1.9496915572385671,1.680769258787547e-05,-5.469474514249167e-16,24,10
coulomb,0.05,1.9996836484498124,-6.315354329920114e-05,7.678119210787412e-16,24,10
