model,kx,t_nu,response,response_imag,p_max,j_max
coulomb,0.05,0.0,0.0003975325924661,0.0,24,10
coulomb,0.05,0.2499604560562265,8.0862212096116e-05,1.5276036048172864e-16,24,10
coulomb,0.05,0.4999209121124531,-0.0001512333311475,7.943541153799833e-16,24,10
coulomb,0.05,0.7498813681686797,-0.0001105983746982,4.368810852003816e-16,24,10
coulomb,0.05,0.9998418242249062,7.732035268591152e-05,-8.68365200715659e-16,24,10
coulomb,0.05,1.2498022802811326,0.0001428488992912,-1.2562109207694042e-15,24,10
coulomb,0.05,1.4997627363373591,3.141441419961713e-05,3.9535070907192356e-17,24,10
coulomb,0.05,1.749723192393586,-8.038688130345106e-05,1.2927671463731288e-15,24,10
coulomb,0.05,1.9996836484498124,-6.315354329920114e-05,7.678119210787412e-16,24,10
coulomb,0.05,2.249644104506039,3.054267989925918e-05,-7.88893581827888e-16,24,10
coulomb,0.05,2.499604560562265,7.206830946154247e-05,-1.2640246984815977e-15,24,10
coulomb,0.05,2.7495650166184924,2.4024260653642488e-05,-1.0366502225914032e-16,24,10
coulomb,0.05,2.9995254726747187,-3.683579851822477e-05,1.064686773263143e-15,24,10
coulomb,0.05,3.249485928730945,-3.611982517154922e-05,7.469159144006369e-16,24,10
coulomb,0.05,3.4994463847871717,1.1192005693609508e-05,-4.980743650523928e-16,24,10
coulomb,0.05,3.749406840843398,3.848379283108494e-05,-9.919213255634308e-16,24,10
coulomb,0.05,3.999367296899625,1.7799392226174062e-05,-2.02470291417902e-16,24,10
coulomb,0.05,4.2493277529558515,-1.5664398037980036e-05,7.197059628334796e-16,24,10
coulomb,0.05,4.499288209012078,-1.942806226891342e-05,6.060399994050506e-16,24,10
coulomb,0.05,4.749248665068304,4.245680297053807e-06,-2.596938967686855e-16,24,10
coulomb,0.05,4.99920912112453,2.106726634027497e-05,-6.959062277437189e-16,24,10
coulomb,0.05,5.249169577180758,1.2592149552701145e-05,-2.2485942155380076e-16,24,10
coulomb,0.05,5.499130033236985,-5.46210607791278e-06,4.353122337710982e-16,24,10
coulomb,0.05,5.749090489293211,-9.552523526049908e-06,4.4130361916669593e-16,24,10
coulomb,0.05,5.999050945349437,2.001687864824365e-06,-1.1191333356014196e-16,24,10
coulomb,0.05,6.249011401405664,1.1952503632359809e-05,-4.551586803939756e-16,24,10
coulomb,0.05,6.49897185746189,8.8439097953329e-06,-2.0127976034755164e-16,24,10
coulomb,0.05,6.748932313518116,-7.105334293308172e-07,2.4013767122001093e-16,24,10
coulomb,0.05,6.9988927695743435,-3.9439908851155486e-06,2.973506396485024e-16,24,10
coulomb,0.05,7.24885322563057,1.5381537713555396e-06,-3.475448974478299e-17,24,10
coulomb,0.05,7.498813681686796,7.257633454250829e-06,-2.8410336643689614e-16,24,10
coulomb,0.05,7.748774137743022,6.366946387179172e-06,-1.6096017159847684e-16,24,10
coulomb,0.05,7.99873459379925,1.4001663231309444e-06,1.1941604793503332e-16,24,10
coulomb,0.05,8.248695049855476,-8.465329557554014e-07,1.877824189079408e-16,24,10
coulomb,0.05,8.498655505911703,1.6660803713530826e-06,-1.4979808691465272e-18,24,10
coulomb,0.05,8.748615961967928,4.874917156661801e-06,-1.7228993137593464e-16,24,10
coulomb,0.05,8.998576418024156,4.80759128959869e-06,-1.2060079036960765e-16,24,10
coulomb,0.05,9.248536874080385,2.271883213716615e-06,5.023023043660137e-17,24,10
coulomb,0.05,9.498497330136608,8.204049827376383e-07,1.1103178810449132e-16,24,10
coulomb,0.05,9.748457786192835,1.9195307960206315e-06,8.196292393820006e-18,24,10
coulomb,0.05,9.99841824224906,3.6810797546732432e-06,-1.0351266923878816e-16,24,10
