model,coordinate,kx,t_nu,abscissa,normalized_distribution,p_max,j_max
coulomb,parallel,0.19999999999999998,5.001708725685093,-3.0,0.0004615911805450046,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.925,0.0007342790188989503,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.85,0.0011424667980676599,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.775,0.0017426872415087372,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.7,0.0026118750497493215,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.625,0.0038537122964699727,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.55,0.0056059474997917705,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.475,0.008047823777628223,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.4,0.011406118854712525,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.325,0.01595796390243399,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.25,0.022028922810250703,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.175,0.02998590053047311,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.1,0.04022607968276289,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-2.025,0.053164742167268186,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.95,0.06922586344691876,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.875,0.08883912741631865,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.8,0.11244502698764343,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.725,0.14050591887714614,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.6500000000000001,0.17351589804472847,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.575,0.21199761678940598,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.5,0.25647186751246803,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.425,0.3073880202492151,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.35,0.3650111661720218,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.2750000000000001,0.42927375091519054,24,10
coulomb,parallel,0.19999999999999998,5.001708725685093,-1.2000000000000002,0.49961220068779705,24,10
