ky,gamma,omega,gamma_gx,omega_gx,rel_gamma,rel_omega
0.05000000074505806,0.013900571517004938,0.038088376701340285,0.005972310435026884,0.03009350597858429,1.3275031779124797,0.26566764033560786
0.10000000149011612,0.0320036992197826,0.07933079595754412,0.028313452377915382,0.07955789566040039,0.13033546007076216,-0.0028545212385413256
0.15000000596046448,0.05390396389721694,0.12640033307639312,0.05492059141397476,0.1264277845621109,-0.018510862512291486,-0.00021713174689300176
0.20000000298023224,0.0730085542611709,0.17803960058526005,0.0749322921037674,0.17772024869918823,-0.02567301477889505,0.0017969358495123534
0.25,0.08560515491679126,0.2325408297466515,0.08844922482967377,0.23042719066143036,-0.03215483141157338,0.009172698235629377
0.30000001192092896,0.09013392389130236,0.2861086706785836,0.09302356094121933,0.2820577919483185,-0.031063496394670452,0.014361874927416824
0.3499999940395355,0.0871387770461457,0.33882498660742527,0.0898807942867279,0.3307340443134308,-0.030507265343416103,0.02446359071014426
0.4000000059604645,0.07794335430021593,0.3880309434358905,0.08078324794769287,0.3749857544898987,-0.035154487095093945,0.03478849206881867
0.45000001788139343,0.0636336153675742,0.43419816004729145,0.0683639794588089,0.4153391122817993,-0.06919380832832983,0.045406385307379005
0.5,0.0495790442482832,0.47654083775972794,0.054179247468709946,0.455549955368042,-0.08490710807830049,0.04607811315605831
