ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.050,0.009824,0.036540,-0.135596,0.281819,-14.802,6.713
0.100,0.030426,0.079845,-0.080230,0.007287,-3.637,-0.909
0.150,0.054971,0.126847,-0.072060,0.040329,-2.311,-0.682
0.200,0.075022,0.177868,-0.014806,-0.003004,-1.197,-1.017
0.250,0.088412,0.230438,0.020138,0.048753,-0.772,-0.788
0.300,0.093030,0.281994,-0.035438,0.045305,-1.381,-0.839
0.350,0.089845,0.330795,0.036601,-0.002611,-0.593,-1.008
0.400,0.080910,0.374944,-0.001371,0.068531,-1.017,-0.817
0.450,0.068488,0.415357,-0.143219,0.182417,-3.091,-0.561
0.500,0.054059,0.455915,-0.577913,0.634529,-11.690,0.392
0.550,0.034603,0.498353,0.006580,0.376672,-0.810,-0.244
