ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.050,0.009824,0.036540,0.012390,0.026548,0.261,-0.273
0.100,0.030426,0.079845,0.018319,0.084518,-0.398,0.059
0.150,0.054971,0.126847,0.029751,0.124376,-0.459,-0.019
0.200,0.075022,0.177868,0.062221,0.182432,-0.171,0.026
0.250,0.088412,0.230438,0.079221,0.236410,-0.104,0.026
0.300,0.093030,0.281994,0.084244,0.287465,-0.094,0.019
0.350,0.089845,0.330795,0.077441,0.339609,-0.138,0.027
0.400,0.080910,0.374944,0.065579,0.389943,-0.189,0.040
0.450,0.068488,0.415357,0.047484,0.432924,-0.307,0.042
0.500,0.054059,0.455915,0.018705,0.467610,-0.654,0.026
0.550,0.034603,0.498353,0.008286,0.511108,-0.761,0.026
