ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.050,0.009824,0.036540,0.018968,0.035506,0.931,-0.028
0.100,0.030426,0.079845,0.009536,0.055767,-0.687,-0.302
0.150,0.054971,0.126847,0.028753,0.126247,-0.477,-0.005
0.200,0.075022,0.177868,0.059999,0.184514,-0.200,0.037
0.250,0.088412,0.230438,0.081533,0.236527,-0.078,0.026
0.300,0.093030,0.281994,0.086812,0.285866,-0.067,0.014
0.350,0.089845,0.330795,0.082207,0.335984,-0.085,0.016
0.400,0.080910,0.374944,0.072890,0.382703,-0.099,0.021
0.450,0.068488,0.415357,0.057521,0.422664,-0.160,0.018
0.500,0.054059,0.455915,0.034688,0.455669,-0.358,-0.001
0.550,0.034603,0.498353,0.004530,0.484447,-0.869,-0.028
