ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.050,0.009824,0.036540,0.009540,0.038474,-0.029,0.053
0.100,0.030426,0.079845,0.026013,0.082287,-0.145,0.031
0.150,0.054971,0.126847,0.049637,0.128538,-0.097,0.013
0.200,0.075022,0.177868,0.070234,0.178765,-0.064,0.005
0.250,0.088412,0.230438,0.082966,0.230058,-0.062,-0.002
0.300,0.093030,0.281994,0.086687,0.280517,-0.068,-0.005
0.350,0.089845,0.330795,0.081839,0.328543,-0.089,-0.007
0.400,0.080910,0.374944,0.068922,0.372687,-0.148,-0.006
0.450,0.068488,0.415357,0.048373,0.411677,-0.294,-0.009
0.500,0.054059,0.455915,0.020637,0.443158,-0.618,-0.028
0.550,0.034603,0.498353,-0.011664,0.460981,-1.337,-0.075
