ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
5.000,1.852071,-2.934911,4.551947,-563.904297,1.458,191.137
10.000,4.644970,-5.964497,6.675652,-30.151196,0.437,4.055
15.000,7.272189,-10.650888,9.012527,-31.881781,0.239,1.993
20.000,9.055227,-15.177515,9.088943,-37.137859,0.004,1.447
25.000,9.585799,-19.881657,9.572530,-46.510101,-0.001,1.339
30.000,9.053254,-24.591716,8.311725,-57.025604,-0.082,1.319
35.000,7.615385,-29.001972,6.989770,-62.200531,-0.082,1.145
40.000,5.579882,-32.615385,5.101785,-17.905531,-0.086,-0.451
45.000,3.136095,-36.355030,4.798506,-4.531071,0.530,-0.875
50.000,1.213018,-38.343195,4.763532,-2.851847,2.927,-0.926
