case,vmec_file,returncode,best_ky,best_gamma,best_omega,log
DSHAPE_nc,/home/rjorge/src/vmex/examples/data/wout_DSHAPE.nc,0,0.4762,0.09619,0.062517,/home/rjorge/gkx_qh_convergence/tools_out/candidate_screen/DSHAPE_nc.log
circular_tokamak_nc,/home/rjorge/src/vmex/examples/data/wout_circular_tokamak.nc,0,0.4762,0.089094,0.407803,/home/rjorge/gkx_qh_convergence/tools_out/candidate_screen/circular_tokamak_nc.log
circular_tokamak_reference_nc,/home/rjorge/src/vmex/examples/data/wout_circular_tokamak_reference.nc,0,0.4762,0.089094,0.407803,/home/rjorge/gkx_qh_convergence/tools_out/candidate_screen/circular_tokamak_reference_nc.log
ITERModel_reference_nc,/home/rjorge/src/vmex/examples/data/wout_ITERModel_reference.nc,0,0.4762,0.088737,0.408683,/home/rjorge/gkx_qh_convergence/tools_out/candidate_screen/ITERModel_reference_nc.log
cth_like_fixed_bdy_nc,/home/rjorge/src/vmex/examples/data/wout_cth_like_fixed_bdy.nc,0,0.2857142857142857,0.04880132171848534,0.0592529538169946,docs/_static/quasilinear_vmex_cth_like_linear_spectrum_scan.csv
shaped_tokamak_pressure_reference_nc,/home/rjorge/src/vmex/examples/data/wout_shaped_tokamak_pressure_reference.nc,0,0.4762,0.047324,0.282209,/home/rjorge/gkx_qh_convergence/tools_out/candidate_screen/shaped_tokamak_pressure_reference_nc.log
nfp4_QH_warm_start_nc,/home/rjorge/src/vmex/examples/data/wout_nfp4_QH_warm_start.nc,0,0.4762,0.022949,0.045872,tools_out/candidate_screen_qh_warm_start/nfp4_QH_warm_start_linear_scan.log
QI_stel_seed_3127_nc,/Users/rogeriojorge/local/vmex/examples/data/wout_QI_stel_seed_3127.nc,0,0.1429,0.003835,-0.089976,tools_out/candidate_screen_qi_seed/qi_seed_lowky_scan.log
LandremanSengupta2019_section5_4_B2_A80_reference_nc,/home/rjorge/src/vmex/examples/data/wout_LandremanSengupta2019_section5.4_B2_A80_reference.nc,0,0.1905,-0.001248,-0.143501,/home/rjorge/gkx_qh_convergence/tools_out/candidate_screen/LandremanSengupta2019_section5_4_B2_A80_reference_nc.log
LandremanPaul2021_QH_reactorScale_lowres_reference_nc,/home/rjorge/src/vmex/examples/data/wout_LandremanPaul2021_QH_reactorScale_lowres_reference.nc,0,0.4762,-0.012907,-0.090396,/home/rjorge/gkx_qh_convergence/tools_out/candidate_screen/LandremanPaul2021_QH_reactorScale_lowres_reference_nc.log
li383_low_res_nc,/Users/rogeriojorge/local/vmex/examples/data/wout_li383_low_res.nc,0,0.4762,-0.016791,-0.165161,tools_out/candidate_screen_li383/li383_linear_scan.log
nfp3_QI_fixed_resolution_final_nc,/home/rjorge/src/vmex/examples/data/wout_nfp3_QI_fixed_resolution_final.nc,0,0.381,-0.028655,-0.028482,/home/rjorge/gkx_qh_convergence/tools_out/candidate_screen/nfp3_QI_fixed_resolution_final_nc.log
LandremanPaul2021_QA_lowres_reference_nc,/home/rjorge/src/vmex/examples/data/wout_LandremanPaul2021_QA_lowres_reference.nc,1,,,,/home/rjorge/gkx_qh_convergence/tools_out/candidate_screen/LandremanPaul2021_QA_lowres_reference_nc.log
basic_non_stellsym_pressure_nc,/home/rjorge/src/vmex/examples/data/wout_basic_non_stellsym_pressure.nc,1,,,,/home/rjorge/gkx_qh_convergence/tools_out/candidate_screen/basic_non_stellsym_pressure_nc.log
basic_non_stellsym_simsopt_nc,/Users/rogeriojorge/local/vmex/examples/data/wout_basic_non_stellsym_simsopt.nc,1,,,,tools_out/candidate_screen_basic_nonstellsym/basic_nonstellsym_linear_scan.log
LandremanSenguptaPlunk_section5p3_low_res_reference_nc,/home/rjorge/src/vmex/examples/data/wout_LandremanSenguptaPlunk_section5p3_low_res_reference.nc,0,0.4762,0.00730717113708,-0.0262981587916,tools_out/external_vmec_linear_screen_20260612/LandremanSenguptaPlunk_section5p3_low_res_reference_nc.log
basic_non_stellsym_pressure_reference_nc,/home/rjorge/src/vmex/examples/data/wout_basic_non_stellsym_pressure_reference.nc,1,,,,tools_out/external_vmec_linear_screen_20260612/basic_non_stellsym_pressure_reference_nc.log
solovev_reference_nc,/home/rjorge/src/vmex/examples/data/wout_solovev_reference.nc,0,0.2857,0.0944048057885,0.0715627460964,tools_out/external_vmec_linear_screen_20260612/solovev_reference_nc.log
up_down_asymmetric_tokamak_reference_nc,/home/rjorge/src/vmex/examples/data/wout_up_down_asymmetric_tokamak_reference.nc,0,0.4762,0.0360084948079,0.253801712347,tools_out/external_vmec_linear_screen_20260612/up_down_asymmetric_tokamak_reference_nc.log
