t,heat_flux
0.0399999991059,6.12153428392e-07
2.0399992466,2.62984594883e-05
4.03999757767,4.76170025649e-05
6.03999567032,7.81857670518e-05
8.03999423981,0.000130235959659
10.0399923325,0.000220007670578
12.0399904251,0.000376865122234
14.0399885178,0.000654813135043
16.0399875641,0.0011529775802
18.0400333405,0.00205367873423
20.0400791168,0.00369322439656
22.0401248932,0.00669372174889
24.0401706696,0.0122093921527
26.0402164459,0.0223840791732
28.0402622223,0.0411989316344
30.0403079987,0.0760328322649
32.0403518677,0.14048859477
34.040397644,0.259361952543
36.0404434204,0.476927697659
38.0404891968,0.869540810585
40.0405349731,1.56188809872
42.0405807495,2.74035930634
44.0406265259,4.63216209412
46.0406723022,7.32199859619
48.0407180786,10.2591648102
50.040763855,12.5657615662
52.0408096313,13.7708110809
54.0408554077,13.7573127747
56.0409011841,12.4043388367
58.0409469604,10.930223465
60.0409927368,10.7745742798
62.0410385132,10.3583564758
64.0410842896,10.3688421249
66.0411300659,10.6267938614
68.0411758423,11.3371925354
70.0412216187,11.9987392426
72.041267395,12.5811014175
74.0413131714,13.578874588
76.0413589478,14.3810920715
78.0414047241,14.7731590271
80.0414505005,15.1151752472
82.0414962769,15.4665031433
84.0415420532,15.6727352142
86.0415878296,15.1630373001
88.041633606,14.135307312
90.0416793823,14.3485507965
92.0417251587,15.1771240234
94.0417709351,15.6201429367
96.0418167114,16.0590000153
98.0418624878,16.2570915222
100.041908264,16.4814949036
102.041954041,17.796207428
104.041999817,18.3703670502
106.042045593,18.9460411072
108.04209137,19.7544593811
110.042137146,19.4241085052
112.042182922,19.2530384064
114.042228699,18.3432807922
116.042274475,16.3820114136
118.042320251,15.5118198395
120.042366028,15.0215950012
122.042411804,14.2916040421
124.042457581,14.2201700211
126.042503357,14.6422386169
128.042541504,15.0998039246
130.042205811,15.6682033539
132.041870117,16.66248703
134.041534424,17.6013622284
136.04119873,18.1866321564
138.040863037,18.0935745239
140.040527344,18.3177185059
142.04019165,18.8279533386
144.039855957,19.6426544189
146.039520264,21.0536804199
148.03918457,22.4174900055
149.998855591,22.4174900055
150.038848877,23.3744049072
152.038848877,24.2824020386
154.038848877,23.853925705
156.038848877,22.2384376526
158.038848877,21.2185401917
160.038848877,20.8561172485
162.038848877,20.0350761414
164.038848877,19.5967273712
166.038848877,18.4098815918
168.038894653,18.1059398651
170.03894043,18.7704601288
172.038986206,19.5942668915
174.039031982,20.5372581482
176.039077759,21.9238395691
178.039123535,22.8121356964
180.039169312,23.4531650543
182.039215088,24.3327312469
184.039245605,24.5150756836
186.039306641,23.6037559509
188.039337158,24.7043590546
190.039398193,24.46185112
192.039428711,25.3137607574
194.039489746,25.8735160828
196.039520264,26.1563148499
198.039581299,26.1952362061
200.039611816,25.8095703125
202.039672852,25.4160556793
204.039703369,25.3758430481
206.039764404,24.5480422974
208.039794922,23.0097866058
210.039855957,22.0961437225
212.039886475,21.8072280884
214.03994751,21.2448501587
216.039978027,20.7132949829
218.040039062,18.6670875549
