t,heat_flux
0.0500000007451,7.31214925054e-07
2.54999876022,2.96451416943e-05
5.05000114441,5.6034867157e-05
7.55001068115,0.000103836609924
10.0500202179,0.000197712244699
12.5500297546,0.000384702521842
15.0500392914,0.000765766948462
17.5500183105,0.00155629054643
20.0499801636,0.00321713346057
22.5499420166,0.00673958892003
25.0499038696,0.0142656154931
27.5498657227,0.0304334815592
30.0498275757,0.0652793869376
32.5497894287,0.140386849642
35.0497512817,0.301402926445
37.5497131348,0.641501605511
40.0496749878,1.33914756775
42.5496368408,2.70259284973
45.0495986938,5.1605682373
47.5495605469,8.818775177
50.0495223999,12.1470842361
52.5494842529,13.0514392853
55.049446106,11.0060634613
57.549407959,9.72584819794
60.049369812,9.49395847321
62.549331665,9.20924949646
65.049369812,9.86510372162
67.5495223999,10.802854538
70.0496749878,11.3578472137
72.5498275757,11.1702413559
75.0499801636,11.657834053
77.5501327515,12.5060148239
80.0502853394,13.4754076004
82.5504379272,14.3135452271
85.0505905151,15.2331733704
87.550743103,15.9948225021
90.0508956909,16.4589252472
92.5510482788,15.6164655685
95.0512008667,14.2765169144
97.5513534546,14.3694934845
100.051506042,14.8248767853
102.55165863,15.2633132935
105.051811218,16.0407314301
107.551963806,17.215177536
110.052116394,18.8966274261
112.552268982,20.5314388275
115.05242157,21.0596981049
117.552574158,21.1164360046
120.052726746,22.6190185547
122.552879333,22.4017810822
125.053031921,22.2523498535
127.553184509,21.5564098358
130.053329468,18.5769729614
132.553482056,18.7165927887
135.053634644,18.2670898438
137.553787231,17.410074234
140.053939819,18.0481529236
142.554092407,18.1520519257
145.054244995,18.226600647
147.554397583,18.1535415649
150.004547119,18.1535415649
150.054550171,18.597858429
152.554550171,19.8730201721
155.054550171,20.2839775085
157.55456543,20.1466255188
160.05456543,20.6127052307
162.554580688,21.8033676147
165.054580688,23.5232696533
167.55456543,24.9988937378
170.054534912,26.9526691437
172.554489136,27.4956493378
175.054443359,27.5329551697
177.554412842,27.3172492981
180.054382324,25.1742229462
182.554336548,22.3180332184
185.054290771,20.6356220245
187.554260254,20.0711574554
190.054229736,18.5234642029
192.55418396,17.544511795
195.054138184,18.4062690735
197.554107666,19.2947349548
200.054077148,19.4690704346
202.554031372,19.5705623627
205.053985596,19.6229286194
207.553955078,19.4762630463
210.053924561,20.0213031769
212.553878784,19.8510971069
215.053924561,20.6321659088
217.554077148,20.3203468323
220.054229736,20.9898300171
222.554382324,20.620677948
225.054534912,20.1498947144
227.5546875,20.2530536652
230.054840088,20.5947666168
232.554992676,21.7054290771
235.055145264,22.0576152802
237.555297852,21.7987880707
240.055450439,22.2102088928
242.555603027,22.6705131531
245.055755615,22.0129566193
247.555908203,22.9405860901
250.056060791,24.2862091064
252.556213379,24.6905345917
255.056365967,25.1575469971
257.556518555,26.7021179199
260.056671143,27.1691150665
262.55682373,26.5552787781
265.056976318,25.8616752625
267.557128906,24.7723617554
270.057281494,23.498500824
272.557434082,24.3474578857
275.05758667,24.5322780609
277.557739258,22.7475662231
280.057861328,21.5885410309
282.558044434,21.4961795807
285.058166504,21.068353653
287.558349609,20.2283878326
290.05847168,19.0290718079
292.558654785,17.7174186707
295.058776855,17.094833374
