t,heat_flux,wphi,wg
5.0000000745058060e-02,5.6393304248558707e-07,6.3649204093962908e-06,8.0109472037293017e-05
2.5499987602233887e+00,2.8042031772201881e-05,6.5108010858239140e-06,1.6990309813991189e-04
5.0500011444091797e+00,6.2613180489279330e-05,8.1448260971228592e-06,4.5053975190967321e-04
7.5500106811523438e+00,1.2249118299223483e-04,1.2328634511504788e-05,9.8869483917951584e-04
1.0050020217895508e+01,2.4411085178144276e-04,2.1980922610964626e-05,2.0138218533247709e-03
1.2550029754638672e+01,4.9981346819549799e-04,4.2854964704019949e-05,4.0669487789273262e-03
1.5050039291381836e+01,1.0442079510539770e-03,8.7586893641855568e-05,8.3146663382649422e-03
1.7550018310546875e+01,2.2235608194023371e-03,1.8469076894689351e-04,1.7302541062235832e-02
2.0049980163574219e+01,4.8223868943750858e-03,3.9876985829323530e-04,3.6708131432533264e-02
2.2549942016601562e+01,1.0625204071402550e-02,8.7664916645735502e-04,7.9341247677803040e-02
2.5049903869628906e+01,2.3714706301689148e-02,1.9540609791874886e-03,1.7430168390274048e-01
2.7549865722656250e+01,5.3476274013519287e-02,4.4034766033291817e-03,3.8810145854949951e-01
3.0049827575683594e+01,1.2150656431913376e-01,1.0009068064391613e-02,8.7339657545089722e-01
3.2549789428710938e+01,2.7727931737899780e-01,2.2894682362675667e-02,1.9806714057922363e+00
3.5049751281738281e+01,6.3255816698074341e-01,5.2553452551364899e-02,4.5098719596862793e+00
3.7549713134765625e+01,1.4320957660675049e+00,1.2059018015861511e-01,1.0256422042846680e+01
4.0049674987792969e+01,3.1794359683990479e+00,2.7529451251029968e-01,2.3106983184814453e+01
4.2549636840820312e+01,6.7747731208801270e+00,6.2281906604766846e-01,5.0866737365722656e+01
4.5049598693847656e+01,1.3013935089111328e+01,1.3931095600128174e+00,1.0613350677490234e+02
4.7549560546875000e+01,1.7539869308471680e+01,3.0133638381958008e+00,1.8938749694824219e+02
5.0049522399902344e+01,1.5736755371093750e+01,4.6374464035034180e+00,2.5326596069335938e+02
5.2549484252929688e+01,1.1935795783996582e+01,4.8273444175720215e+00,2.7200695800781250e+02
5.5049446105957031e+01,1.0629284858703613e+01,4.8236966133117676e+00,2.6253167724609375e+02
5.7549407958984375e+01,1.0568174362182617e+01,4.4205837249755859e+00,2.4575190734863281e+02
6.0049369812011719e+01,1.0661107063293457e+01,4.0665512084960938e+00,2.3622134399414062e+02
