t,heat_flux,wphi,wg
5.0000000745058060e-02,2.5221544319720124e-07,2.9232164706627373e-06,3.6769481084775180e-05
2.5499987602233887e+00,1.2509603038779460e-05,2.9083487333991798e-06,7.7385324402712286e-05
5.0500011444091797e+00,2.6912695830105804e-05,3.4133452118112473e-06,2.0281321485526860e-04
7.5500106811523438e+00,4.8280297050951049e-05,4.5615124690812081e-06,4.2848871089518070e-04
1.0050020217895508e+01,8.5614665294997394e-05,6.9926322794344742e-06,8.0957805039361119e-04
1.2550029754638672e+01,1.5513574180658907e-04,1.1789545169449411e-05,1.4758628094568849e-03
1.5050039291381836e+01,2.8693469357676804e-04,2.1053980162832886e-05,2.6875939220190048e-03
1.7550018310546875e+01,5.4014666238799691e-04,3.8967467844486237e-05,4.9518244341015816e-03
2.0049980163574219e+01,1.0326683986932039e-03,7.3871713539119810e-05,9.2683536931872368e-03
2.2549942016601562e+01,2.0004864782094955e-03,1.4244367775972933e-04,1.7623290419578552e-02
2.5049903869628906e+01,3.9202282205224037e-03,2.7824554126709700e-04,3.3986438065767288e-02
2.7549865722656250e+01,7.7605880796909332e-03,5.4930977057665586e-04,6.6354699432849884e-02
3.0049827575683594e+01,1.5498326160013676e-02,1.0943606030195951e-03,1.3094252347946167e-01
3.2549789428710938e+01,3.1179249286651611e-02,2.1975759882479906e-03,2.6077938079833984e-01
3.5049751281738281e+01,6.3093945384025574e-02,4.4434131123125553e-03,5.2334976196289062e-01
3.7549713134765625e+01,1.2819825112819672e-01,9.0378969907760620e-03,1.0566711425781250e+00
4.0049674987792969e+01,2.6089891791343689e-01,1.8474139273166656e-02,2.1423051357269287e+00
4.2549636840820312e+01,5.2977925539016724e-01,3.7901930510997772e-02,4.3496465682983398e+00
4.5049598693847656e+01,1.0670580863952637e+00,7.7906534075737000e-02,8.8084287643432617e+00
4.7549560546875000e+01,2.1139867305755615e+00,1.5996709465980530e-01,1.7683509826660156e+01
5.0049522399902344e+01,4.0744643211364746e+00,3.2625693082809448e-01,3.4889293670654297e+01
5.2549484252929688e+01,7.5128207206726074e+00,6.5510857105255127e-01,6.6812133789062500e+01
5.5049446105957031e+01,1.2728278160095215e+01,1.2974944114685059e+00,1.2145572662353516e+02
5.7549407958984375e+01,1.8033498764038086e+01,2.4225499629974365e+00,1.9961572265625000e+02
6.0049369812011719e+01,2.2254095077514648e+01,3.5986840724945068e+00,2.8900711059570312e+02
6.2549331665039062e+01,2.5218803405761719e+01,5.3166103363037109e+00,3.7721789550781250e+02
6.5049369812011719e+01,2.5893253326416016e+01,6.1305518150329590e+00,4.5349810791015625e+02
6.7549522399902344e+01,2.6828445434570312e+01,7.7154512405395508e+00,5.1012628173828125e+02
7.0049674987792969e+01,2.5380638122558594e+01,8.1368503570556641e+00,5.4719769287109375e+02
7.2549827575683594e+01,2.6060272216796875e+01,8.3220901489257812e+00,5.6063641357421875e+02
7.5049980163574219e+01,2.5579566955566406e+01,8.0179548263549805e+00,5.6575054931640625e+02
7.7550132751464844e+01,2.3949626922607422e+01,8.7489356994628906e+00,5.6666827392578125e+02
8.0050285339355469e+01,2.2732601165771484e+01,7.8082346916198730e+00,5.5494805908203125e+02
8.2550437927246094e+01,2.1347972869873047e+01,7.7742562294006348e+00,5.3886706542968750e+02
8.5050590515136719e+01,1.9871397018432617e+01,8.0115556716918945e+00,5.1343975830078125e+02
8.7550743103027344e+01,2.0857282638549805e+01,6.7914586067199707e+00,4.9860931396484375e+02
9.0050895690917969e+01,2.2703125000000000e+01,7.1528019905090332e+00,4.9934652709960938e+02
9.2551048278808594e+01,2.3814731597900391e+01,7.8810191154479980e+00,5.1173422241210938e+02
9.5051200866699219e+01,2.4050987243652344e+01,7.3312187194824219e+00,5.2891668701171875e+02
9.7551353454589844e+01,2.5605934143066406e+01,8.0145969390869141e+00,5.4772698974609375e+02
1.0005150604248047e+02,2.3458864212036133e+01,7.7125892639160156e+00,5.5492956542968750e+02
1.0255165863037109e+02,2.3358755111694336e+01,7.5396633148193359e+00,5.5424902343750000e+02
1.0505181121826172e+02,2.2181529998779297e+01,7.9413886070251465e+00,5.4588391113281250e+02
1.0755196380615234e+02,2.0080528259277344e+01,8.2536773681640625e+00,5.2516491699218750e+02
1.1005211639404297e+02,2.0923788070678711e+01,7.8065690994262695e+00,5.0579385375976562e+02
1.1255226898193359e+02,2.0999464035034180e+01,7.6476302146911621e+00,4.9660244750976562e+02
1.1505242156982422e+02,2.1631103515625000e+01,7.8798727989196777e+00,4.9761392211914062e+02
1.1755257415771484e+02,2.2263647079467773e+01,7.5808939933776855e+00,4.9985333251953125e+02
1.2005272674560547e+02,2.1661182403564453e+01,7.2509875297546387e+00,5.0414245605468750e+02
1.2255287933349609e+02,2.0181156158447266e+01,8.0187397003173828e+00,5.0164819335937500e+02
1.2505303192138672e+02,2.3449937820434570e+01,7.6612124443054199e+00,5.0208212280273438e+02
1.2755318450927734e+02,2.2955656051635742e+01,7.3629193305969238e+00,5.2141857910156250e+02
1.3005332946777344e+02,2.2498956680297852e+01,7.0981826782226562e+00,5.2870837402343750e+02
1.3255348205566406e+02,2.2938692092895508e+01,7.5627093315124512e+00,5.3405883789062500e+02
1.3505363464355469e+02,2.4309278488159180e+01,7.0376582145690918e+00,5.4236505126953125e+02
1.3755378723144531e+02,2.5312049865722656e+01,7.7125830650329590e+00,5.5959613037109375e+02
1.4005393981933594e+02,2.4637987136840820e+01,7.6835651397705078e+00,5.7218743896484375e+02
1.4255409240722656e+02,2.4682245254516602e+01,7.4398455619812012e+00,5.7945147705078125e+02
1.4505424499511719e+02,2.4256721496582031e+01,7.8219141960144043e+00,5.7786297607421875e+02
1.4755439758300781e+02,2.6265848159790039e+01,7.8039245605468750e+00,5.8405920410156250e+02
1.5000454711914062e+02,2.6265848159790039e+01,7.8039245605468750e+00,5.8405920410156250e+02
