t,heat_flux
0.0399999991059,7.64799608532e-07
2.0399992466,3.58292745659e-05
4.03999757767,8.13857477624e-05
6.03999567032,0.000175203735125
8.03999423981,0.000383896636777
10.0399923325,0.000864815316163
12.0399904251,0.00199715653434
14.0399885178,0.00470392452553
16.0399875641,0.0112460181117
18.0400333405,0.0272113271058
20.0400791168,0.0664816349745
22.0401248932,0.163636595011
24.0401706696,0.404714822769
26.0402164459,1.00185620785
28.0402622223,2.46516299248
30.0403079987,5.9536356926
32.0403518677,13.8099060059
34.040397644,29.6154556274
36.0404434204,49.7876548767
38.0404891968,31.3906955719
40.0405349731,15.5072460175
42.0405807495,14.2400150299
44.0406265259,13.3249826431
46.0406723022,11.8265123367
48.0407180786,11.583026886
50.040763855,12.5276508331
52.0408096313,13.7354316711
54.0408554077,14.9737930298
56.0409011841,15.1191616058
58.0409469604,15.6316289902
60.0409927368,16.9950199127
62.0410385132,18.6030311584
64.0410842896,19.0821666718
66.0411300659,19.1894264221
68.0411758423,18.2848358154
70.0412216187,17.9646682739
72.041267395,17.7609596252
74.0413131714,17.4521198273
76.0413589478,17.8780555725
78.0414047241,18.4108428955
80.0414505005,19.0466995239
82.0414962769,18.5424346924
84.0415420532,18.1320323944
86.0415878296,18.7550048828
88.041633606,19.2678661346
90.0416793823,18.8797092438
92.0417251587,20.2753276825
94.0417709351,20.7911567688
96.0418167114,21.2741928101
98.0418624878,21.9909095764
100.041908264,22.2264633179
102.041954041,22.0109901428
104.041999817,21.8086700439
106.042045593,21.2742996216
108.04209137,21.2536373138
110.042137146,20.3713912964
112.042182922,20.9102401733
114.042228699,21.356842041
116.042274475,20.1303749084
118.042320251,19.9027252197
120.042366028,19.352596283
122.042411804,17.9717731476
124.042457581,17.2379379272
126.042503357,17.811756134
128.042541504,18.8814487457
130.042205811,19.9959812164
132.041870117,19.3558998108
134.041534424,19.73595047
136.04119873,18.5185604095
138.040863037,16.5601501465
140.040527344,16.425737381
142.04019165,17.2485122681
144.039855957,17.4979629517
146.039520264,17.0488185883
148.03918457,16.1791286469
149.998855591,16.1791286469
150.038848877,15.8777179718
152.038848877,15.7644376755
154.038848877,15.4649915695
156.038848877,15.6776332855
158.038848877,16.4838695526
160.038848877,17.3869972229
162.038848877,17.3477497101
164.038848877,17.8143920898
166.038848877,19.4380569458
168.038894653,21.673456192
170.03894043,23.1590766907
172.038986206,24.1866455078
174.039031982,23.9095516205
176.039077759,21.8859767914
178.039123535,20.9709396362
180.039169312,19.3247318268
182.039215088,18.3845252991
184.039245605,17.6850090027
186.039306641,17.4895515442
188.039337158,16.819190979
190.039398193,16.223739624
192.039428711,16.07995224
194.039489746,15.8986434937
196.039520264,14.933175087
198.039581299,15.6366577148
200.039611816,15.9743928909
202.039672852,15.7242984772
204.039703369,16.2081813812
206.039764404,16.9910030365
208.039794922,17.3739738464
210.039855957,16.8870048523
212.039886475,16.9748306274
214.03994751,16.9466209412
216.039978027,16.0816516876
218.040039062,15.9174528122
220.04006958,15.2004165649
222.040130615,15.7341814041
224.040161133,16.3829574585
226.040222168,17.643907547
228.040252686,18.3419303894
230.040313721,18.9066200256
232.040344238,19.9225330353
234.040405273,20.8711471558
236.040435791,21.5494270325
238.040496826,20.8386306763
240.040527344,18.9003105164
242.040588379,18.1857681274
244.040618896,17.9362297058
246.040679932,18.1164588928
248.040710449,18.0090484619
250.000762939,18.0090484619
