t,heat_flux
0.0500000007451,8.54074983181e-07
2.54999876022,3.85731218557e-05
5.05000114441,9.6901829238e-05
7.55001068115,0.000245498755248
10.0500202179,0.000655190378893
12.5500297546,0.0018342868425
15.0500392914,0.00531695410609
17.5500183105,0.0157925076783
20.0499801636,0.0477810800076
22.5499420166,0.146566584706
25.0499038696,0.453651100397
27.5498657227,1.40695643425
30.0498275757,4.31227350235
32.5497894287,12.6752243042
35.0497512817,33.274394989
37.5497131348,48.1664199829
40.0496749878,20.257440567
42.5496368408,19.7409210205
45.0495986938,16.3685817719
47.5495605469,16.1007003784
50.0495223999,15.0317840576
52.5494842529,14.9302253723
55.049446106,13.6940078735
57.549407959,13.855173111
60.049369812,14.4526748657
62.549331665,14.5438642502
65.049369812,15.050245285
67.5495223999,17.3764286041
70.0496749878,20.512676239
72.5498275757,22.5621948242
75.0499801636,24.6920280457
77.5501327515,23.5035953522
80.0502853394,20.8004875183
82.5504379272,19.6256256104
85.0505905151,19.1669425964
87.550743103,18.4067516327
90.0508956909,18.842830658
92.5510482788,19.5284976959
95.0512008667,20.0386142731
97.5513534546,21.0359611511
100.051506042,20.7919063568
102.55165863,21.1941928864
105.051811218,20.37981987
107.551963806,20.2350082397
110.052116394,18.8648872375
112.552268982,19.1069297791
115.05242157,19.234834671
117.552574158,18.5477409363
120.052726746,19.4976825714
122.552879333,20.5957279205
125.053031921,22.3893470764
127.553184509,22.6601600647
130.053329468,21.1761322021
132.553482056,20.1677246094
135.053634644,20.0189838409
137.553787231,19.9912166595
140.053939819,21.9902992249
142.554092407,22.9002838135
145.054244995,21.1970977783
147.554397583,20.367275238
150.004547119,20.367275238
150.054550171,18.5690383911
152.554550171,16.1259765625
155.054550171,14.336848259
157.55456543,13.2984352112
160.05456543,12.8914442062
162.554580688,13.4197731018
165.054580688,13.8937978745
167.55456543,13.2356548309
170.054534912,13.5347366333
172.554489136,15.0891094208
175.054443359,16.7356948853
177.554412842,19.8541030884
180.054382324,21.2015686035
182.554336548,21.3837108612
185.054290771,21.0556602478
187.554260254,23.0443267822
190.054229736,21.7043647766
192.55418396,20.9454345703
195.054138184,21.46824646
197.554107666,20.9738044739
200.054077148,19.9663391113
202.554031372,18.7259883881
205.053985596,19.0204582214
207.553955078,19.2143516541
210.053924561,21.1815605164
212.553878784,23.1790618896
215.053924561,21.2740135193
217.554077148,21.6550312042
220.054229736,21.2355442047
222.554382324,21.749168396
225.054534912,23.0576629639
227.5546875,23.4002227783
230.054840088,23.1954879761
232.554992676,25.2033061981
235.055145264,23.3152160645
237.555297852,21.4070262909
240.055450439,21.4115352631
242.555603027,21.0280723572
245.055755615,20.0217170715
247.555908203,19.989692688
250.00604248,19.989692688
