t,heat_flux
0.00999999977648,6.02492795237e-12
0.509999811649,3.08513353753e-10
1.00999939442,6.06885930399e-10
1.50999891758,9.0613755388e-10
2.00999855995,1.22390497737e-09
2.50999808311,1.5795693642e-09
3.00999760628,1.99249328148e-09
3.50999712944,2.48307729933e-09
4.00999689102,3.07163117164e-09
4.51000833511,3.77950115649e-09
5.01001977921,4.63230342973e-09
5.5100312233,5.66230085042e-09
6.01004266739,6.91016310839e-09
6.51005411148,8.42697822634e-09
7.01006555557,1.02760369103e-08
7.51007699966,1.25343273538e-08
8.01008796692,1.52950505594e-08
8.51009941101,1.86719084638e-08
9.0101108551,2.28049543693e-08
9.51012229919,2.78678946586e-08
10.0101337433,3.40768693263e-08
10.5101451874,4.17005807662e-08
11.0101566315,5.10717228508e-08
11.5101680756,6.26007476967e-08
12.0101795197,7.67936683133e-08
12.5101909637,9.42753786148e-08
13.0102024078,1.15819901225e-07
13.5102138519,1.4238867152e-07
14.010225296,1.75177774508e-07
14.5102367401,2.15675484583e-07
15.0102481842,2.65731785021e-07
15.5102596283,3.27644016807e-07
16.0102710724,4.04263914788e-07
16.5102825165,4.99132397636e-07
17.0102939606,6.16650027041e-07
17.5103054047,7.62292415857e-07
18.0103168488,9.42878500609e-07
18.5103282928,1.16690534924e-06
19.0103397369,1.44496152643e-06
19.510351181,1.79024277713e-06
20.0103626251,2.21919276555e-06
20.5103740692,2.75230490843e-06
21.0103855133,3.41512736668e-06
21.5103969574,4.23952224082e-06
22.0104084015,5.26524399902e-06
22.5104198456,6.54190762361e-06
23.0104312897,8.1314574345e-06
23.5104427338,1.01112409538e-05
24.0104541779,1.25778569782e-05
24.5104656219,1.56519672601e-05
25.010477066,1.94843232748e-05
25.5104885101,2.4263314117e-05
26.0104999542,3.02244152408e-05
26.5105113983,3.76620228053e-05
27.0105228424,4.69442893518e-05
27.5105342865,5.85316520301e-05
28.0105457306,7.30001193006e-05
28.5105571747,9.10703529371e-05
29.0105686188,0.000113644186058
29.5105800629,0.000141850294312
30.010591507,0.000177101610461
30.510602951,0.000221167152631
31.0106143951,0.000276262057014
31.5106258392,0.0003451606608
32.010635376,0.000431338092312
32.5105514526,0.000539147760719
33.0104675293,0.000674044538755
33.510383606,0.000842863693833
34.0102996826,0.00105417217128
34.5102157593,0.00131870817859
35.0101318359,0.00164993305225
35.5100479126,0.00206472445279
36.0099639893,0.00258424575441
36.5098800659,0.00323503650725
37.0097961426,0.00405038241297
37.5097122192,0.0050720339641
38.0096282959,0.0063523654826
38.5095443726,0.00795708410442
39.0094604492,0.00996862351894
39.5093765259,0.0124904243276
40.0092926025,0.0156522840261
40.5092086792,0.0196170751005
41.0091247559,0.0245892032981
41.5090408325,0.0308251790702
42.0089569092,0.0386469066143
42.5088729858,0.0484583601356
43.0087890625,0.0607664473355
43.5087051392,0.0762071758509
44.0086212158,0.0955784767866
44.5085372925,0.119881130755
45.0084533691,0.150370061398
