t,heat_flux,wphi,wg
5.0000000745058060e-02,7.6391825132304803e-07,9.4817296485416591e-06,1.5209894627332687e-04
2.5499987602233887e+00,3.1533079891232774e-05,8.8350998339592479e-06,2.4991124519146979e-04
5.0500011444091797e+00,6.0970571212237701e-05,1.0503671546757687e-05,5.1067234016954899e-04
7.5500106811523438e+00,1.1439118679845706e-04,1.6878584574442357e-05,9.7212637774646282e-04
1.0050020217895508e+01,2.1959508012514561e-04,3.0611194233642891e-05,1.8420993583276868e-03
1.2550029754638672e+01,4.3076885049231350e-04,5.8887118939310312e-05,3.5409620031714439e-03
1.5050039291381836e+01,8.6369662312790751e-04,1.1752897262340412e-04,6.9440063089132309e-03
1.7550018310546875e+01,1.7655544215813279e-03,2.3998276446945965e-04,1.3908082619309425e-02
2.0049980163574219e+01,3.6661087069660425e-03,4.9776089144870639e-04,2.8392283245921135e-02
2.2549942016601562e+01,7.7056875452399254e-03,1.0448632529005408e-03,5.8879818767309189e-02
2.5049903869628906e+01,1.6349347308278084e-02,2.2143397945910692e-03,1.2363182753324509e-01
2.7549865722656250e+01,3.4932862967252731e-02,4.7286767512559891e-03,2.6209363341331482e-01
3.0049827575683594e+01,7.4988603591918945e-02,1.0157741606235504e-02,5.5955344438552856e-01
3.2549789428710938e+01,1.6127164661884308e-01,2.1910320967435837e-02,1.1999903917312622e+00
3.5049751281738281e+01,3.4599554538726807e-01,4.7349039465188980e-02,2.5768272876739502e+00
3.7549713134765625e+01,7.3532438278198242e-01,1.0215556621551514e-01,5.5141782760620117e+00
4.0049674987792969e+01,1.5310451984405518e+00,2.1876479685306549e-01,1.1669581413269043e+01
4.2549636840820312e+01,3.0729160308837891e+00,4.6055501699447632e-01,2.4144920349121094e+01
4.5049598693847656e+01,5.7678861618041992e+00,9.3784862756729126e-01,4.7966316223144531e+01
4.7549560546875000e+01,9.3832683563232422e+00,1.7876399755477905e+00,8.8095886230468750e+01
5.0049522399902344e+01,1.2392175674438477e+01,2.8886177539825439e+00,1.4089636230468750e+02
5.2549484252929688e+01,1.3745041847229004e+01,3.8844504356384277e+00,1.9244270324707031e+02
5.5049446105957031e+01,1.3174046516418457e+01,4.6461663246154785e+00,2.2712138366699219e+02
5.7549407958984375e+01,1.1131500244140625e+01,4.8438334465026855e+00,2.3622183227539062e+02
6.0049369812011719e+01,1.0630372047424316e+01,4.6652898788452148e+00,2.2942779541015625e+02
6.2549331665039062e+01,1.0086314201354980e+01,4.3234753608703613e+00,2.2017158508300781e+02
6.5049369812011719e+01,1.0172964096069336e+01,4.0904378890991211e+00,2.1323664855957031e+02
6.7549522399902344e+01,1.0756341934204102e+01,3.8905091285705566e+00,2.1302032470703125e+02
7.0049674987792969e+01,1.1877168655395508e+01,3.9390304088592529e+00,2.2173448181152344e+02
7.2549827575683594e+01,1.3034585952758789e+01,4.1236915588378906e+00,2.3754963684082031e+02
7.5049980163574219e+01,1.4591830253601074e+01,4.7809586524963379e+00,2.6140206909179688e+02
7.7550132751464844e+01,1.4768054008483887e+01,5.2640395164489746e+00,2.8560720825195312e+02
8.0050285339355469e+01,1.3909453392028809e+01,5.5812349319458008e+00,3.0011312866210938e+02
8.2550437927246094e+01,1.3695117950439453e+01,5.2719416618347168e+00,3.0344531250000000e+02
8.5050590515136719e+01,1.4174943923950195e+01,5.3939428329467773e+00,3.0708926391601562e+02
8.7550743103027344e+01,1.4409666061401367e+01,4.9566240310668945e+00,3.1205001831054688e+02
9.0050895690917969e+01,1.5753746032714844e+01,5.1790237426757812e+00,3.2353012084960938e+02
9.2551048278808594e+01,1.6132154464721680e+01,5.4956355094909668e+00,3.3945932006835938e+02
9.5051200866699219e+01,1.6849821090698242e+01,5.8364143371582031e+00,3.5455014038085938e+02
9.7551353454589844e+01,1.6370912551879883e+01,5.9156131744384766e+00,3.6746789550781250e+02
1.0005150604248047e+02,1.6401865005493164e+01,5.8549227714538574e+00,3.7330804443359375e+02
1.0255165863037109e+02,1.7345626831054688e+01,5.6490364074707031e+00,3.8277081298828125e+02
1.0505181121826172e+02,1.8070352554321289e+01,6.1207532882690430e+00,3.9608654785156250e+02
1.0755196380615234e+02,1.8636337280273438e+01,6.0301055908203125e+00,4.1111569213867188e+02
1.1005211639404297e+02,1.9791189193725586e+01,6.1586713790893555e+00,4.2939202880859375e+02
1.1255226898193359e+02,2.0306587219238281e+01,6.5167922973632812e+00,4.4982284545898438e+02
1.1505242156982422e+02,2.0115871429443359e+01,7.3505315780639648e+00,4.6567428588867188e+02
1.1755257415771484e+02,1.9977870941162109e+01,6.9713854789733887e+00,4.7592294311523438e+02
1.2005272674560547e+02,2.0342662811279297e+01,7.3783965110778809e+00,4.8183459472656250e+02
1.2255287933349609e+02,2.0401878356933594e+01,7.5057110786437988e+00,4.8748980712890625e+02
1.2505303192138672e+02,2.0875469207763672e+01,7.6745848655700684e+00,4.9374658203125000e+02
1.2755318450927734e+02,1.9946809768676758e+01,7.5167918205261230e+00,4.9737600708007812e+02
1.3005332946777344e+02,2.0694032669067383e+01,7.6888689994812012e+00,4.9825775146484375e+02
1.3255348205566406e+02,2.0507736206054688e+01,8.0611858367919922e+00,5.0369607543945312e+02
1.3505363464355469e+02,2.0679891586303711e+01,7.6183991432189941e+00,5.0503460693359375e+02
1.3755378723144531e+02,1.9883987426757812e+01,8.2225809097290039e+00,5.0349438476562500e+02
1.4005393981933594e+02,1.9323104858398438e+01,7.3817524909973145e+00,4.9964105224609375e+02
1.4255409240722656e+02,1.9254095077514648e+01,7.2678298950195312e+00,4.9382974243164062e+02
1.4505424499511719e+02,1.8791563034057617e+01,7.4129180908203125e+00,4.8763934326171875e+02
1.4755439758300781e+02,1.9509843826293945e+01,6.5595345497131348e+00,4.8470318603515625e+02
1.5005455017089844e+02,2.0827209472656250e+01,6.4413809776306152e+00,4.9154141235351562e+02
1.5255470275878906e+02,2.2728189468383789e+01,6.7500143051147461e+00,5.1185076904296875e+02
1.5505485534667969e+02,2.3821210861206055e+01,7.5872073173522949e+00,5.4183258056640625e+02
1.5755500793457031e+02,2.3463584899902344e+01,8.1566905975341797e+00,5.6863873291015625e+02
1.6005516052246094e+02,2.3019918441772461e+01,8.1796941757202148e+00,5.8112890625000000e+02
1.6255531311035156e+02,2.3316133499145508e+01,8.4721574783325195e+00,5.8533471679687500e+02
1.6505546569824219e+02,2.1685146331787109e+01,8.3153638839721680e+00,5.7869610595703125e+02
1.6755561828613281e+02,2.0481439590454102e+01,7.9759778976440430e+00,5.5959893798828125e+02
1.7005577087402344e+02,2.0857496261596680e+01,7.8055191040039062e+00,5.4380334472656250e+02
1.7255592346191406e+02,2.0232213973999023e+01,7.7821941375732422e+00,5.3185339355468750e+02
1.7505607604980469e+02,1.9757164001464844e+01,7.4138965606689453e+00,5.1950073242187500e+02
1.7755622863769531e+02,1.9601638793945312e+01,7.3156194686889648e+00,5.0795507812500000e+02
1.8005638122558594e+02,1.9918220520019531e+01,7.4558582305908203e+00,4.9895462036132812e+02
1.8255653381347656e+02,1.9245494842529297e+01,7.2384333610534668e+00,4.9202590942382812e+02
1.8505668640136719e+02,1.9364891052246094e+01,8.0300207138061523e+00,4.8714010620117188e+02
1.8755683898925781e+02,1.8094270706176758e+01,7.5471310615539551e+00,4.7942330932617188e+02
1.9005699157714844e+02,1.7454294204711914e+01,7.3200201988220215e+00,4.6446362304687500e+02
1.9255714416503906e+02,1.7121200561523438e+01,7.1669387817382812e+00,4.4854031372070312e+02
1.9505729675292969e+02,1.7107685089111328e+01,6.8752360343933105e+00,4.3702520751953125e+02
1.9755744934082031e+02,1.7200883865356445e+01,6.8883395195007324e+00,4.3186865234375000e+02
2.0005760192871094e+02,1.7492321014404297e+01,6.8821716308593750e+00,4.3133334350585938e+02
2.0255775451660156e+02,1.8182853698730469e+01,6.6543207168579102e+00,4.3587356567382812e+02
2.0505790710449219e+02,1.8937871932983398e+01,6.9068441390991211e+00,4.4676303100585938e+02
2.0755805969238281e+02,2.0113895416259766e+01,7.0576109886169434e+00,4.6248867797851562e+02
2.1005821228027344e+02,2.0911340713500977e+01,7.0741076469421387e+00,4.7931600952148438e+02
2.1255836486816406e+02,2.1299970626831055e+01,7.8204445838928223e+00,4.9656137084960938e+02
2.1505851745605469e+02,2.0467250823974609e+01,7.6535105705261230e+00,5.0664990234375000e+02
2.1755867004394531e+02,2.0391578674316406e+01,7.9981551170349121e+00,5.0843304443359375e+02
2.2005882263183594e+02,2.0331373214721680e+01,8.1495847702026367e+00,5.0611218261718750e+02
2.2255897521972656e+02,1.9971778869628906e+01,8.2835006713867188e+00,5.0338339233398438e+02
2.2505912780761719e+02,1.9722475051879883e+01,7.9582881927490234e+00,4.9901101684570312e+02
2.2755928039550781e+02,1.9357688903808594e+01,7.5201835632324219e+00,4.9530957031250000e+02
2.3005943298339844e+02,2.0803413391113281e+01,7.6957435607910156e+00,4.9720440673828125e+02
2.3255958557128906e+02,2.1097312927246094e+01,8.0217475891113281e+00,5.0740390014648438e+02
2.3505973815917969e+02,2.0731374740600586e+01,7.7232785224914551e+00,5.1456085205078125e+02
2.3755989074707031e+02,2.1547397613525391e+01,7.6288924217224121e+00,5.2013610839843750e+02
2.4006004333496094e+02,2.1212188720703125e+01,8.1467370986938477e+00,5.2439953613281250e+02
2.4256019592285156e+02,2.0590049743652344e+01,8.7974672317504883e+00,5.2241046142578125e+02
2.4506034851074219e+02,1.8288709640502930e+01,8.9523706436157227e+00,5.0865557861328125e+02
2.4756050109863281e+02,1.5984017372131348e+01,8.0310659408569336e+00,4.7816510009765625e+02
2.5001065063476562e+02,1.5984017372131348e+01,8.0310659408569336e+00,4.7816510009765625e+02
2.5006065368652344e+02,1.5607677459716797e+01,7.0185790061950684e+00,4.4159097290039062e+02
2.5256065368652344e+02,1.6154310226440430e+01,6.6527471542358398e+00,4.1743121337890625e+02
2.5506065368652344e+02,1.7251989364624023e+01,6.5464553833007812e+00,4.0831045532226562e+02
2.5756066894531250e+02,1.7677198410034180e+01,7.4705224037170410e+00,4.1215567016601562e+02
2.6006066894531250e+02,1.7102735519409180e+01,6.7764616012573242e+00,4.1504928588867188e+02
2.6256066894531250e+02,1.7252477645874023e+01,6.7399444580078125e+00,4.1439965820312500e+02
2.6506069946289062e+02,1.7941944122314453e+01,6.3147873878479004e+00,4.1603863525390625e+02
2.6756066894531250e+02,1.9965414047241211e+01,6.4635691642761230e+00,4.2816613769531250e+02
2.7006063842773438e+02,2.1744842529296875e+01,6.5483484268188477e+00,4.5270925903320312e+02
2.7256060791015625e+02,2.3871904373168945e+01,7.2878546714782715e+00,4.9043649291992188e+02
2.7506054687500000e+02,2.5568780899047852e+01,7.8640561103820801e+00,5.3180694580078125e+02
2.7756051635742188e+02,2.5373641967773438e+01,1.0768337249755859e+01,5.7177038574218750e+02
2.8006048583984375e+02,2.2100742340087891e+01,1.0169789314270020e+01,5.8347680664062500e+02
2.8256042480468750e+02,2.0965717315673828e+01,9.7490482330322266e+00,5.6687249755859375e+02
2.8506039428710938e+02,2.0711721420288086e+01,9.4767341613769531e+00,5.4489184570312500e+02
2.8756036376953125e+02,1.9680072784423828e+01,8.5565366744995117e+00,5.2430017089843750e+02
2.9006033325195312e+02,1.8959493637084961e+01,8.1984539031982422e+00,5.0268103027343750e+02
2.9256030273437500e+02,1.8051605224609375e+01,7.8325319290161133e+00,4.8076574707031250e+02
2.9506024169921875e+02,1.8302452087402344e+01,7.4062199592590332e+00,4.6475357055664062e+02
