t,heat_flux,wphi,wg
5.0000000745058060e-02,7.6391825132304803e-07,9.4817296485416591e-06,1.5209894627332687e-04
2.5499987602233887e+00,3.1533079891232774e-05,8.8350998339592479e-06,2.4991124519146979e-04
5.0500011444091797e+00,6.0970571212237701e-05,1.0503671546757687e-05,5.1067234016954899e-04
7.5500106811523438e+00,1.1439118679845706e-04,1.6878584574442357e-05,9.7212637774646282e-04
1.0050020217895508e+01,2.1959508012514561e-04,3.0611194233642891e-05,1.8420993583276868e-03
1.2550029754638672e+01,4.3076885049231350e-04,5.8887118939310312e-05,3.5409620031714439e-03
1.5050039291381836e+01,8.6369662312790751e-04,1.1752897262340412e-04,6.9440063089132309e-03
1.7550018310546875e+01,1.7655544215813279e-03,2.3998274991754442e-04,1.3908082619309425e-02
2.0049980163574219e+01,3.6661084741353989e-03,4.9776083324104548e-04,2.8392281383275986e-02
2.2549942016601562e+01,7.7056875452399254e-03,1.0448632529005408e-03,5.8879818767309189e-02
2.5049903869628906e+01,1.6349345445632935e-02,2.2143397945910692e-03,1.2363182753324509e-01
2.7549865722656250e+01,3.4932859241962433e-02,4.7286767512559891e-03,2.6209363341331482e-01
3.0049827575683594e+01,7.4988596141338348e-02,1.0157740674912930e-02,5.5955344438552856e-01
3.2549789428710938e+01,1.6127164661884308e-01,2.1910320967435837e-02,1.1999903917312622e+00
3.5049751281738281e+01,3.4599554538726807e-01,4.7349039465188980e-02,2.5768270492553711e+00
3.7549713134765625e+01,7.3532438278198242e-01,1.0215555876493454e-01,5.5141777992248535e+00
4.0049674987792969e+01,1.5310451984405518e+00,2.1876478195190430e-01,1.1669581413269043e+01
4.2549636840820312e+01,3.0729160308837891e+00,4.6055501699447632e-01,2.4144920349121094e+01
4.5049598693847656e+01,5.7678861618041992e+00,9.3784862756729126e-01,4.7966316223144531e+01
4.7549560546875000e+01,9.3832683563232422e+00,1.7876399755477905e+00,8.8095886230468750e+01
5.0049522399902344e+01,1.2392175674438477e+01,2.8886177539825439e+00,1.4089636230468750e+02
5.2549484252929688e+01,1.3745041847229004e+01,3.8844504356384277e+00,1.9244270324707031e+02
5.5049446105957031e+01,1.3174047470092773e+01,4.6461668014526367e+00,2.2712139892578125e+02
5.7549407958984375e+01,1.1131499290466309e+01,4.8438334465026855e+00,2.3622183227539062e+02
6.0049369812011719e+01,1.0630373001098633e+01,4.6652894020080566e+00,2.2942779541015625e+02
6.2549331665039062e+01,1.0086314201354980e+01,4.3234753608703613e+00,2.2017160034179688e+02
6.5049369812011719e+01,1.0172965049743652e+01,4.0904378890991211e+00,2.1323666381835938e+02
6.7549522399902344e+01,1.0756344795227051e+01,3.8905091285705566e+00,2.1302033996582031e+02
7.0049674987792969e+01,1.1877178192138672e+01,3.9390308856964111e+00,2.2173455810546875e+02
7.2549827575683594e+01,1.3034601211547852e+01,4.1236934661865234e+00,2.3754978942871094e+02
7.5049980163574219e+01,1.4591846466064453e+01,4.7809605598449707e+00,2.6140231323242188e+02
7.7550132751464844e+01,1.4768055915832520e+01,5.2640457153320312e+00,2.8560742187500000e+02
8.0050285339355469e+01,1.3909468650817871e+01,5.5812392234802246e+00,3.0011328125000000e+02
8.2550437927246094e+01,1.3695159912109375e+01,5.2719640731811523e+00,3.0344555664062500e+02
8.5050590515136719e+01,1.4174909591674805e+01,5.3939790725708008e+00,3.0708941650390625e+02
8.7550743103027344e+01,1.4409566879272461e+01,4.9566154479980469e+00,3.1204940795898438e+02
9.0050895690917969e+01,1.5753675460815430e+01,5.1790823936462402e+00,3.2352886962890625e+02
9.2551048278808594e+01,1.6131870269775391e+01,5.4956727027893066e+00,3.3945684814453125e+02
9.5051200866699219e+01,1.6849308013916016e+01,5.8363604545593262e+00,3.5454516601562500e+02
9.7551353454589844e+01,1.6370599746704102e+01,5.9155325889587402e+00,3.6745977783203125e+02
1.0005150604248047e+02,1.6401958465576172e+01,5.8548727035522461e+00,3.7330166625976562e+02
1.0255165863037109e+02,1.7345338821411133e+01,5.6492114067077637e+00,3.8276449584960938e+02
1.0505181121826172e+02,1.8067974090576172e+01,6.1213097572326660e+00,3.9607168579101562e+02
1.0755196380615234e+02,1.8632045745849609e+01,6.0287795066833496e+00,4.1107806396484375e+02
1.1005211639404297e+02,1.9787700653076172e+01,6.1575918197631836e+00,4.2933465576171875e+02
1.1255226898193359e+02,2.0304777145385742e+01,6.5168552398681641e+00,4.4976104736328125e+02
1.1505242156982422e+02,2.0110870361328125e+01,7.3543090820312500e+00,4.6561770629882812e+02
1.1755257415771484e+02,1.9968936920166016e+01,6.9687595367431641e+00,4.7585723876953125e+02
1.2005272674560547e+02,2.0329046249389648e+01,7.3700861930847168e+00,4.8170147705078125e+02
1.2255287933349609e+02,2.0378612518310547e+01,7.4958248138427734e+00,4.8734426879882812e+02
1.2505303192138672e+02,2.0858478546142578e+01,7.6559085845947266e+00,4.9337088012695312e+02
1.2755318450927734e+02,2.0038202285766602e+01,7.4781332015991211e+00,4.9746673583984375e+02
1.3005332946777344e+02,2.0730140686035156e+01,7.7166724205017090e+00,4.9879278564453125e+02
1.3255348205566406e+02,2.0501417160034180e+01,8.0518617630004883e+00,5.0454626464843750e+02
1.3505363464355469e+02,2.0972249984741211e+01,7.7001957893371582e+00,5.0727297973632812e+02
1.3755378723144531e+02,1.9959592819213867e+01,8.3720140457153320e+00,5.0727236938476562e+02
1.4005393981933594e+02,1.9485868453979492e+01,7.5202512741088867e+00,5.0193756103515625e+02
1.4255409240722656e+02,1.9879024505615234e+01,7.1437492370605469e+00,4.9732577514648438e+02
1.4505424499511719e+02,1.9754673004150391e+01,7.8640775680541992e+00,4.9657171630859375e+02
1.4755439758300781e+02,1.8568019866943359e+01,6.9289460182189941e+00,4.9026455688476562e+02
1.5000454711914062e+02,1.8568019866943359e+01,6.9289460182189941e+00,4.9026455688476562e+02
1.5005455017089844e+02,1.9420030593872070e+01,6.9322757720947266e+00,4.8435784912109375e+02
1.5255455017089844e+02,2.0231525421142578e+01,6.7928485870361328e+00,4.8906683349609375e+02
1.5505455017089844e+02,2.1562923431396484e+01,7.0676589012145996e+00,5.0189892578125000e+02
1.5755456542968750e+02,2.2119056701660156e+01,7.5446300506591797e+00,5.2227185058593750e+02
1.6005456542968750e+02,2.3121585845947266e+01,7.2399530410766602e+00,5.4229003906250000e+02
1.6255458068847656e+02,2.3346158981323242e+01,8.5279226303100586e+00,5.6448913574218750e+02
1.6505458068847656e+02,2.2794483184814453e+01,8.4951438903808594e+00,5.7640625000000000e+02
1.6755456542968750e+02,2.1513996124267578e+01,9.0087318420410156e+00,5.7521801757812500e+02
1.7005453491210938e+02,1.9886720657348633e+01,8.2654170989990234e+00,5.5877441406250000e+02
1.7255448913574219e+02,1.9915884017944336e+01,7.7423477172851562e+00,5.3875646972656250e+02
1.7505444335937500e+02,2.0480857849121094e+01,7.9113740921020508e+00,5.2644970703125000e+02
1.7755441284179688e+02,2.0519367218017578e+01,7.4645662307739258e+00,5.2168701171875000e+02
1.8005438232421875e+02,2.1946975708007812e+01,7.2073101997375488e+00,5.2379931640625000e+02
1.8255433654785156e+02,2.1848827362060547e+01,7.7521953582763672e+00,5.3434918212890625e+02
1.8505429077148438e+02,2.1311752319335938e+01,7.3407220840454102e+00,5.3827941894531250e+02
1.8755426025390625e+02,2.1558076858520508e+01,8.0072021484375000e+00,5.4076971435546875e+02
1.9005422973632812e+02,2.0588161468505859e+01,7.5350351333618164e+00,5.3951684570312500e+02
1.9255418395996094e+02,2.0646146774291992e+01,7.4327220916748047e+00,5.3221032714843750e+02
1.9505413818359375e+02,2.0224117279052734e+01,7.6672105789184570e+00,5.2620770263671875e+02
1.9755410766601562e+02,1.9385120391845703e+01,7.5187678337097168e+00,5.1484893798828125e+02
2.0005407714843750e+02,1.8981096267700195e+01,7.3378891944885254e+00,5.0396014404296875e+02
2.0255403137207031e+02,1.8669765472412109e+01,6.8722648620605469e+00,4.9350836181640625e+02
2.0505398559570312e+02,1.9920621871948242e+01,7.0274758338928223e+00,4.8967468261718750e+02
2.0755395507812500e+02,1.9989810943603516e+01,7.0866436958312988e+00,4.9527850341796875e+02
2.1005392456054688e+02,2.0737470626831055e+01,6.7085299491882324e+00,5.0265930175781250e+02
2.1255387878417969e+02,2.1257362365722656e+01,7.0261034965515137e+00,5.1622467041015625e+02
2.1505392456054688e+02,2.1560302734375000e+01,6.6062240600585938e+00,5.2982629394531250e+02
2.1755407714843750e+02,2.2044782638549805e+01,7.2301073074340820e+00,5.4351629638671875e+02
2.2005422973632812e+02,2.0742494583129883e+01,7.3956165313720703e+00,5.5165844726562500e+02
2.2255438232421875e+02,2.0622121810913086e+01,7.1154222488403320e+00,5.4816510009765625e+02
2.2505453491210938e+02,2.1060092926025391e+01,7.2088003158569336e+00,5.4718859863281250e+02
2.2755468750000000e+02,2.1907428741455078e+01,7.3029417991638184e+00,5.5203063964843750e+02
2.3005484008789062e+02,2.1631242752075195e+01,7.7626190185546875e+00,5.5987744140625000e+02
2.3255499267578125e+02,2.0710453033447266e+01,7.5391769409179688e+00,5.5815197753906250e+02
2.3505514526367188e+02,2.0924449920654297e+01,7.4248304367065430e+00,5.5134948730468750e+02
2.3755529785156250e+02,2.1439056396484375e+01,7.9755001068115234e+00,5.4837097167968750e+02
2.4005545043945312e+02,2.1474231719970703e+01,7.7992272377014160e+00,5.4950201416015625e+02
2.4255560302734375e+02,2.0773151397705078e+01,7.7931957244873047e+00,5.4873571777343750e+02
2.4505575561523438e+02,2.1110902786254883e+01,7.9582738876342773e+00,5.4555834960937500e+02
2.4755590820312500e+02,2.1491291046142578e+01,7.7987432479858398e+00,5.4324029541015625e+02
2.5000604248046875e+02,2.1491291046142578e+01,7.7987432479858398e+00,5.4324029541015625e+02
2.5005604553222656e+02,2.1653884887695312e+01,7.7345647811889648e+00,5.4637322998046875e+02
2.5255604553222656e+02,2.2243385314941406e+01,7.8156862258911133e+00,5.5294519042968750e+02
2.5505604553222656e+02,2.2836059570312500e+01,7.9959273338317871e+00,5.6593969726562500e+02
2.5755606079101562e+02,2.2949306488037109e+01,9.0365276336669922e+00,5.8038928222656250e+02
2.6005606079101562e+02,2.2623085021972656e+01,8.0164470672607422e+00,5.8636120605468750e+02
2.6255606079101562e+02,2.3721441268920898e+01,8.5669136047363281e+00,5.9248455810546875e+02
2.6505609130859375e+02,2.3689601898193359e+01,8.3673763275146484e+00,6.0122497558593750e+02
2.6755606079101562e+02,2.4166885375976562e+01,7.9404263496398926e+00,6.0963861083984375e+02
2.7005603027343750e+02,2.5601787567138672e+01,8.0036735534667969e+00,6.2318450927734375e+02
2.7255596923828125e+02,2.6726696014404297e+01,7.7789278030395508e+00,6.4681958007812500e+02
2.7505593872070312e+02,2.8401460647583008e+01,8.8350639343261719e+00,6.7959997558593750e+02
2.7755590820312500e+02,2.8380275726318359e+01,8.4077682495117188e+00,7.1386376953125000e+02
2.8005587768554688e+02,3.0450937271118164e+01,9.2044239044189453e+00,7.4480285644531250e+02
2.8255584716796875e+02,3.1081371307373047e+01,9.5533180236816406e+00,7.7277416992187500e+02
2.8505578613281250e+02,3.1294343948364258e+01,1.0331707954406738e+01,7.9653948974609375e+02
2.8755575561523438e+02,3.0716321945190430e+01,1.0932006835937500e+01,8.1172485351562500e+02
2.9005572509765625e+02,2.9663501739501953e+01,1.1761587142944336e+01,8.1179333496093750e+02
2.9255566406250000e+02,2.8384054183959961e+01,1.1829857826232910e+01,7.9536694335937500e+02
