t,heat_flux,wphi,wg
5.0000000745058060e-02,6.8535911168510211e-07,6.6655952650762629e-06,8.0128163972403854e-05
2.5499987602233887e+00,2.8294361982261762e-05,5.9774183682748117e-06,1.8572772387415171e-04
5.0500011444091797e+00,5.8141067711403593e-05,6.6286997935094405e-06,4.6772800851613283e-04
7.5500106811523438e+00,1.1116224777651951e-04,9.1629399321391247e-06,9.8382693249732256e-04
1.0050020217895508e+01,2.1515793923754245e-04,1.5064964827615768e-05,1.9457570742815733e-03
1.2550029754638672e+01,4.3061224278062582e-04,2.8214562917128205e-05,3.8191596977412701e-03
1.5050039291381836e+01,8.8297930778935552e-04,5.6307631894014776e-05,7.6080248691141605e-03
1.7550018310546875e+01,1.8409467302262783e-03,1.1596770491451025e-04,1.5431035310029984e-02
2.0049980163574219e+01,3.9088381454348564e-03,2.4425977608188987e-04,3.1896602362394333e-02
2.2549942016601562e+01,8.4489490836858749e-03,5.2429712377488613e-04,6.7258223891258240e-02
2.5049903869628906e+01,1.8565503880381584e-02,1.1449647136032581e-03,1.4459228515625000e-01
2.7549865722656250e+01,4.1367772966623306e-02,2.5382814928889275e-03,3.1633955240249634e-01
3.0049827575683594e+01,9.3127638101577759e-02,5.6963027454912663e-03,7.0223617553710938e-01
3.2549789428710938e+01,2.1075282990932465e-01,1.2891089543700218e-02,1.5752358436584473e+00
3.5049751281738281e+01,4.7598686814308167e-01,2.9255554080009460e-02,3.5506000518798828e+00
3.7549713134765625e+01,1.0614080429077148e+00,6.6028572618961334e-02,7.9779157638549805e+00
4.0049674987792969e+01,2.3032495975494385e+00,1.4658121764659882e-01,1.7670763015747070e+01
4.2549636840820312e+01,4.7906117439270020e+00,3.1697061657905579e-01,3.8053604125976562e+01
4.5049598693847656e+01,9.4235372543334961e+00,6.6671049594879150e-01,7.8541999816894531e+01
4.7549560546875000e+01,1.6686410903930664e+01,1.3740878105163574e+00,1.5172137451171875e+02
5.0049522399902344e+01,1.9843711853027344e+01,2.6188101768493652e+00,2.4907861328125000e+02
5.2549484252929688e+01,9.8161287307739258e+00,3.6723721027374268e+00,2.7086590576171875e+02
5.5049446105957031e+01,9.7121887207031250e+00,3.2763068675994873e+00,2.3577479553222656e+02
5.7549407958984375e+01,8.5732965469360352e+00,3.1758201122283936e+00,2.0762854003906250e+02
6.0049369812011719e+01,7.8494982719421387e+00,2.8330113887786865e+00,1.8679110717773438e+02
6.2549331665039062e+01,7.4490180015563965e+00,2.6142466068267822e+00,1.7211054992675781e+02
6.5049369812011719e+01,7.1319117546081543e+00,2.4653604030609131e+00,1.6275965881347656e+02
6.7549522399902344e+01,7.4668178558349609e+00,2.3000919818878174e+00,1.5812245178222656e+02
7.0049674987792969e+01,8.1075296401977539e+00,2.2510733604431152e+00,1.6089770507812500e+02
7.2549827575683594e+01,8.5192975997924805e+00,2.2766525745391846e+00,1.6771865844726562e+02
7.5049980163574219e+01,9.3012466430664062e+00,2.3861701488494873e+00,1.7822943115234375e+02
7.7550132751464844e+01,9.8119716644287109e+00,2.5099179744720459e+00,1.9119010925292969e+02
8.0050285339355469e+01,1.0537652015686035e+01,2.7089486122131348e+00,2.0577975463867188e+02
8.2550437927246094e+01,1.1068114280700684e+01,2.9309742450714111e+00,2.2044224548339844e+02
8.5050590515136719e+01,1.1458308219909668e+01,3.2813847064971924e+00,2.3444978332519531e+02
8.7550743103027344e+01,1.1072869300842285e+01,3.6254272460937500e+00,2.4382444763183594e+02
9.0050895690917969e+01,1.0963307380676270e+01,3.6845164299011230e+00,2.4705055236816406e+02
9.2551048278808594e+01,1.0997113227844238e+01,3.5570878982543945e+00,2.4855552673339844e+02
9.5051200866699219e+01,1.1369797706604004e+01,3.5652925968170166e+00,2.5117295837402344e+02
9.7551353454589844e+01,1.1359317779541016e+01,3.6097097396850586e+00,2.5555761718750000e+02
1.0005150604248047e+02,1.1204562187194824e+01,3.6898305416107178e+00,2.5957699584960938e+02
1.0255165863037109e+02,1.1195723533630371e+01,3.6306309700012207e+00,2.6165292358398438e+02
1.0505181121826172e+02,1.1577979087829590e+01,3.6622214317321777e+00,2.6480718994140625e+02
1.0755196380615234e+02,1.1633465766906738e+01,3.7796189785003662e+00,2.6861868286132812e+02
1.1005211639404297e+02,1.1589995384216309e+01,3.8167576789855957e+00,2.7078326416015625e+02
1.1255226898193359e+02,1.2320259094238281e+01,3.8966805934906006e+00,2.7494137573242188e+02
1.1505242156982422e+02,1.2553551673889160e+01,4.2483210563659668e+00,2.8171331787109375e+02
1.1755257415771484e+02,1.2415940284729004e+01,4.5133051872253418e+00,2.8671945190429688e+02
1.2005272674560547e+02,1.1961628913879395e+01,4.5540413856506348e+00,2.8659539794921875e+02
1.2255287933349609e+02,1.2278942108154297e+01,4.3530325889587402e+00,2.8624450683593750e+02
1.2505303192138672e+02,1.2467246055603027e+01,4.2312698364257812e+00,2.8783224487304688e+02
1.2755318450927734e+02,1.1867217063903809e+01,4.2832736968994141e+00,2.8749353027343750e+02
1.3005332946777344e+02,1.1619350433349609e+01,4.3782896995544434e+00,2.8244317626953125e+02
1.3255348205566406e+02,1.1959305763244629e+01,4.2810153961181641e+00,2.8098397827148438e+02
1.3505363464355469e+02,1.2158976554870605e+01,4.3275680541992188e+00,2.8128259277343750e+02
1.3755378723144531e+02,1.2201122283935547e+01,4.3478298187255859e+00,2.8212973022460938e+02
1.4005393981933594e+02,1.1972174644470215e+01,4.4579586982727051e+00,2.8241564941406250e+02
1.4255409240722656e+02,1.1902597427368164e+01,4.3518815040588379e+00,2.8105667114257812e+02
1.4505424499511719e+02,1.1947470664978027e+01,4.1858263015747070e+00,2.7979592895507812e+02
1.4755439758300781e+02,1.2092753410339355e+01,4.1603569984436035e+00,2.8024752807617188e+02
1.5000454711914062e+02,1.2092753410339355e+01,4.1603569984436035e+00,2.8024752807617188e+02
