t,heat_flux,wphi,wg
5.0000000745058060e-02,2.8383598760228779e-07,2.9760562938463408e-06,3.6765199183719233e-05
2.5499987602233887e+00,1.2311556019994896e-05,2.5997558168455726e-06,8.3003993495367467e-05
5.0500011444091797e+00,2.3352642529061995e-05,2.6631262244336540e-06,2.0403099188115448e-04
7.5500106811523438e+00,3.8251571822911501e-05,3.1269012197299162e-06,3.9711975841782987e-04
1.0050020217895508e+01,6.0575584939215332e-05,4.0645281842444092e-06,6.9037493085488677e-04
1.2550029754638672e+01,9.6393981948494911e-05,5.9195640460529830e-06,1.1391120497137308e-03
1.5050039291381836e+01,1.5377522504422814e-04,9.2711334218620323e-06,1.8380484543740749e-03
1.7550018310546875e+01,2.4551621754653752e-04,1.5009030903456733e-05,2.9329734388738871e-03
2.0049980163574219e+01,3.9366967394016683e-04,2.4629962354083546e-05,4.6629253774881363e-03
2.2549942016601562e+01,6.3573516672477126e-04,4.0671875467523932e-05,7.4294917285442352e-03
2.5049903869628906e+01,1.0359354782849550e-03,6.7307490098755807e-05,1.1912263929843903e-02
2.7549865722656250e+01,1.7047295114025474e-03,1.1150843783980235e-04,1.9274210557341576e-02
3.0049827575683594e+01,2.8338429983705282e-03,1.8518246361054480e-04,3.1512022018432617e-02
3.2549789428710938e+01,4.7582429833710194e-03,3.0892257927916944e-04,5.2080571651458740e-02
3.5049751281738281e+01,8.0638146027922630e-03,5.1860150415450335e-04,8.6986660957336426e-02
3.7549713134765625e+01,1.3776983134448528e-02,8.7704713223502040e-04,1.4670713245868683e-01
4.0049674987792969e+01,2.3700052872300148e-02,1.4945707516744733e-03,2.4956877529621124e-01
4.2549636840820312e+01,4.1002083569765091e-02,2.5651343166828156e-03,4.2761009931564331e-01
4.5049598693847656e+01,7.1254342794418335e-02,4.4300286099314690e-03,7.3713111877441406e-01
4.7549560546875000e+01,1.2422013282775879e-01,7.6900725252926350e-03,1.2768881320953369e+00
5.0049522399902344e+01,2.1686649322509766e-01,1.3402670621871948e-02,2.2197551727294922e+00
5.2549484252929688e+01,3.7819990515708923e-01,2.3422747850418091e-02,3.8658175468444824e+00
5.5049446105957031e+01,6.5654230117797852e-01,4.0976442396640778e-02,6.7271652221679688e+00
5.7549407958984375e+01,1.1298050880432129e+00,7.1591116487979889e-02,1.1658323287963867e+01
6.0049369812011719e+01,1.9197146892547607e+00,1.2462759017944336e-01,2.0039779663085938e+01
6.2549331665039062e+01,3.2112829685211182e+00,2.1609610319137573e-01,3.4030147552490234e+01
6.5049369812011719e+01,5.2767620086669922e+00,3.7372213602066040e-01,5.6900058746337891e+01
6.7549522399902344e+01,8.4806041717529297e+00,6.4629393815994263e-01,9.3362327575683594e+01
7.0049674987792969e+01,1.3107292175292969e+01,1.1295953989028931e+00,1.4928355407714844e+02
7.2549827575683594e+01,1.8593114852905273e+01,1.9903659820556641e+00,2.2788471984863281e+02
7.5049980163574219e+01,2.3402606964111328e+01,3.3670799732208252e+00,3.2226568603515625e+02
7.7550132751464844e+01,2.1331291198730469e+01,5.0840821266174316e+00,3.9925732421875000e+02
8.0050285339355469e+01,2.1310577392578125e+01,5.0783510208129883e+00,4.3599411010742188e+02
8.2550437927246094e+01,2.0493122100830078e+01,5.0697240829467773e+00,4.5184255981445312e+02
