t,heat_flux,wphi,wg
5.0000000745058060e-02,1.0761407338577555e-06,1.2149059330113232e-05,1.5232083387672901e-04
2.5499987602233887e+00,3.4299104299861938e-05,9.0440898929955438e-06,2.8001601458527148e-04
5.0500011444091797e+00,6.1929451476316899e-05,1.0125849257747177e-05,5.2943528862670064e-04
7.5500106811523438e+00,1.3028497050981969e-04,1.7750953702488914e-05,9.9891447462141514e-04
1.0050020217895508e+01,2.9715604614466429e-04,3.5483841202221811e-05,2.1077420096844435e-03
1.2550029754638672e+01,6.8558735074475408e-04,7.7959441114217043e-05,4.7164042480289936e-03
1.5050039291381836e+01,1.6383385518565774e-03,1.7950093024410307e-04,1.0956200771033764e-02
1.7550018310546875e+01,3.9734998717904091e-03,4.2115678661502898e-04,2.6183247566223145e-02
2.0049980163574219e+01,9.8057119175791740e-03,1.0168284643441439e-03,6.3737146556377411e-02
2.2549942016601562e+01,2.4593565613031387e-02,2.5038316380232573e-03,1.5797013044357300e-01
2.5049903869628906e+01,6.2290504574775696e-02,6.2492131255567074e-03,3.9707994461059570e-01
2.7549865722656250e+01,1.5899100899696350e-01,1.5774128958582878e-02,1.0079374313354492e+00
3.0049827575683594e+01,4.0787708759307861e-01,4.0128327906131744e-02,2.5769059658050537e+00
3.2549789428710938e+01,1.0473732948303223e+00,1.0259249061346054e-01,6.6147885322570801e+00
3.5049751281738281e+01,2.6730899810791016e+00,2.6257637143135071e-01,1.6967739105224609e+01
3.7549713134765625e+01,6.6764135360717773e+00,6.6913503408432007e-01,4.3094089508056641e+01
4.0049674987792969e+01,1.5624173164367676e+01,1.7078143358230591e+00,1.0594249725341797e+02
4.2549636840820312e+01,2.7439193725585938e+01,4.5438690185546875e+00,2.3004133605957031e+02
4.5049598693847656e+01,2.6977371215820312e+01,8.3245143890380859e+00,3.5547589111328125e+02
4.7549560546875000e+01,1.2757680892944336e+01,8.7762956619262695e+00,3.5306030273437500e+02
5.0049522399902344e+01,9.3665828704833984e+00,6.0560164451599121e+00,2.6483734130859375e+02
5.2549484252929688e+01,8.7697381973266602e+00,4.7639431953430176e+00,2.0596278381347656e+02
5.5049446105957031e+01,8.4859657287597656e+00,4.0378217697143555e+00,1.7675431823730469e+02
5.7549407958984375e+01,7.6017956733703613e+00,3.4628839492797852e+00,1.6061085510253906e+02
6.0049369812011719e+01,7.4907650947570801e+00,3.0469155311584473e+00,1.4808088684082031e+02
6.2549331665039062e+01,7.7820606231689453e+00,2.8705248832702637e+00,1.4397760009765625e+02
6.5049369812011719e+01,8.1471128463745117e+00,2.9255349636077881e+00,1.4448693847656250e+02
6.7549522399902344e+01,8.3996677398681641e+00,2.9899148941040039e+00,1.4753704833984375e+02
7.0049674987792969e+01,8.3575563430786133e+00,2.9439125061035156e+00,1.5064628601074219e+02
7.2549827575683594e+01,8.5066928863525391e+00,2.8001677989959717e+00,1.5262686157226562e+02
7.5049980163574219e+01,8.9558744430541992e+00,2.9993712902069092e+00,1.5724288940429688e+02
7.7550132751464844e+01,8.5222854614257812e+00,3.0035865306854248e+00,1.6078436279296875e+02
8.0050285339355469e+01,7.8813023567199707e+00,3.0239310264587402e+00,1.5807971191406250e+02
8.2550437927246094e+01,8.1557149887084961e+00,3.0354962348937988e+00,1.5464025878906250e+02
8.5050590515136719e+01,8.0729084014892578e+00,3.0929005146026611e+00,1.5272477722167969e+02
8.7550743103027344e+01,7.8582749366760254e+00,3.0391433238983154e+00,1.5031703186035156e+02
9.0050895690917969e+01,7.8122773170471191e+00,2.9326612949371338e+00,1.4725717163085938e+02
9.2551048278808594e+01,7.7720818519592285e+00,2.9774355888366699e+00,1.4667564392089844e+02
9.5051200866699219e+01,7.7673292160034180e+00,2.9648904800415039e+00,1.4563456726074219e+02
9.7551353454589844e+01,8.5217218399047852e+00,2.9216005802154541e+00,1.4807931518554688e+02
1.0005150604248047e+02,9.8904848098754883e+00,3.0261020660400391e+00,1.5727453613281250e+02
1.0255165863037109e+02,1.0180743217468262e+01,3.3843386173248291e+00,1.7124241638183594e+02
1.0505181121826172e+02,9.1394262313842773e+00,3.4051795005798340e+00,1.7536932373046875e+02
1.0755196380615234e+02,8.3434190750122070e+00,3.3771347999572754e+00,1.7066102600097656e+02
1.1005211639404297e+02,8.0770492553710938e+00,3.0177361965179443e+00,1.6302427673339844e+02
1.1255226898193359e+02,8.3778533935546875e+00,2.8775472640991211e+00,1.5865170288085938e+02
1.1505242156982422e+02,8.8135204315185547e+00,2.9346368312835693e+00,1.5902372741699219e+02
1.1755257415771484e+02,8.2724351882934570e+00,3.0900616645812988e+00,1.5958508300781250e+02
1.2005272674560547e+02,8.1755981445312500e+00,2.9421076774597168e+00,1.5659170532226562e+02
1.2255287933349609e+02,8.4407272338867188e+00,2.9429242610931396e+00,1.5636962890625000e+02
1.2505303192138672e+02,8.3152112960815430e+00,2.8688476085662842e+00,1.5636595153808594e+02
1.2755318450927734e+02,8.8447551727294922e+00,2.8110201358795166e+00,1.5762049865722656e+02
1.3005332946777344e+02,9.8249816894531250e+00,2.8986470699310303e+00,1.6437951660156250e+02
1.3255348205566406e+02,1.0389931678771973e+01,3.1494271755218506e+00,1.7588282775878906e+02
1.3505363464355469e+02,9.9744091033935547e+00,3.4679062366485596e+00,1.8388090515136719e+02
1.3755378723144531e+02,9.8561687469482422e+00,3.4451296329498291e+00,1.8509548950195312e+02
1.4005393981933594e+02,9.6259174346923828e+00,3.6300239562988281e+00,1.8426449584960938e+02
1.4255409240722656e+02,8.4809465408325195e+00,3.6416299343109131e+00,1.7792897033691406e+02
1.4505424499511719e+02,7.3535313606262207e+00,3.2782387733459473e+00,1.6583636474609375e+02
1.4755439758300781e+02,7.3248543739318848e+00,2.9737451076507568e+00,1.5380665588378906e+02
1.5005455017089844e+02,7.6406803131103516e+00,2.8262648582458496e+00,1.4981317138671875e+02
1.5255470275878906e+02,7.7792363166809082e+00,2.8397705554962158e+00,1.5004020690917969e+02
1.5505485534667969e+02,7.7669305801391602e+00,2.9760596752166748e+00,1.5085079956054688e+02
1.5755500793457031e+02,7.4784374237060547e+00,2.9342243671417236e+00,1.4977622985839844e+02
1.6005516052246094e+02,7.2678780555725098e+00,2.9344594478607178e+00,1.4700944519042969e+02
1.6255531311035156e+02,7.2089300155639648e+00,2.7980229854583740e+00,1.4373666381835938e+02
1.6505546569824219e+02,7.5048322677612305e+00,2.6900165081024170e+00,1.4223429870605469e+02
1.6755561828613281e+02,8.0921154022216797e+00,2.7631165981292725e+00,1.4507545471191406e+02
1.7005577087402344e+02,8.3987522125244141e+00,2.8696553707122803e+00,1.5031373596191406e+02
1.7255592346191406e+02,8.9815826416015625e+00,3.0868930816650391e+00,1.5587672424316406e+02
1.7505607604980469e+02,8.8734245300292969e+00,3.2515187263488770e+00,1.6192106628417969e+02
1.7755622863769531e+02,8.3846139907836914e+00,3.1303915977478027e+00,1.6165319824218750e+02
1.8005638122558594e+02,8.7336778640747070e+00,3.1066594123840332e+00,1.6061474609375000e+02
1.8255653381347656e+02,9.0300102233886719e+00,3.2253456115722656e+00,1.6305897521972656e+02
1.8505668640136719e+02,8.7711696624755859e+00,3.2596726417541504e+00,1.6411380004882812e+02
1.8755683898925781e+02,8.4428148269653320e+00,3.2110066413879395e+00,1.6334019470214844e+02
1.9005699157714844e+02,8.2912216186523438e+00,3.0197880268096924e+00,1.6060552978515625e+02
1.9255714416503906e+02,8.1891145706176758e+00,2.9666407108306885e+00,1.5884999084472656e+02
1.9505729675292969e+02,8.3845167160034180e+00,2.8034350872039795e+00,1.5803115844726562e+02
1.9755744934082031e+02,9.1052465438842773e+00,2.8783087730407715e+00,1.6198628234863281e+02
2.0005760192871094e+02,9.2695236206054688e+00,3.0796451568603516e+00,1.6764428710937500e+02
2.0255775451660156e+02,9.3639230728149414e+00,3.2768366336822510e+00,1.7238046264648438e+02
2.0505790710449219e+02,9.3174352645874023e+00,3.3322968482971191e+00,1.7441654968261719e+02
2.0755805969238281e+02,8.9431400299072266e+00,3.4860336780548096e+00,1.7291807556152344e+02
2.1005821228027344e+02,8.9482488632202148e+00,3.4334387779235840e+00,1.6911723327636719e+02
2.1255836486816406e+02,9.2940587997436523e+00,3.4486582279205322e+00,1.6908953857421875e+02
2.1505851745605469e+02,9.0945024490356445e+00,3.4813253879547119e+00,1.6952209472656250e+02
2.1755867004394531e+02,8.7792463302612305e+00,3.3504967689514160e+00,1.6729455566406250e+02
2.2005882263183594e+02,9.1236810684204102e+00,3.2864589691162109e+00,1.6682270812988281e+02
2.2255897521972656e+02,8.6830062866210938e+00,3.4109497070312500e+00,1.6707203674316406e+02
2.2505912780761719e+02,7.8225407600402832e+00,3.4939825534820557e+00,1.6213067626953125e+02
2.2755928039550781e+02,7.1982340812683105e+00,3.2230107784271240e+00,1.5203395080566406e+02
2.3005943298339844e+02,7.0040302276611328e+00,2.9931094646453857e+00,1.4300514221191406e+02
2.3255958557128906e+02,7.0310940742492676e+00,2.7832474708557129e+00,1.3754287719726562e+02
2.3505973815917969e+02,7.5729794502258301e+00,2.6480286121368408e+00,1.3716650390625000e+02
2.3755989074707031e+02,8.6707715988159180e+00,2.6617138385772705e+00,1.4370899963378906e+02
2.4006004333496094e+02,9.6897487640380859e+00,2.8232426643371582e+00,1.5692793273925781e+02
2.4256019592285156e+02,1.0096913337707520e+01,3.1130163669586182e+00,1.7191186523437500e+02
2.4506034851074219e+02,9.8102416992187500e+00,3.1684563159942627e+00,1.8089286804199219e+02
2.4756050109863281e+02,1.0370518684387207e+01,3.2908332347869873e+00,1.8586564636230469e+02
2.5001065063476562e+02,1.0370518684387207e+01,3.2908332347869873e+00,1.8586564636230469e+02
2.5006065368652344e+02,1.0325032234191895e+01,3.6370239257812500e+00,1.9070288085937500e+02
2.5256065368652344e+02,9.4290227890014648e+00,3.6908683776855469e+00,1.8987161254882812e+02
2.5506065368652344e+02,8.8824033737182617e+00,3.4607977867126465e+00,1.8232560729980469e+02
2.5756066894531250e+02,9.0888061523437500e+00,3.2932913303375244e+00,1.7617268371582031e+02
2.6006066894531250e+02,9.3229131698608398e+00,3.3054988384246826e+00,1.7433187866210938e+02
2.6256066894531250e+02,9.2725744247436523e+00,3.2162320613861084e+00,1.7393901062011719e+02
2.6506069946289062e+02,9.3542499542236328e+00,3.2542643547058105e+00,1.7400167846679688e+02
2.6756066894531250e+02,9.3139133453369141e+00,3.3164513111114502e+00,1.7448062133789062e+02
2.7006063842773438e+02,9.0151853561401367e+00,3.2526690959930420e+00,1.7311509704589844e+02
2.7256060791015625e+02,8.8325853347778320e+00,3.1474399566650391e+00,1.6996888732910156e+02
2.7506054687500000e+02,9.5692815780639648e+00,3.0460202693939209e+00,1.7165206909179688e+02
2.7756051635742188e+02,1.0061260223388672e+01,3.2697329521179199e+00,1.7802117919921875e+02
2.8006048583984375e+02,9.7186584472656250e+00,3.3287527561187744e+00,1.8081243896484375e+02
2.8256042480468750e+02,9.6894893646240234e+00,3.3298366069793701e+00,1.8087815856933594e+02
2.8506039428710938e+02,9.4890403747558594e+00,3.3672742843627930e+00,1.8000289916992188e+02
2.8756036376953125e+02,1.0094095230102539e+01,3.4584817886352539e+00,1.8194285583496094e+02
2.9006033325195312e+02,9.8986330032348633e+00,3.5686404705047607e+00,1.8395423889160156e+02
2.9256030273437500e+02,8.9739646911621094e+00,3.6087613105773926e+00,1.8117488098144531e+02
2.9506024169921875e+02,8.3423137664794922e+00,3.4915573596954346e+00,1.7286357116699219e+02
2.9756021118164062e+02,7.9152755737304688e+00,3.2807660102844238e+00,1.6374360656738281e+02
3.0006018066406250e+02,7.4417934417724609e+00,3.0748062133789062e+00,1.5396401977539062e+02
3.0256011962890625e+02,7.6472516059875488e+00,2.8059303760528564e+00,1.4852981567382812e+02
3.0506008911132812e+02,7.9493470191955566e+00,2.8704576492309570e+00,1.4828604125976562e+02
3.0756005859375000e+02,8.1497621536254883e+00,2.9884433746337891e+00,1.5049806213378906e+02
3.1006002807617188e+02,7.8773088455200195e+00,2.9986410140991211e+00,1.5053895568847656e+02
3.1255999755859375e+02,8.0327510833740234e+00,2.9515550136566162e+00,1.5034405517578125e+02
3.1506002807617188e+02,7.9340901374816895e+00,3.0783398151397705e+00,1.5073455810546875e+02
3.1756018066406250e+02,7.5474343299865723e+00,2.9780788421630859e+00,1.4799272155761719e+02
3.2006033325195312e+02,7.6189990043640137e+00,2.8311822414398193e+00,1.4422753906250000e+02
3.2256048583984375e+02,8.2545461654663086e+00,2.7985489368438721e+00,1.4617202758789062e+02
3.2506063842773438e+02,8.9871912002563477e+00,2.8250398635864258e+00,1.5350236511230469e+02
3.2756079101562500e+02,9.6191501617431641e+00,2.9544053077697754e+00,1.6400129699707031e+02
3.3006094360351562e+02,9.8680925369262695e+00,3.1928136348724365e+00,1.7393919372558594e+02
3.3256109619140625e+02,8.7417631149291992e+00,3.4304227828979492e+00,1.7606166076660156e+02
3.3506124877929688e+02,8.0833234786987305e+00,3.4506962299346924e+00,1.6850566101074219e+02
3.3756140136718750e+02,7.6122345924377441e+00,3.3510351181030273e+00,1.5922489929199219e+02
3.4006155395507812e+02,7.6409058570861816e+00,3.1765921115875244e+00,1.5194084167480469e+02
3.4256170654296875e+02,7.8780255317687988e+00,3.0160036087036133e+00,1.4875021362304688e+02
3.4506185913085938e+02,8.3991804122924805e+00,2.8776745796203613e+00,1.5002543640136719e+02
3.4756201171875000e+02,8.5778312683105469e+00,2.9676513671875000e+00,1.5493484497070312e+02
3.5001214599609375e+02,8.5778312683105469e+00,2.9676513671875000e+00,1.5493484497070312e+02
3.5006213378906250e+02,8.7000932693481445e+00,2.9314641952514648e+00,1.5888334655761719e+02
3.5256213378906250e+02,9.4819698333740234e+00,3.0461847782135010e+00,1.6407585144042969e+02
3.5506213378906250e+02,1.0045809745788574e+01,3.1857225894927979e+00,1.7170849609375000e+02
3.5756216430664062e+02,1.0795243263244629e+01,3.4136385917663574e+00,1.8141584777832031e+02
3.6006216430664062e+02,1.0470929145812988e+01,3.6609716415405273e+00,1.8938142395019531e+02
3.6256216430664062e+02,9.8584346771240234e+00,3.7869086265563965e+00,1.8847309875488281e+02
3.6506219482421875e+02,8.8685817718505859e+00,3.7586836814880371e+00,1.8228070068359375e+02
3.6756216430664062e+02,8.6283998489379883e+00,3.3106739521026611e+00,1.7260502624511719e+02
3.7006213378906250e+02,9.3379735946655273e+00,3.2902863025665283e+00,1.6900547790527344e+02
3.7256207275390625e+02,9.5187320709228516e+00,3.5681552886962891e+00,1.7124150085449219e+02
3.7506204223632812e+02,8.8973836898803711e+00,3.7167258262634277e+00,1.7117530822753906e+02
3.7756201171875000e+02,7.9743695259094238e+00,3.5995538234710693e+00,1.6407429504394531e+02
3.8006198120117188e+02,7.5725455284118652e+00,3.3544740676879883e+00,1.5445094299316406e+02
3.8256195068359375e+02,7.1299562454223633e+00,3.1696290969848633e+00,1.4678761291503906e+02
3.8506188964843750e+02,6.8047013282775879e+00,2.9156544208526611e+00,1.3968214416503906e+02
3.8756185913085938e+02,6.9891533851623535e+00,2.8282434940338135e+00,1.3585345458984375e+02
3.9006182861328125e+02,6.8901515007019043e+00,2.7603294849395752e+00,1.3399890136718750e+02
3.9256176757812500e+02,7.1185312271118164e+00,2.7888641357421875e+00,1.3374049377441406e+02
3.9506173706054688e+02,6.8475298881530762e+00,2.8445963859558105e+00,1.3321142578125000e+02
3.9756170654296875e+02,6.7047071456909180e+00,2.7482726573944092e+00,1.3119033813476562e+02
4.0006167602539062e+02,6.7464561462402344e+00,2.6226456165313721e+00,1.2918853759765625e+02
4.0256164550781250e+02,7.2098288536071777e+00,2.6961755752563477e+00,1.3046557617187500e+02
4.0506158447265625e+02,7.3318963050842285e+00,2.7059681415557861e+00,1.3417538452148438e+02
4.0756155395507812e+02,7.6847910881042480e+00,2.8240180015563965e+00,1.3816709899902344e+02
4.1006152343750000e+02,7.3832387924194336e+00,2.9013881683349609e+00,1.4060437011718750e+02
4.1256146240234375e+02,7.1840281486511230e+00,2.9163384437561035e+00,1.3921163940429688e+02
4.1506152343750000e+02,7.4478650093078613e+00,2.7812180519104004e+00,1.3835932922363281e+02
4.1756167602539062e+02,8.0111169815063477e+00,2.8846352100372314e+00,1.4109378051757812e+02
4.2006182861328125e+02,8.3439178466796875e+00,2.9807839393615723e+00,1.4721102905273438e+02
4.2256198120117188e+02,8.0334320068359375e+00,3.0492777824401855e+00,1.5112969970703125e+02
4.2506213378906250e+02,7.8267068862915039e+00,3.0037286281585693e+00,1.5097814941406250e+02
