t,heat_flux,wphi,wg
5.0000000745058060e-02,4.0663485378900077e-07,6.4021628531918395e-06,1.5172877465374768e-04
2.5499987602233887e+00,1.9556089682737365e-05,6.4159298744925763e-06,1.9504374358803034e-04
5.0500011444091797e+00,4.1298168071079999e-05,7.7716049418086186e-06,3.8900610525161028e-04
7.5500106811523438e+00,7.4974210292566568e-05,1.0687995199987199e-05,7.6437392272055149e-04
1.0050020217895508e+01,1.3611806207336485e-04,1.6297390175168402e-05,1.4358630869537592e-03
1.2550029754638672e+01,2.5389698566868901e-04,2.7086771297035739e-05,2.6627676561474800e-03
1.5050039291381836e+01,4.8502819845452905e-04,4.7905006795190275e-05,4.9778744578361511e-03
1.7550018310546875e+01,9.4181462191045284e-04,8.8245396909769624e-05,9.4464030116796494e-03
2.0049980163574219e+01,1.8503027968108654e-03,1.6703156870789826e-04,1.8195666372776031e-02
2.2549942016601562e+01,3.6698726471513510e-03,3.2238481799140573e-04,3.5502202808856964e-02
2.5049903869628906e+01,7.3397606611251831e-03,6.3157221302390099e-04,7.0026658475399017e-02
2.7549865722656250e+01,1.4788494445383549e-02,1.2519353767856956e-03,1.3941940665245056e-01
3.0049827575683594e+01,2.9986474663019180e-02,2.5051413103938103e-03,2.7982464432716370e-01
3.2549789428710938e+01,6.1112914234399796e-02,5.0510410219430923e-03,5.6548219919204712e-01
3.5049751281738281e+01,1.2497256696224213e-01,1.0247037746012211e-02,1.1489868164062500e+00
3.7549713134765625e+01,2.5579631328582764e-01,2.0890150219202042e-02,2.3430607318878174e+00
4.0049674987792969e+01,5.2194130420684814e-01,4.2736086994409561e-02,4.7825646400451660e+00
4.2549636840820312e+01,1.0543445348739624e+00,8.7527379393577576e-02,9.7289199829101562e+00
4.5049598693847656e+01,2.0830025672912598e+00,1.7869296669960022e-01,1.9579023361206055e+01
4.7549560546875000e+01,3.9392940998077393e+00,3.6118656396865845e-01,3.8486022949218750e+01
5.0049522399902344e+01,6.8481798171997070e+00,7.1932935714721680e-01,7.2255996704101562e+01
5.2549484252929688e+01,9.8994522094726562e+00,1.4332008361816406e+00,1.2394779968261719e+02
5.5049446105957031e+01,9.9233741760253906e+00,2.6643090248107910e+00,1.7789772033691406e+02
5.7549407958984375e+01,7.7931194305419922e+00,3.3646478652954102e+00,2.0733572387695312e+02
6.0049369812011719e+01,6.1211414337158203e+00,3.2725086212158203e+00,2.0837405395507812e+02
6.2549331665039062e+01,5.7084398269653320e+00,3.4915213584899902e+00,1.9851425170898438e+02
6.5049369812011719e+01,5.1203002929687500e+00,4.3609423637390137e+00,1.8513955688476562e+02
6.7549522399902344e+01,4.9229187965393066e+00,4.2789282798767090e+00,1.7165084838867188e+02
7.0049674987792969e+01,4.8220620155334473e+00,3.2523088455200195e+00,1.6109295654296875e+02
7.2549827575683594e+01,4.7470827102661133e+00,2.7917213439941406e+00,1.5372598266601562e+02
7.5049980163574219e+01,4.6385049819946289e+00,3.3010544776916504e+00,1.4879611206054688e+02
7.7550132751464844e+01,4.2620544433593750e+00,3.6893239021301270e+00,1.4415353393554688e+02
8.0050285339355469e+01,4.0771069526672363e+00,3.2626450061798096e+00,1.3934536743164062e+02
8.2550437927246094e+01,3.8210339546203613e+00,2.7804422378540039e+00,1.3451824951171875e+02
8.5050590515136719e+01,3.7242522239685059e+00,2.9765324592590332e+00,1.2937667846679688e+02
8.7550743103027344e+01,3.8209733963012695e+00,3.3560991287231445e+00,1.2642890930175781e+02
9.0050895690917969e+01,3.9022707939147949e+00,3.2571964263916016e+00,1.2573601531982422e+02
9.2551048278808594e+01,4.0388326644897461e+00,2.6696271896362305e+00,1.2721376037597656e+02
9.5051200866699219e+01,4.1455893516540527e+00,2.2272019386291504e+00,1.3008644104003906e+02
9.7551353454589844e+01,4.2897863388061523e+00,2.2721467018127441e+00,1.3363861083984375e+02
1.0005150604248047e+02,4.4294157028198242e+00,2.6287856101989746e+00,1.3759652709960938e+02
1.0255165863037109e+02,4.4925231933593750e+00,2.8056616783142090e+00,1.4200425720214844e+02
1.0505181121826172e+02,4.3540372848510742e+00,2.5053732395172119e+00,1.4446298217773438e+02
1.0755196380615234e+02,4.6256494522094727e+00,2.1923379898071289e+00,1.4686553955078125e+02
1.1005211639404297e+02,4.9093866348266602e+00,2.4471948146820068e+00,1.5131671142578125e+02
1.1255226898193359e+02,4.9667835235595703e+00,2.8395521640777588e+00,1.5616888427734375e+02
1.1505242156982422e+02,4.9847068786621094e+00,2.8523321151733398e+00,1.6066403198242188e+02
1.1755257415771484e+02,4.9673728942871094e+00,2.5128698348999023e+00,1.6419702148437500e+02
1.2005272674560547e+02,5.2463579177856445e+00,2.3255538940429688e+00,1.6783537292480469e+02
1.2255287933349609e+02,5.6273164749145508e+00,2.6719655990600586e+00,1.7344705200195312e+02
1.2505303192138672e+02,5.5632085800170898e+00,2.9912672042846680e+00,1.7967257690429688e+02
1.2755318450927734e+02,5.1756644248962402e+00,2.8848822116851807e+00,1.8214840698242188e+02
1.3005332946777344e+02,5.1916151046752930e+00,2.5149593353271484e+00,1.8188513183593750e+02
1.3255348205566406e+02,5.5845465660095215e+00,2.5173254013061523e+00,1.8346395874023438e+02
1.3505363464355469e+02,5.7171277999877930e+00,2.9044857025146484e+00,1.8738629150390625e+02
1.3755378723144531e+02,5.6164522171020508e+00,3.1380720138549805e+00,1.9060742187500000e+02
1.4005393981933594e+02,5.6314291954040527e+00,2.8939566612243652e+00,1.9274111938476562e+02
1.4255409240722656e+02,6.0271873474121094e+00,2.4612555503845215e+00,1.9673330688476562e+02
1.4505424499511719e+02,6.5817461013793945e+00,2.6842696666717529e+00,2.0453535461425781e+02
1.4755439758300781e+02,6.9801449775695801e+00,3.4497027397155762e+00,2.1616143798828125e+02
1.5000454711914062e+02,6.9801449775695801e+00,3.4497027397155762e+00,2.1616143798828125e+02
1.5005455017089844e+02,6.8292455673217773e+00,3.8183691501617432e+00,2.2682804870605469e+02
1.5255455017089844e+02,6.8903932571411133e+00,3.1640005111694336e+00,2.3547926330566406e+02
1.5505455017089844e+02,7.1833276748657227e+00,2.7047693729400635e+00,2.4362129211425781e+02
1.5755456542968750e+02,7.6271910667419434e+00,3.4899210929870605e+00,2.5340197753906250e+02
1.6005456542968750e+02,7.1512389183044434e+00,4.6398344039916992e+00,2.6090563964843750e+02
1.6255458068847656e+02,6.6546430587768555e+00,4.5088253021240234e+00,2.6186251831054688e+02
1.6505458068847656e+02,6.5103139877319336e+00,3.5569489002227783e+00,2.5984796142578125e+02
1.6755456542968750e+02,6.7103261947631836e+00,3.4229717254638672e+00,2.5834027099609375e+02
1.7005453491210938e+02,6.8036060333251953e+00,4.3782005310058594e+00,2.5863092041015625e+02
1.7255448913574219e+02,6.5007014274597168e+00,5.0711364746093750e+00,2.5784051513671875e+02
1.7505444335937500e+02,6.2738690376281738e+00,4.1108331680297852e+00,2.5500201416015625e+02
1.7755441284179688e+02,6.3853497505187988e+00,2.9887261390686035e+00,2.5207742309570312e+02
1.8005438232421875e+02,6.8332772254943848e+00,3.5140836238861084e+00,2.5216171264648438e+02
1.8255433654785156e+02,6.5372295379638672e+00,5.0949373245239258e+00,2.5325894165039062e+02
1.8505429077148438e+02,5.9197144508361816e+00,5.2656207084655762e+00,2.4980331420898438e+02
1.8755426025390625e+02,5.8000917434692383e+00,3.6072504520416260e+00,2.4491616821289062e+02
1.9005422973632812e+02,6.1054244041442871e+00,2.9501903057098389e+00,2.4245526123046875e+02
1.9255418395996094e+02,6.3495507240295410e+00,4.1840095520019531e+00,2.4407977294921875e+02
1.9505413818359375e+02,5.8988685607910156e+00,5.0496206283569336e+00,2.4458062744140625e+02
1.9755410766601562e+02,5.4279422760009766e+00,3.9822859764099121e+00,2.4129425048828125e+02
2.0005407714843750e+02,5.7897481918334961e+00,2.9252262115478516e+00,2.3892266845703125e+02
2.0255403137207031e+02,6.2730927467346191e+00,3.7777266502380371e+00,2.4106297302246094e+02
2.0505398559570312e+02,6.2470164299011230e+00,5.5024318695068359e+00,2.4472903442382812e+02
2.0755395507812500e+02,6.1364078521728516e+00,5.4447975158691406e+00,2.4774136352539062e+02
2.1005392456054688e+02,6.0404229164123535e+00,3.8571014404296875e+00,2.5037915039062500e+02
2.1255387878417969e+02,6.1604733467102051e+00,3.1251776218414307e+00,2.5311933898925781e+02
2.1505392456054688e+02,6.2804851531982422e+00,4.0526909828186035e+00,2.5644567871093750e+02
2.1755407714843750e+02,6.5706253051757812e+00,5.0406351089477539e+00,2.6062615966796875e+02
2.2005422973632812e+02,6.5550241470336914e+00,4.7638931274414062e+00,2.6625942993164062e+02
2.2255438232421875e+02,6.2037405967712402e+00,3.6548552513122559e+00,2.6883175659179688e+02
