term,seconds,norm
field_solve,0.0003274896298535168,0.053106486797332764
build_H,0.001128406249335967,0.1280190646648407
streaming,0.0024098124995362014,0.028866907581686974
linked_grad_z,0.004100427133380435,0.028866907581686974
mirror,0.0009724374976940453,0.0003229873545933515
curvature_gradb,0.00080884899944067,0.0525895431637764
diamagnetic,0.0009914426336763427,0.03662170097231865
collisions,0.0008798072376521304,0.0
hypercollisions,0.002159453113563359,0.0
linked_abs_kz,0.0093891666183481,0.0
hyperdiffusion,0.0009619271149858832,0.001077004591934383
end_damping,0.0008415365009568632,0.003601919626817107
full_linear_rhs,0.049418161492212676,0.06520643085241318
