term,seconds,norm
field_solve,0.00027562023024074733,0.053106553852558136
build_H,0.00030499600688926876,0.12801915407180786
streaming,0.00041815510485321283,0.02886696718633175
linked_grad_z,0.00035948611912317574,0.02886696718633175
mirror,0.0002861238899640739,0.0003229877329431474
curvature_gradb,0.00021023998851887882,0.052589576691389084
diamagnetic,0.00030169461388140917,0.03662176802754402
collisions,0.00012804236030206084,0.0
hypercollisions,0.00047112812171690166,0.0
linked_abs_kz,0.0010245746234431863,0.0
hyperdiffusion,0.00019788261852227151,0.0010770095977932215
end_damping,0.000199821253772825,0.0036019217222929
full_linear_rhs,0.006437696370994672,0.06520650535821915
