t,phi_zonal_real
1.999999955296516418e-02,2.253686400037348920e-04
2.199999690055847168e-01,2.235468751666921309e-04
4.200000464916229248e-01,2.187236467337919132e-04
6.199999451637268066e-01,2.109930909399008504e-04
8.199997544288635254e-01,2.005058927691243532e-04
1.019999623298645020e+00,1.874663755730079256e-04
1.219999432563781738e+00,1.721281500565203127e-04
1.419999241828918457e+00,1.547888173687678528e-04
1.619999051094055176e+00,1.357842502122876428e-04
1.819998860359191895e+00,1.154814769573135028e-04
2.019998788833618164e+00,9.427140568923031655e-05
2.219998598098754883e+00,7.256106802307045142e-05
2.419998407363891602e+00,5.076551369819520034e-05
2.619998216629028320e+00,2.929965968608023235e-05
2.819998025894165039e+00,8.570124756144521531e-06
3.019997835159301758e+00,-1.103255584253113683e-05
3.219997644424438477e+00,-2.914145001679463247e-05
3.419997453689575195e+00,-4.542022653361149225e-05
3.619997262954711914e+00,-5.956947600921845657e-05
3.819997072219848633e+00,-7.133230246028405988e-05
4.019997119903564453e+00,-8.049901631248134370e-05
4.219996929168701172e+00,-8.691089971290200599e-05
4.419996738433837891e+00,-9.046299685997088774e-05
4.619996547698974609e+00,-9.110591844373624158e-05
4.819996356964111328e+00,-8.884627820412295638e-05
5.019996166229248047e+00,-8.374647465776419153e-05
5.219995975494384766e+00,-7.592298852538045784e-05
5.419995784759521484e+00,-6.554401804759624889e-05
5.619995594024658203e+00,-5.282572459640372177e-05
5.819995403289794922e+00,-3.802785617822450928e-05
6.019995212554931641e+00,-2.144847601728542920e-05
6.219995021820068359e+00,-3.417834368277575942e-06
6.419994831085205078e+00,1.570822167921566325e-05
6.619994640350341797e+00,3.555545501687512459e-05
6.819994449615478516e+00,5.573859090720507134e-05
7.019994258880615234e+00,7.586901675239589944e-05
7.219994068145751953e+00,9.556245638695411171e-05
7.419993877410888672e+00,1.144463515816263830e-04
7.619993686676025391e+00,1.321672434806456763e-04
7.819993495941162109e+00,1.483975537992399010e-04
8.019993782043457031e+00,1.628415292866824298e-04
8.219998359680175781e+00,1.752410915835249687e-04
8.420002937316894531e+00,1.853801591722622751e-04
8.620007514953613281e+00,1.930886782387969446e-04
8.820012092590332031e+00,1.982454166478166678e-04
9.020016670227050781e+00,2.007795210088119363e-04
9.220021247863769531e+00,2.006716080578392722e-04
9.420025825500488281e+00,1.979532699046867965e-04
9.620030403137207031e+00,1.927056916046238500e-04
9.820034980773925781e+00,1.850577594069452057e-04
1.002003955841064453e+01,1.751824227715473889e-04
1.022004413604736328e+01,1.632930418596125746e-04
1.042004871368408203e+01,1.496383816538890540e-04
1.062005329132080078e+01,1.344975770087409954e-04
1.082005786895751953e+01,1.181740426629773012e-04
1.102006244659423828e+01,1.009893178088821348e-04
1.122006702423095703e+01,8.327664138105063982e-05
1.142007160186767578e+01,6.537444735507038794e-05
1.162007617950439453e+01,4.761980551300106743e-05
1.182008075714111328e+01,3.034200943530763624e-05
1.202008533477783203e+01,1.385644567671722017e-05
1.222008991241455078e+01,-1.541069185467766828e-06
1.242009449005126953e+01,-1.557969734822998745e-05
1.262009906768798828e+01,-2.801809980591037780e-05
1.282010364532470703e+01,-3.864865205850095069e-05
1.302010822296142578e+01,-4.730079822933879938e-05
1.322011280059814453e+01,-5.384362186022286103e-05
