t,heat_flux
0.0500000007451,1.19495166473e-06
2.54999876022,5.1990722568e-05
5.05000114441,0.000124321493786
7.55001068115,0.000295708945487
10.0500202179,0.000733336783014
12.5500297546,0.00187645910773
15.0500392914,0.00490355817601
17.5500183105,0.0130168218166
20.0499801636,0.0349796451628
22.5499420166,0.0947882086039
25.0499038696,0.257527112961
27.5498657227,0.69406080246
30.0498275757,1.8194539547
32.5497894287,4.50449323654
35.0497512817,10.0682983398
37.5497131348,17.2986679077
40.0496749878,16.0454654694
42.5496368408,9.72572612762
45.0495986938,9.14100646973
47.5495605469,9.49933815002
50.0495223999,9.29444026947
52.5494842529,9.61849498749
55.049446106,9.43572235107
57.549407959,8.70397758484
60.049369812,8.05938053131
62.549331665,8.34755420685
65.049369812,8.73908996582
67.5495223999,9.29888629913
70.0496749878,10.032251358
72.5498275757,10.8832998276
75.0499801636,11.7153778076
77.5501327515,11.5374717712
80.0502853394,10.7418460846
82.5504379272,10.4904222488
85.0505905151,10.746295929
87.550743103,10.7462396622
90.0508956909,11.0084218979
92.5510482788,10.9856033325
95.0512008667,10.8087148666
97.5513534546,10.470208168
100.051506042,10.3348503113
102.55165863,10.4354448318
105.051811218,10.8945913315
107.551963806,10.9495477676
110.052116394,10.7450122833
112.552268982,10.8253383636
115.05242157,11.0964183807
117.552574158,11.7033338547
120.052726746,12.0355701447
122.552879333,12.0828704834
125.053031921,11.9520378113
127.553184509,12.1083545685
130.053329468,12.4560871124
132.553482056,13.1426753998
135.053634644,12.9065818787
137.553787231,13.109128952
140.053939819,13.2671051025
142.554092407,12.5872402191
145.054244995,11.5172967911
147.554397583,11.4447879791
150.054550171,11.7473163605
152.554702759,11.2600317001
155.054855347,11.1431703568
157.555007935,11.705121994
160.055160522,11.9921188354
162.55531311,11.9618473053
165.055465698,11.6800966263
167.555618286,11.2678937912
170.055770874,11.4887084961
172.555923462,11.3534507751
175.05607605,11.1334152222
177.556228638,11.0806283951
180.056381226,10.8317098618
182.556533813,10.5604696274
185.056686401,10.3537101746
187.556838989,10.4967060089
190.056991577,10.5093240738
192.557144165,10.5919628143
195.057296753,11.007771492
197.557449341,10.5425777435
200.057601929,10.2240486145
202.557754517,10.5899982452
205.057907104,10.6573972702
207.558059692,10.1159257889
210.05821228,9.65493392944
212.558364868,9.83467197418
215.058517456,10.2539615631
217.558670044,10.3927402496
220.058822632,9.74618530273
222.55897522,9.68811321259
225.059127808,9.98936367035
227.559280396,10.2430648804
230.059432983,10.6281509399
232.559585571,10.4699859619
235.059738159,10.6788864136
237.559890747,11.5531454086
240.060043335,12.521112442
242.560195923,13.1444854736
245.060348511,12.5372982025
247.560501099,11.840511322
250.060653687,11.5054531097
252.560806274,11.3353061676
255.060958862,11.4492931366
257.560638428,11.2183141708
260.060028076,10.8534870148
262.559417725,10.7767210007
265.058807373,10.7155637741
267.558197021,11.0967254639
270.05758667,11.6335811615
272.556976318,11.7602138519
275.056365967,12.1342315674
277.555755615,12.5615234375
280.055145264,12.8594255447
282.554534912,11.8779525757
285.053924561,11.6942424774
287.553314209,12.0458164215
290.052703857,11.7251777649
292.552093506,11.6332931519
295.051483154,11.2901439667
297.550872803,11.1847753525
300.050262451,11.0200119019
302.5496521,10.5892314911
305.049041748,10.8067140579
307.548431396,11.1022529602
310.047821045,11.2915039062
312.547210693,11.0208702087
315.046600342,11.0285377502
317.54598999,11.6146125793
320.045379639,11.9674053192
322.544769287,12.1092119217
325.044158936,12.1827049255
327.543548584,12.3621282578
330.042938232,12.1137580872
332.542327881,11.9246797562
335.041717529,11.8446655273
337.541107178,12.0694122314
340.040496826,11.9598817825
342.539886475,12.0269374847
345.039276123,12.3757419586
347.538665771,12.4804906845
350.03805542,11.9021673203
352.537445068,11.286945343
355.036834717,11.1708431244
357.536224365,11.3868103027
360.035614014,11.5462722778
362.535003662,11.1103944778
365.034393311,10.5319890976
367.533782959,10.0677337646
370.033172607,10.3894910812
372.532562256,10.5722780228
375.031951904,10.6882305145
377.531341553,10.9670734406
380.030731201,10.96342659
382.53012085,10.8862447739
385.029510498,10.2086982727
387.528900146,9.62722873688
390.028289795,9.42016887665
392.527679443,9.24747753143
395.027069092,9.569190979
397.52645874,10.2205562592
399.975860596,10.2205562592
