t,heat_flux
0.0399999991059,1.02867807072e-06
2.0399992466,4.5534590754e-05
4.03999757767,9.72956768237e-05
6.03999567032,0.000193941814359
8.03999423981,0.000394050992327
10.0399923325,0.000819257809781
12.0399904251,0.00173505139537
14.0399885178,0.00372696993873
16.0399875641,0.00809378176928
18.0400333405,0.0177317559719
20.0400791168,0.0391125641763
22.0401248932,0.0866793468595
24.0401706696,0.192448526621
26.0402164459,0.426168501377
28.0402622223,0.934447586536
30.0403079987,2.0061674118
32.0403518677,4.15423870087
34.040397644,8.15916061401
36.0404434204,14.8357715607
38.0404891968,23.1297397614
40.0405349731,26.2581996918
42.0405807495,18.6255950928
44.0406265259,12.4327850342
46.0406723022,10.8252716064
48.0407180786,10.6148777008
50.040763855,10.5589809418
52.0408096313,10.5426130295
54.0408554077,10.5812454224
56.0409011841,10.2208528519
58.0409469604,9.45250988007
60.0409927368,8.79586601257
62.0410385132,8.61736488342
64.0410842896,8.84037017822
66.0411300659,9.36022472382
68.0411758423,10.0154304504
70.0412216187,10.4381465912
72.041267395,10.7111682892
74.0413131714,11.1524047852
76.0413589478,11.1283988953
78.0414047241,10.909822464
80.0414505005,10.7477960587
82.0414962769,10.4744558334
84.0415420532,10.3411369324
86.0415878296,10.2169437408
88.041633606,10.3292789459
90.0416793823,10.7261810303
92.0417251587,11.3456420898
94.0417709351,11.8039684296
96.0418167114,11.6320323944
98.0418624878,11.2002067566
100.041908264,11.3425359726
102.041954041,11.3461999893
104.041999817,11.586935997
106.042045593,11.8211193085
108.04209137,11.3561592102
110.042137146,11.2324752808
112.042182922,11.8261566162
114.042228699,12.4345178604
116.042274475,12.5451021194
118.042320251,12.3362941742
120.042366028,11.8025274277
122.042411804,11.5069503784
124.042457581,11.158665657
126.042503357,10.8412303925
128.042541504,10.8656511307
130.042205811,10.951210022
132.041870117,11.2649927139
134.041534424,11.0312509537
136.04119873,10.3723087311
138.040863037,10.3007717133
140.040527344,10.3829698563
142.04019165,10.9040756226
144.039855957,11.4069242477
146.039520264,11.5157690048
148.03918457,11.591003418
150.038848877,12.0228252411
152.038513184,12.3128509521
154.03817749,12.1955957413
156.037841797,12.0427856445
158.037506104,11.8171081543
160.03717041,11.9088764191
162.036834717,11.960062027
164.036499023,12.0245962143
166.03616333,11.6757688522
168.035827637,11.4216623306
170.035491943,11.7405261993
172.03515625,12.3315963745
174.034820557,12.1934118271
176.034484863,12.3760585785
178.03414917,12.1669063568
180.033813477,11.7818651199
182.033477783,12.009095192
184.03314209,12.3807039261
186.032806396,12.2369689941
188.032470703,12.194316864
190.03213501,12.0690565109
192.031799316,11.7279872894
194.031463623,11.6447563171
196.03112793,11.6337413788
198.030792236,11.4509840012
200.030456543,11.2233448029
202.03012085,11.4605522156
204.029785156,11.5320243835
206.029449463,10.9175510406
208.02911377,10.7245121002
210.028778076,10.8386421204
212.028442383,10.8994426727
214.028106689,10.823266983
216.027770996,10.755405426
218.027435303,10.8781089783
220.027099609,11.0587539673
222.026763916,11.3179187775
224.026428223,11.3861122131
226.026092529,11.1189174652
228.025756836,10.9646949768
230.025421143,11.0223445892
232.025085449,11.2783613205
234.024749756,11.895283699
236.024414062,12.3086967468
238.024078369,12.1284675598
240.023742676,12.0027675629
242.023406982,11.8737802505
244.023071289,11.8372268677
246.022735596,11.8587474823
248.022399902,11.194070816
250.022064209,10.5681209564
252.021728516,10.5995817184
254.021392822,11.2475910187
256.021057129,11.6321487427
258.021484375,11.4524936676
260.021911621,11.4796047211
262.022338867,11.6722011566
264.022766113,11.9822940826
266.023193359,12.2640686035
268.023620605,11.7728281021
270.024047852,11.4495820999
272.024475098,11.5450325012
274.024902344,11.7881669998
276.02532959,11.7517566681
278.025756836,11.4155845642
280.026184082,11.2166500092
282.026611328,10.715760231
284.027038574,10.5158510208
286.02746582,10.6918487549
288.027893066,10.4870557785
290.028320312,10.1903896332
292.028747559,10.1848735809
294.029174805,10.0677099228
296.029602051,10.0277051926
298.030029297,10.0028152466
300.030456543,9.99451446533
302.030883789,10.167098999
304.031311035,10.1680297852
306.031738281,10.0957212448
308.032165527,9.92355918884
310.032592773,9.96958446503
312.03302002,10.4175977707
314.033447266,10.7858905792
316.033874512,11.1176748276
318.034301758,11.4304943085
320.034729004,11.5006408691
322.03515625,11.5134124756
324.035583496,11.807929039
326.036010742,12.1707210541
328.036437988,12.2152080536
330.036865234,12.3357944489
332.03729248,12.0716657639
334.037719727,11.8519535065
336.038146973,11.4730529785
338.038574219,11.7238883972
340.039001465,12.0009746552
342.039428711,12.1096935272
344.039855957,12.1116895676
346.040283203,11.9114456177
348.040710449,11.9261455536
350.041137695,12.3370199203
352.041564941,12.6646652222
354.041992188,12.7169094086
356.042419434,12.7265796661
358.04284668,12.9178905487
360.043273926,13.1328411102
362.043701172,13.2863006592
364.044128418,13.1602134705
366.044555664,13.2326927185
368.04498291,12.9830446243
370.045410156,12.6138820648
372.045837402,12.1350183487
374.046264648,12.054643631
376.046691895,12.0141887665
378.047119141,11.5133447647
380.047546387,10.7870492935
382.047973633,10.1756401062
384.048400879,10.3239402771
386.048828125,10.7050914764
388.049255371,10.5299768448
390.049682617,10.4038906097
392.050109863,10.4358768463
394.050537109,10.6838493347
396.050964355,10.9382352829
398.051391602,10.9147396088
400.011810303,10.9147396088
