t,heat_flux
0.0500000007451,1.19499441098e-06
2.54999876022,5.19973618793e-05
5.05000114441,0.000124352314742
7.55001068115,0.000295809528325
10.0500202179,0.000733649882022
12.5500297546,0.0018774268683
15.0500392914,0.00490650255233
17.5500183105,0.013025674969
20.0499801636,0.0350060760975
22.5499420166,0.0948664844036
25.0499038696,0.257755279541
27.5498657227,0.694703161716
30.0498275757,1.82114291191
32.5497894287,4.50846672058
35.0497512817,10.0755195618
37.5497131348,17.3000602722
40.0496749878,16.0282001495
42.5496368408,9.719165802
45.0495986938,9.13879966736
47.5495605469,9.49815750122
50.0495223999,9.28926181793
52.5494842529,9.61584568024
55.049446106,9.46395969391
57.549407959,8.78540802002
60.049369812,8.12677955627
62.549331665,8.30880832672
65.049369812,8.82780075073
67.5495223999,9.24667549133
70.0496749878,9.93678855896
72.5498275757,11.1207456589
75.0499801636,12.0194206238
77.5501327515,11.3660058975
80.0502853394,10.3329429626
82.5504379272,10.112279892
85.0505905151,10.3457336426
87.550743103,10.7634334564
90.0508956909,11.0862998962
92.5510482788,11.6251173019
95.0512008667,11.8005046844
97.5513534546,11.693570137
100.051506042,11.5491943359
102.55165863,11.7239322662
105.051811218,11.1753139496
107.551963806,11.0981025696
110.052116394,11.610663414
112.552268982,12.1559085846
115.05242157,12.6808214188
117.552574158,12.4478235245
120.052726746,12.2154140472
122.552879333,12.4691114426
125.053031921,12.2962808609
127.553184509,11.8929080963
130.053329468,11.7195358276
132.553482056,11.1423015594
135.053634644,10.2680282593
137.553787231,9.60921859741
140.053939819,9.36393451691
142.554092407,9.47489738464
145.054244995,9.30819892883
147.554397583,9.01473999023
150.054550171,9.10317230225
152.554702759,9.32698059082
155.054855347,9.68830871582
157.555007935,10.3037643433
160.055160522,10.7993507385
162.55531311,10.9524002075
165.055465698,11.4640693665
167.555618286,12.303352356
170.055770874,12.6918544769
172.555923462,12.6137685776
175.05607605,12.346200943
177.556228638,12.0319452286
180.056381226,11.3136291504
182.556533813,11.2914180756
185.056686401,11.3323020935
187.556838989,11.5109100342
190.056991577,12.3381090164
192.557144165,12.2455892563
195.057296753,11.9319381714
197.557449341,11.8845291138
200.057601929,11.5430393219
202.557754517,11.1141700745
205.057907104,11.3934116364
207.558059692,11.6009368896
210.05821228,11.4082260132
212.558364868,11.4076442719
215.058517456,11.9104623795
217.558670044,11.6916999817
220.058822632,11.2327432632
222.55897522,11.5927991867
225.059127808,12.0163850784
227.559280396,12.1311607361
230.059432983,12.2963638306
232.559585571,12.1413612366
235.059738159,12.5220088959
237.559890747,12.9596786499
240.060043335,12.2749137878
242.560195923,12.4234685898
245.060348511,11.8331947327
247.560501099,11.094581604
250.060653687,10.8733091354
252.560806274,10.6605892181
255.060958862,10.6589918137
257.560638428,10.0644178391
260.060028076,9.85037231445
262.559417725,9.85806465149
265.058807373,9.64608573914
267.558197021,9.05572509766
270.05758667,8.8106174469
272.556976318,8.91584205627
275.056365967,9.35657405853
277.555755615,9.17920589447
280.055145264,9.2742805481
282.554534912,9.55307579041
285.053924561,10.4733982086
287.553314209,11.2328052521
290.052703857,11.6293315887
292.552093506,11.8089847565
295.051483154,12.4278259277
297.550872803,12.7520561218
300.050262451,11.8955402374
302.5496521,10.9734115601
305.049041748,10.5707588196
307.548431396,10.6159486771
310.047821045,10.8287410736
312.547210693,10.7936763763
315.046600342,10.9098854065
317.54598999,10.7283401489
320.045379639,10.5742006302
322.544769287,10.4733028412
325.044158936,10.5974941254
327.543548584,10.9031047821
330.042938232,10.9138841629
332.542327881,10.7376079559
335.041717529,10.9983415604
337.541107178,11.176027298
340.040496826,11.7550182343
342.539886475,12.2235174179
345.039276123,11.6817064285
347.538665771,11.4481086731
350.03805542,11.8250408173
352.537445068,12.4667243958
355.036834717,12.1100711823
357.536224365,12.1786670685
360.035614014,12.1578845978
362.535003662,12.5469255447
365.034393311,12.9198360443
367.533782959,13.3706102371
370.033172607,13.1134004593
372.532562256,12.5940208435
375.031951904,11.747423172
377.531341553,11.4381952286
380.030731201,11.1783409119
382.53012085,10.8140296936
385.029510498,10.7814350128
387.528900146,10.410774231
390.028289795,10.6295146942
392.527679443,10.6789531708
395.027069092,10.7553939819
397.52645874,10.8661384583
399.975860596,10.8661384583
