t,heat_flux
0.0399999991059,1.02518151834e-06
2.0399992466,4.54559340142e-05
4.03999757767,9.72608540906e-05
6.03999567032,0.000193942250917
8.03999423981,0.000394072732888
10.0399923325,0.000819308217615
12.0399904251,0.00173515011556
14.0399885178,0.00372713338584
16.0399875641,0.00809397362173
18.0400333405,0.0177316647023
20.0400791168,0.039110802114
22.0401248932,0.0866712480783
24.0401706696,0.192422166467
26.0402164459,0.426104009151
28.0402622223,0.934348702431
30.0403079987,2.00618982315
32.0403518677,4.15476322174
34.040397644,8.15970230103
36.0404434204,14.8341188431
38.0404891968,23.122089386
40.0405349731,26.2886772156
42.0405807495,18.6617546082
44.0406265259,12.2034797668
46.0406723022,10.6661939621
48.0407180786,10.3203735352
50.040763855,10.3795166016
52.0408096313,10.5910654068
54.0408554077,10.5591545105
56.0409011841,10.1106033325
58.0409469604,9.59665298462
60.0409927368,9.41600131989
62.0410385132,9.47049045563
64.0410842896,9.94312095642
66.0411300659,10.3430366516
68.0411758423,10.6180515289
70.0412216187,10.9131336212
72.041267395,10.8032341003
74.0413131714,10.9434843063
76.0413589478,11.0819454193
78.0414047241,10.9525508881
80.0414505005,10.8358755112
82.0414962769,10.5244169235
84.0415420532,10.6880722046
86.0415878296,11.3482160568
88.041633606,12.3801460266
90.0416793823,12.7002601624
92.0417251587,12.0750904083
94.0417709351,11.8375816345
96.0418167114,12.307302475
98.0418624878,12.7348117828
100.041908264,12.6640300751
102.041954041,12.3976154327
104.041999817,12.4195957184
106.042045593,12.7996816635
108.04209137,13.1589803696
110.042137146,13.3697462082
112.042182922,13.0232563019
114.042228699,12.4901733398
116.042274475,11.9698734283
118.042320251,11.8815908432
120.042366028,12.1280956268
122.042411804,11.7730789185
124.042457581,10.8241052628
126.042503357,10.344745636
128.042541504,10.2863454819
130.042205811,10.726234436
132.041870117,11.065864563
134.041534424,11.199092865
136.04119873,11.1186885834
138.040863037,11.2918891907
140.040527344,11.6922416687
142.04019165,11.8758201599
144.039855957,11.7611846924
146.039520264,11.456243515
148.03918457,11.2078914642
150.038848877,11.0975065231
152.038513184,11.0587520599
154.03817749,10.6655750275
156.037841797,10.2499256134
158.037506104,10.1581249237
160.03717041,10.3314914703
162.036834717,10.4441261292
164.036499023,11.1623897552
166.03616333,12.062494278
168.035827637,12.817073822
170.035491943,13.2406702042
172.03515625,13.6972541809
174.034820557,13.7133741379
176.034484863,12.8100442886
178.03414917,12.3339729309
180.033813477,12.1828746796
182.033477783,12.2799682617
184.03314209,12.3354711533
186.032806396,12.1947631836
188.032470703,11.7318553925
190.03213501,10.9490585327
192.031799316,10.6264944077
194.031463623,10.7412595749
196.03112793,11.1932897568
198.030792236,11.1210727692
200.030456543,10.7026376724
202.03012085,10.5709104538
204.029785156,10.5192365646
206.029449463,10.3254289627
208.02911377,10.326128006
210.028778076,10.2030925751
212.028442383,10.1506557465
214.028106689,10.1917266846
216.027770996,10.3551855087
218.027435303,10.4639225006
220.027099609,10.7695665359
222.026763916,11.021074295
224.026428223,11.0478591919
226.026092529,11.0271320343
228.025756836,11.0595579147
230.025421143,11.4466667175
232.025085449,11.9022903442
234.024749756,11.7210330963
236.024414062,11.616809845
238.024078369,11.5687923431
240.023742676,11.1753730774
242.023406982,10.8480043411
244.023071289,10.4368801117
246.022735596,9.97721576691
248.022399902,10.3455066681
250.022064209,10.8926753998
252.021728516,11.1298055649
254.021392822,11.333065033
256.021057129,11.7269964218
258.021484375,12.011759758
260.021911621,12.2035598755
262.022338867,12.536819458
264.022766113,12.7306652069
266.023193359,12.4418201447
268.023620605,12.3801059723
270.024047852,12.2679805756
272.024475098,12.472325325
274.024902344,12.4231739044
276.02532959,12.143450737
278.025756836,11.7786512375
280.026184082,11.3673400879
282.026611328,11.2689981461
284.027038574,11.0535240173
286.02746582,10.7023258209
288.027893066,10.3513002396
290.028320312,10.2330265045
292.028747559,10.4013366699
294.029174805,10.9428014755
296.029602051,11.1534538269
298.030029297,11.1255273819
300.030456543,11.1106891632
302.030883789,11.050330162
304.031311035,11.1702604294
306.031738281,11.4670810699
308.032165527,11.6021757126
310.032592773,11.450838089
312.03302002,11.1214828491
314.033447266,10.8557977676
316.033874512,10.5263385773
318.034301758,10.5786819458
320.034729004,10.863322258
322.03515625,11.1144399643
324.035583496,11.0077342987
326.036010742,10.8200435638
328.036437988,10.2758579254
330.036865234,9.7378616333
332.03729248,9.57944107056
334.037719727,9.91317844391
336.038146973,10.0896148682
338.038574219,10.0155696869
340.039001465,9.7155122757
342.039428711,9.7590265274
344.039855957,10.0157012939
346.040283203,9.88339042664
348.040710449,10.0259685516
350.041137695,10.374628067
352.041564941,10.2954444885
354.041992188,10.2586183548
356.042419434,10.0307159424
358.04284668,9.79878139496
360.043273926,9.86745071411
362.043701172,10.1645717621
364.044128418,10.541519165
366.044555664,11.0942211151
368.04498291,11.5918607712
370.045410156,12.1685619354
372.045837402,12.706243515
374.046264648,13.177529335
376.046691895,13.4533195496
378.047119141,13.7814664841
380.047546387,14.0498628616
382.047973633,14.3006410599
384.048400879,14.1420326233
386.048828125,13.8156023026
388.049255371,12.7719144821
390.049682617,12.0834693909
392.050109863,11.6145248413
394.050537109,11.4686574936
396.050964355,11.3168125153
398.051391602,11.1793613434
400.011810303,11.1793613434
