t,heat_flux
0.0500000007451,1.22113669931e-06
2.54999876022,5.33147176611e-05
5.05000114441,0.000127405233798
7.55001068115,0.000303115870338
10.0500202179,0.000752970459871
12.5500297546,0.00192989490461
15.0500392914,0.0050514889881
17.5500183105,0.0134320752695
20.0499801636,0.0361539050937
22.5499420166,0.0981098413467
25.0499038696,0.266863971949
27.5498657227,0.720014631748
30.0498275757,1.89080131054
32.5497894287,4.69701290131
35.0497512817,10.6143417358
37.5497131348,19.0367050171
40.0496749878,15.8472499847
42.5496368408,9.23761177063
45.0495986938,9.30196762085
47.5495605469,9.51760673523
50.0495223999,9.46291065216
52.5494842529,9.69010448456
55.049446106,9.82489967346
57.549407959,9.12910270691
60.049369812,8.60668373108
62.549331665,8.98832035065
65.049369812,9.48227500916
67.5495223999,9.6386089325
70.0496749878,10.0091247559
72.5498275757,10.196521759
75.0499801636,10.3604278564
77.5501327515,10.1003065109
80.0502853394,10.2765769958
82.5504379272,10.4646282196
85.0505905151,10.4015741348
87.550743103,10.5062847137
90.0508956909,10.9166412354
92.5510482788,11.6558074951
95.0512008667,11.8560638428
97.5513534546,12.137881279
100.051506042,11.9793548584
102.55165863,11.8598489761
105.051811218,11.0919876099
107.551963806,10.7041902542
110.052116394,10.6334323883
112.552268982,11.254693985
115.05242157,11.6251564026
117.552574158,11.637169838
120.052726746,12.3648052216
122.552879333,12.8330316544
125.053031921,12.784040451
127.553184509,12.7546730042
130.053329468,12.9297218323
132.553482056,13.1964998245
135.053634644,12.622633934
137.553787231,12.1486549377
140.053939819,11.8334712982
142.554092407,10.9563550949
145.054244995,10.5790481567
147.554397583,10.936167717
150.054550171,11.1812486649
152.554702759,11.1566638947
155.054855347,11.0919008255
157.555007935,11.4039363861
160.055160522,11.0858430862
162.55531311,10.4696235657
165.055465698,10.1899394989
167.555618286,10.2279481888
170.055770874,10.6981048584
172.555923462,11.3626251221
175.05607605,11.4509963989
177.556228638,11.3095226288
180.056381226,11.3722133636
182.556533813,11.4860401154
185.056686401,11.2184782028
187.556838989,11.43633461
190.056991577,11.80189991
192.557144165,12.1309700012
195.057296753,12.575881958
197.557449341,12.7103309631
200.057601929,12.5967330933
202.557754517,12.295381546
205.057907104,11.1733283997
207.558059692,10.4118289948
210.05821228,9.98310184479
212.558364868,9.60119438171
215.058517456,9.26761245728
217.558670044,8.93057441711
220.058822632,8.94075393677
222.55897522,9.3973903656
225.059127808,9.76655292511
227.559280396,10.4659938812
230.059432983,10.6647167206
232.559585571,11.1250247955
235.059738159,11.2490568161
237.559890747,11.5028486252
240.060043335,11.9646263123
242.560195923,12.7745141983
245.060348511,13.3122081757
247.560501099,13.7638473511
250.060653687,13.5261363983
252.560806274,12.5978832245
255.060958862,11.927983284
257.560638428,12.3110647202
260.060028076,12.5718126297
262.559417725,12.3348999023
265.058807373,12.1524791718
267.558197021,12.3078641891
270.05758667,12.4673271179
272.556976318,12.0567150116
275.056365967,11.4539451599
277.555755615,11.4569530487
280.055145264,11.7083740234
282.554534912,12.3208560944
285.053924561,12.2144908905
287.553314209,11.4469585419
290.052703857,10.9898176193
292.552093506,11.4677476883
295.051483154,11.6798696518
297.550872803,11.639424324
300.050262451,11.3176326752
302.5496521,11.3923110962
305.049041748,11.9651002884
307.548431396,12.2019720078
310.047821045,12.454079628
312.547210693,12.0445308685
315.046600342,11.2169952393
317.54598999,11.2336940765
320.045379639,11.5173110962
322.544769287,11.6434860229
325.044158936,10.9065971375
327.543548584,10.7647895813
330.042938232,11.0290775299
332.542327881,11.4964237213
335.041717529,12.2021217346
337.541107178,13.0386981964
340.040496826,13.0739269257
342.539886475,13.3902664185
345.039276123,13.691608429
347.538665771,13.4821043015
350.03805542,13.366071701
352.537445068,12.4072122574
355.036834717,11.2809524536
357.536224365,10.4337520599
360.035614014,10.49563694
362.535003662,11.1699504852
365.034393311,11.2689685822
367.533782959,11.4918804169
370.033172607,12.0822525024
372.532562256,12.5960674286
375.031951904,12.4382886887
377.531341553,12.594004631
380.030731201,12.1337947845
382.53012085,12.0281829834
385.029510498,12.1293363571
387.528900146,12.3861980438
390.028289795,12.1312637329
392.527679443,12.4392852783
395.027069092,12.724943161
397.52645874,12.6122970581
399.975860596,12.6122970581
