t,heat_flux
0.0500000007451,1.22553956317e-06
2.54999876022,5.33982311026e-05
5.05000114441,0.000127480714582
7.55001068115,0.000303353590425
10.0500202179,0.000753847649321
12.5500297546,0.00193289446179
15.0500392914,0.00506131956354
17.5500183105,0.0134637076408
20.0499801636,0.0362548492849
22.5499420166,0.0984287858009
25.0499038696,0.267849415541
27.5498657227,0.722913622856
30.0498275757,1.89855647087
32.5497894287,4.71515035629
35.0497512817,10.6520137787
37.5497131348,19.0939884186
40.0496749878,15.8155651093
42.5496368408,9.26184844971
45.0495986938,9.35971927643
47.5495605469,9.57164287567
50.0495223999,9.57796478271
52.5494842529,9.95270633698
55.049446106,10.1740036011
57.549407959,9.36910438538
60.049369812,9.01040267944
62.549331665,9.34586429596
65.049369812,9.63643264771
67.5495223999,9.76036262512
70.0496749878,10.5151090622
72.5498275757,11.5811977386
75.0499801636,11.6987419128
77.5501327515,11.1853847504
80.0502853394,10.6866378784
82.5504379272,11.0250673294
85.0505905151,11.7424087524
87.550743103,11.6668491364
90.0508956909,11.4752807617
92.5510482788,11.2609844208
95.0512008667,11.2696266174
97.5513534546,11.9387207031
100.051506042,12.574090004
102.55165863,11.9845094681
105.051811218,11.6837453842
107.551963806,11.9113693237
110.052116394,11.6362581253
112.552268982,11.0779018402
115.05242157,11.0015916824
117.552574158,11.0601100922
120.052726746,11.0553598404
122.552879333,11.6702413559
125.053031921,12.0332317352
127.553184509,12.2184886932
130.053329468,12.2506389618
132.553482056,12.060590744
135.053634644,12.4421024323
137.553787231,12.7139625549
140.053939819,12.7379169464
142.554092407,12.1790761948
145.054244995,11.7118053436
147.554397583,12.1348342896
150.054550171,12.343952179
152.554702759,12.9929199219
155.054855347,12.6676034927
157.555007935,12.4327735901
160.055160522,11.6732873917
162.55531311,10.830447197
165.055465698,10.4152050018
167.555618286,10.4209976196
170.055770874,10.8631067276
172.555923462,11.1470098495
175.05607605,10.9827833176
177.556228638,10.8903141022
180.056381226,10.6953172684
182.556533813,10.9795703888
185.056686401,11.5735664368
187.556838989,11.6436357498
190.056991577,11.374871254
192.557144165,11.8227138519
195.057296753,11.9462928772
197.557449341,12.0111522675
200.057601929,12.6312656403
202.557754517,13.1322021484
205.057907104,12.452167511
207.558059692,12.0049791336
210.05821228,12.6549634933
212.558364868,12.8121948242
215.058517456,12.6832084656
217.558670044,12.6279993057
220.058822632,12.2274112701
222.55897522,11.7964019775
225.059127808,11.5297107697
227.559280396,11.2406635284
230.059432983,11.051981926
232.559585571,11.2343730927
235.059738159,11.6182079315
237.559890747,11.1432781219
240.060043335,11.0818767548
242.560195923,11.3220748901
245.060348511,11.2066020966
247.560501099,10.6779060364
250.060653687,9.98109817505
252.560806274,9.81622028351
255.060958862,9.85228347778
257.560638428,10.1871433258
260.060028076,10.6907997131
262.559417725,11.1186695099
265.058807373,11.4816913605
267.558197021,11.4462146759
270.05758667,11.2943248749
272.556976318,11.1530075073
275.056365967,11.2447147369
277.555755615,11.3026103973
280.055145264,11.0403375626
282.554534912,10.9415206909
285.053924561,11.4064092636
287.553314209,12.1788387299
290.052703857,12.6609458923
292.552093506,12.74634552
295.051483154,13.1030902863
297.550872803,12.8051977158
300.050262451,12.0486879349
302.5496521,11.3748474121
305.049041748,10.8396310806
307.548431396,10.60688591
310.047821045,10.7238883972
312.547210693,10.7246351242
315.046600342,10.8594789505
317.54598999,10.8684310913
320.045379639,10.6588230133
322.544769287,10.9119110107
325.044158936,10.8997373581
327.543548584,11.2360143661
330.042938232,11.7236671448
332.542327881,11.6052856445
335.041717529,11.5257053375
337.541107178,11.7178668976
340.040496826,11.6426696777
342.539886475,11.9621200562
345.039276123,11.9572982788
347.538665771,12.317073822
350.03805542,12.6445064545
352.537445068,12.0074253082
355.036834717,11.5144748688
357.536224365,11.4290904999
360.035614014,11.4984207153
362.535003662,11.7353181839
365.034393311,11.5350589752
367.533782959,11.2313957214
370.033172607,11.4759864807
372.532562256,12.2748641968
375.031951904,12.122127533
377.531341553,11.812661171
380.030731201,11.9170942307
382.53012085,11.6237258911
385.029510498,11.4610939026
387.528900146,10.642074585
390.028289795,9.85619735718
392.527679443,10.2501296997
395.027069092,10.4901218414
397.52645874,10.3066930771
399.975860596,10.3066930771
