t,heat_flux
0.0399999991059,1.11384451884e-06
2.0399992466,4.11551409343e-05
4.03999757767,6.39594582026e-05
6.03999567032,9.79065807769e-05
8.03999423981,0.000162017109687
10.0399923325,0.000279489438981
12.0399904251,0.00049152772408
14.0399885178,0.000875110155903
16.0399875641,0.00157385168131
18.0400333405,0.0028571151197
20.0400791168,0.00523340608925
22.0401248932,0.00966279022396
24.0401706696,0.0179578382522
26.0402164459,0.0335457697511
28.0402622223,0.0629024803638
30.0403079987,0.118216231465
32.0403518677,0.222222581506
34.040397644,0.416623681784
36.0404434204,0.775766611099
38.0404891968,1.42660903931
40.0405349731,2.57371377945
42.0405807495,4.52318286896
44.0406265259,7.6807141304
46.0406723022,12.4569225311
48.0407180786,18.8198471069
50.040763855,25.1813564301
52.0408096313,28.2393169403
54.0408554077,25.0244216919
56.0409011841,18.9255561829
58.0409469604,14.9156236649
60.0409927368,12.9052467346
62.0410385132,11.4819488525
64.0410842896,10.724281311
66.0411300659,10.483171463
68.0411758423,10.4001846313
70.0412216187,10.3089447021
72.041267395,10.5070695877
74.0413131714,10.8280887604
76.0413589478,11.1974487305
78.0414047241,11.6420030594
80.0414505005,11.9878950119
82.0414962769,12.3174057007
84.0415420532,12.6772384644
86.0415878296,12.8717870712
88.041633606,12.6607494354
90.0416793823,12.6392059326
92.0417251587,12.7023057938
94.0417709351,12.5172595978
96.0418167114,12.1263380051
98.0418624878,11.8985404968
100.041908264,11.9820375443
102.041954041,12.1317796707
104.041999817,12.2217845917
106.042045593,12.2726049423
108.04209137,12.4904356003
110.042137146,12.744427681
112.042182922,12.9510688782
114.042228699,13.4757595062
116.042274475,14.0332717896
118.042320251,14.133441925
120.042366028,13.9841041565
122.042411804,13.5591602325
124.042457581,12.8920326233
126.042503357,12.661655426
128.042541504,12.6094741821
130.042205811,12.5908441544
132.041870117,12.6237325668
134.041534424,12.935667038
136.04119873,13.4490890503
138.040863037,13.7484312057
140.040527344,14.3313455582
142.04019165,14.6462974548
144.039855957,14.8220939636
146.039520264,15.0554208755
148.03918457,15.2900314331
150.038848877,15.6703720093
152.038513184,15.9830970764
154.03817749,16.0564670563
156.037841797,16.1854896545
158.037506104,16.2904777527
160.03717041,16.0629882812
162.036834717,15.5717744827
164.036499023,15.2674007416
166.03616333,14.9425296783
168.035827637,14.8426818848
170.035491943,14.7117767334
