t,heat_flux
0.0500000007451,1.31209606025e-06
2.54999876022,4.39036048192e-05
5.05000114441,7.32168700779e-05
7.55001068115,0.000133697147248
10.0500202179,0.000265122449491
12.5500297546,0.000542914611287
15.0500392914,0.00113178964239
17.5500183105,0.00239743338898
20.0499801636,0.00515350140631
22.5499420166,0.0112177776173
25.0499038696,0.0246593076736
27.5498657227,0.05459170416
30.0498275757,0.121324956417
32.5497894287,0.269439697266
35.0497512817,0.593648791313
37.5497131348,1.28363060951
40.0496749878,2.68643093109
42.5496368408,5.3574180603
45.0495986938,9.97758102417
47.5495605469,16.860742569
50.0495223999,23.8116550446
52.5494842529,25.4986820221
55.049446106,21.425951004
57.549407959,16.1090106964
60.049369812,12.917257309
62.549331665,11.529540062
65.049369812,10.6454029083
67.5495223999,10.3149223328
70.0496749878,10.2543172836
72.5498275757,10.4947395325
75.0499801636,10.7924795151
77.5501327515,11.3509922028
80.0502853394,12.0005588531
82.5504379272,12.6668262482
85.0505905151,13.6939506531
87.550743103,14.5601558685
90.0508956909,15.0066337585
92.5510482788,15.2186422348
95.0512008667,15.4870214462
97.5513534546,15.9584178925
100.051506042,16.0985889435
102.55165863,16.0015869141
105.051811218,16.0564422607
107.551963806,16.1740112305
110.052116394,16.0300045013
112.552268982,15.9525699615
115.05242157,16.4084911346
117.552574158,16.9553947449
120.052726746,17.0074119568
122.552879333,17.141866684
125.053031921,16.9215393066
127.553184509,17.0360832214
130.053329468,17.3435878754
132.553482056,17.6272850037
135.053634644,18.1410255432
137.553787231,18.5946731567
140.053939819,18.8180503845
142.554092407,18.8178863525
145.054244995,18.7572422028
147.554397583,18.4205169678
150.054550171,18.2927951813
152.554702759,18.4784908295
155.054855347,17.7340736389
157.555007935,17.0088195801
160.055160522,16.1486606598
162.55531311,15.7218151093
165.055465698,15.3459587097
167.555618286,14.7310733795
170.055770874,14.0781068802
172.555923462,13.5525779724
175.05607605,13.1869602203
177.556228638,12.9430141449
180.056381226,12.9615716934
182.556533813,12.8606967926
185.056686401,12.5877780914
187.556838989,12.4484062195
190.056991577,12.7756195068
192.557144165,13.1825227737
195.057296753,13.7240171432
197.557449341,14.3130626678
200.057601929,14.3978652954
202.557754517,14.6450881958
205.057907104,14.6752033234
207.558059692,14.5416488647
210.05821228,14.3554201126
212.558364868,14.3406238556
215.058517456,14.5784864426
217.558670044,14.2518749237
220.058822632,13.9659175873
222.55897522,14.3640642166
225.059127808,14.701590538
227.559280396,15.2380800247
230.059432983,15.5055770874
232.559585571,15.6146802902
