t,heat_flux
0.0399999991059,1.10458790914e-06
2.0399992466,4.13284142269e-05
4.03999757767,6.53005845379e-05
6.03999567032,0.000100574703538
8.03999423981,0.000166730227647
10.0399923325,0.000288099894533
12.0399904251,0.000507717137225
14.0399885178,0.000905960041564
16.0399875641,0.001632821979
18.0400333405,0.00297042680904
20.0400791168,0.00545255700126
22.0401248932,0.0100881149992
24.0401706696,0.0187852792442
26.0402164459,0.0351588502526
28.0402622223,0.0660498142242
30.0403079987,0.124350547791
32.0403518677,0.234134510159
34.040397644,0.439581274986
36.0404434204,0.819444894791
38.0404891968,1.50808382034
40.0405349731,2.72161579132
42.0405807495,4.78217458725
44.0406265259,8.11142158508
46.0406723022,13.1153364182
48.0407180786,19.6454467773
50.040763855,25.8850669861
52.0408096313,28.2750091553
54.0408554077,24.6378364563
56.0409011841,19.1541824341
58.0409469604,15.7821483612
60.0409927368,13.6374530792
62.0410385132,12.5670852661
64.0410842896,11.826089859
66.0411300659,11.2600564957
68.0411758423,11.0965490341
70.0412216187,11.3727235794
72.041267395,11.7705783844
74.0413131714,12.0267953873
76.0413589478,12.4208641052
78.0414047241,12.5914297104
80.0414505005,13.0540161133
82.0414962769,13.6741266251
84.0415420532,14.3680734634
86.0415878296,14.9644498825
88.041633606,15.49751091
90.0416793823,15.9432401657
92.0417251587,16.0375099182
94.0417709351,15.8716564178
96.0418167114,15.8479728699
98.0418624878,16.1961097717
100.041908264,16.4629249573
102.041954041,16.4785232544
104.041999817,16.1752243042
106.042045593,15.739610672
108.04209137,15.3874769211
110.042137146,15.0017051697
112.042182922,14.9362068176
114.042228699,14.7045097351
116.042274475,14.5297212601
118.042320251,14.4054365158
120.042366028,14.2493333817
122.042411804,14.2749795914
124.042457581,14.5421714783
126.042503357,14.5393772125
128.042541504,14.6664733887
130.042205811,14.8498516083
132.041870117,15.1019983292
134.041534424,15.2176685333
136.04119873,15.4384489059
138.040863037,15.563990593
140.040527344,15.3588294983
142.04019165,15.1398029327
144.039855957,15.0332698822
146.039520264,15.0295963287
148.03918457,15.0275306702
150.038848877,14.9683485031
152.038513184,15.1385593414
154.03817749,15.0329113007
156.037841797,14.9187412262
158.037506104,14.6285591125
160.03717041,14.2925958633
162.036834717,14.3771438599
164.036499023,14.5491523743
166.03616333,14.7882938385
168.035827637,14.7077102661
170.035491943,14.4722366333
172.03515625,14.3285636902
174.034820557,14.3633327484
176.034484863,14.3750610352
178.03414917,14.2981510162
180.033813477,14.5124082565
182.033477783,15.0102930069
184.03314209,15.5460319519
186.032806396,16.1061725616
188.032470703,16.4136447906
190.03213501,16.7912025452
192.031799316,16.9980049133
194.031463623,17.1340999603
196.03112793,17.1053447723
198.030792236,17.2797279358
200.030456543,17.5269355774
202.03012085,17.6799030304
204.029785156,17.849855423
206.029449463,17.9648685455
208.02911377,18.2187919617
210.028778076,18.752696991
212.028442383,19.5259552002
214.028106689,20.0455322266
216.027770996,19.9203548431
218.027435303,19.3898620605
220.027099609,18.7907333374
222.026763916,18.8008174896
224.026428223,18.5739269257
226.026092529,18.852350235
228.025756836,18.8384361267
230.025421143,18.570110321
232.025085449,18.2185745239
234.024749756,17.4238128662
236.024414062,16.6339664459
238.024078369,16.1466217041
240.023742676,16.2493495941
242.023406982,16.1738681793
244.023071289,16.0369529724
246.022735596,15.6254339218
248.022399902,15.2919158936
250.022064209,14.7701539993
252.021728516,14.2755460739
254.021392822,14.0105857849
256.021057129,13.7965888977
258.021484375,13.6600837708
260.021911621,13.8036060333
262.022338867,13.672372818
264.022766113,13.3321800232
266.023193359,13.4759960175
268.023620605,13.4584550858
270.024047852,13.7367248535
272.024475098,14.2340307236
274.024902344,14.4404115677
276.02532959,14.5504074097
278.025756836,14.629076004
280.026184082,15.1319484711
282.026611328,15.7417564392
284.027038574,16.4254722595
286.02746582,17.343460083
288.027893066,17.9237556458
290.028320312,17.8937225342
292.028747559,18.0559921265
294.029174805,18.0816822052
296.029602051,18.0890960693
298.030029297,18.081319809
300.030456543,18.0402793884
302.030883789,17.989156723
304.031311035,17.5387992859
306.031738281,17.2597007751
308.032165527,17.0398750305
310.032592773,16.462436676
312.03302002,16.1903038025
314.033447266,15.6487407684
316.033874512,15.0814342499
318.034301758,14.6676073074
320.034729004,14.4913434982
322.03515625,14.4354114532
324.035583496,14.0287017822
326.036010742,13.943069458
328.036437988,14.1879940033
330.036865234,14.3672485352
332.03729248,14.625579834
334.037719727,14.6115636826
336.038146973,14.3372898102
338.038574219,14.1677846909
340.039001465,14.1233863831
342.039428711,14.1793966293
344.039855957,14.2786626816
346.040283203,14.3506584167
348.040710449,14.4580154419
350.041137695,14.4945802689
352.041564941,14.455406189
354.041992188,14.7268600464
356.042419434,14.8047418594
358.04284668,14.6622114182
360.043273926,14.4316959381
362.043701172,14.4472503662
364.044128418,14.4662303925
366.044555664,14.7995967865
368.04498291,14.8481731415
370.045410156,14.8585195541
372.045837402,14.8003826141
374.046264648,14.6977510452
376.046691895,14.5281600952
378.047119141,14.693819046
380.047546387,14.9319381714
382.047973633,14.9077987671
384.048400879,15.0217370987
386.048828125,15.1354866028
388.049255371,15.416302681
390.049682617,15.3652009964
392.050109863,15.1985826492
394.050537109,14.9628276825
396.050964355,14.9243507385
398.051391602,15.0543632507
400.011810303,15.0543632507
400.051818848,15.3406028748
402.051818848,15.2817287445
404.051818848,15.074426651
406.051818848,14.7023048401
408.051818848,14.4073457718
410.05178833,14.2609329224
412.05178833,13.7840995789
414.05178833,13.4808425903
416.05178833,13.2758617401
418.051849365,13.2394733429
420.051879883,13.2525520325
422.051940918,13.3775596619
424.051971436,13.2444019318
426.052032471,13.1439094543
428.052062988,13.0713920593
430.052124023,12.9487028122
432.052154541,12.9388446808
434.052215576,13.106595993
436.052246094,13.4565505981
438.052307129,13.7735013962
440.052337646,13.6925039291
442.052398682,13.464006424
444.052429199,13.3031759262
446.052490234,13.2402973175
448.052520752,13.4645242691
450.052581787,13.8872127533
452.052612305,14.2578411102
454.05267334,14.4269428253
456.052703857,14.5365943909
458.052764893,14.5373592377
460.05279541,14.5826215744
462.052856445,14.8211593628
464.052886963,15.2493524551
466.052947998,15.5788412094
468.052978516,16.0502319336
470.053039551,16.3473815918
472.053070068,16.6629486084
474.053131104,17.0181617737
476.053161621,17.1152687073
478.053222656,17.1084117889
480.053253174,17.0616264343
482.053314209,17.4190559387
484.053344727,17.7940177917
486.053405762,17.8719711304
488.053436279,18.0890617371
490.053497314,18.6151447296
492.053527832,19.1837425232
494.053588867,19.4660758972
496.053619385,19.635225296
498.05368042,20.0692062378
500.053710938,20.3086624146
502.053771973,20.451259613
504.05380249,20.1770820618
506.053863525,19.3323669434
508.053894043,18.4021587372
510.053955078,17.7594165802
512.054016113,17.7460689545
514.054016113,17.7661800385
516.054077148,17.8564434052
518.054138184,17.676574707
520.054199219,17.0438766479
522.054199219,16.6542434692
524.054260254,16.1261672974
526.054321289,15.9003334045
528.054321289,15.6560325623
530.054016113,15.6112966537
532.053710938,15.8580112457
534.053344727,16.2481536865
536.052978516,16.7746601105
