t,heat_flux
0.0500000007451,1.30047760649e-06
2.54999876022,4.42819073214e-05
5.05000114441,7.48675083742e-05
7.55001068115,0.000136950257001
10.0500202179,0.000271688564681
12.5500297546,0.000557036371902
15.0500392914,0.00116274575703
17.5500183105,0.00246581528336
20.0499801636,0.00530594727024
22.5499420166,0.0115602985024
25.0499038696,0.0254348628223
27.5498657227,0.0563572309911
30.0498275757,0.125345304608
32.5497894287,0.278527200222
35.0497512817,0.613779127598
37.5497131348,1.32649803162
40.0496749878,2.77247548103
42.5496368408,5.51915454865
45.0495986938,10.2668352127
47.5495605469,17.3594284058
50.0495223999,24.4826164246
52.5494842529,25.8623352051
55.049446106,21.4562549591
57.549407959,16.3126106262
60.049369812,13.3278074265
62.549331665,12.0305156708
65.049369812,11.1736221313
67.5495223999,10.728931427
70.0496749878,10.9522151947
72.5498275757,11.5094261169
75.0499801636,12.1328306198
77.5501327515,12.4971075058
80.0502853394,12.9939136505
82.5504379272,13.7165489197
85.0505905151,14.3925457001
87.550743103,15.0662727356
90.0508956909,15.8845510483
92.5510482788,16.2938365936
95.0512008667,16.9938468933
97.5513534546,17.6296710968
100.051506042,17.5484428406
102.55165863,17.5340309143
105.051811218,17.5701808929
107.551963806,17.9324150085
110.052116394,17.6420764923
112.552268982,17.2252311707
115.05242157,16.593126297
117.552574158,16.5093040466
120.052726746,16.5298881531
122.552879333,16.6136932373
125.053031921,16.242521286
127.553184509,16.0383205414
130.053329468,15.8223342896
132.553482056,15.4490652084
135.053634644,14.5009746552
137.553787231,13.9095697403
140.053939819,13.6816368103
142.554092407,13.6505670547
145.054244995,13.5095396042
147.554397583,13.5955076218
150.054550171,13.7831249237
152.554702759,14.1359233856
155.054855347,14.5207595825
157.555007935,14.6777763367
160.055160522,14.7417554855
162.55531311,14.8694849014
165.055465698,15.2106161118
167.555618286,15.3225774765
170.055770874,15.7793045044
172.555923462,15.5697860718
175.05607605,15.8050889969
177.556228638,16.4302101135
180.056381226,16.833147049
182.556533813,17.5264396667
185.056686401,17.8714561462
187.556838989,18.2977867126
190.056991577,18.9534721375
192.557144165,18.89868927
195.057296753,18.525182724
197.557449341,18.2668514252
200.057601929,17.9903392792
202.557754517,17.7557640076
205.057907104,17.128692627
207.558059692,17.0191574097
210.05821228,16.8120555878
212.558364868,16.3278427124
215.058517456,15.9926166534
217.558670044,15.7942447662
220.058822632,15.8288383484
222.55897522,15.4525299072
225.059127808,15.0021915436
227.559280396,14.604590416
230.059432983,14.3896865845
232.559585571,14.0750989914
235.059738159,13.8155822754
237.559890747,13.7689990997
240.060043335,13.7125787735
242.560195923,13.8186903
245.060348511,13.984208107
247.560501099,14.002661705
250.060653687,14.1020212173
252.560806274,14.4188127518
255.060958862,15.1045026779
257.560638428,15.5804567337
260.060028076,16.1099281311
262.559417725,16.7294311523
265.058807373,17.1053237915
267.558197021,17.1940803528
270.05758667,17.5705375671
272.556976318,17.8804798126
275.056365967,18.0222511292
277.555755615,18.1227073669
280.055145264,18.1330890656
282.554534912,17.9839763641
285.053924561,17.7017936707
287.553314209,17.4960746765
290.052703857,17.4383983612
292.552093506,16.9811096191
295.051483154,16.7622432709
297.550872803,16.4301147461
300.050262451,16.5102577209
302.5496521,16.3963356018
305.049041748,16.4190483093
307.548431396,16.0831222534
310.047821045,15.5437698364
312.547210693,15.2632961273
315.046600342,14.9235315323
317.54598999,14.5598468781
320.045379639,14.5710763931
322.544769287,14.4576330185
325.044158936,14.2090291977
327.543548584,13.6279230118
330.042938232,13.7471399307
332.542327881,13.8586521149
335.041717529,14.0126810074
337.541107178,14.0299682617
340.040496826,14.0830774307
342.539886475,14.311627388
345.039276123,14.311009407
347.538665771,14.2168455124
350.03805542,14.1522464752
352.537445068,13.8968582153
355.036834717,14.3398361206
357.536224365,14.7731513977
360.035614014,15.0710554123
