t,heat_flux
0.0399999991059,1.11640997602e-06
2.0399992466,4.07542720495e-05
4.03999757767,6.22743391432e-05
6.03999567032,9.47384687606e-05
8.03999423981,0.000156538852025
10.0399923325,0.000269666023087
12.0399904251,0.000473421823699
14.0399885178,0.000841334403958
16.0399875641,0.00151058658957
18.0400333405,0.00273791886866
20.0400791168,0.00500714685768
22.0401248932,0.00923116598278
24.0401706696,0.0171315446496
26.0402164459,0.0319596230984
28.0402622223,0.0598535835743
30.0403079987,0.112358346581
32.0403518677,0.21100127697
34.040397644,0.395269334316
36.0404434204,0.735598683357
38.0404891968,1.35240018368
40.0405349731,2.4399740696
42.0405807495,4.2897977829
44.0406265259,7.29205513
46.0406723022,11.8585300446
48.0407180786,18.0425662994
50.040763855,24.4964485168
52.0408096313,28.009552002
54.0408554077,24.9371356964
56.0409011841,18.4206085205
58.0409469604,14.3442497253
60.0409927368,12.2921657562
62.0410385132,11.3722190857
64.0410842896,10.7775850296
66.0411300659,10.4500961304
68.0411758423,10.4575796127
70.0412216187,10.6140422821
72.041267395,10.7906856537
74.0413131714,11.0512104034
76.0413589478,11.5966949463
78.0414047241,12.4605903625
80.0414505005,13.4071111679
82.0414962769,14.1607208252
84.0415420532,14.7888402939
86.0415878296,15.1952266693
88.041633606,15.562456131
90.0416793823,15.7756347656
92.0417251587,16.2803020477
94.0417709351,16.5862770081
96.0418167114,16.5717372894
98.0418624878,16.6721725464
100.041908264,17.0166778564
102.041954041,17.2356414795
104.041999817,16.8882865906
106.042045593,16.4118881226
108.04209137,15.8950338364
110.042137146,15.3534383774
112.042182922,15.0056476593
114.042228699,14.5496101379
116.042274475,14.3412561417
118.042320251,14.3463563919
120.042366028,14.4376888275
122.042411804,14.1800422668
124.042457581,14.2269687653
126.042503357,14.1679325104
128.042541504,14.2343730927
130.042205811,14.608007431
132.041870117,14.9265356064
134.041534424,15.1323184967
136.04119873,15.2381801605
138.040863037,15.3751840591
140.040527344,15.6030597687
142.04019165,15.6613445282
144.039855957,15.7057495117
146.039520264,15.8522109985
148.03918457,16.1549530029
150.038848877,16.2388515472
152.038513184,16.0673866272
154.03817749,15.9269542694
156.037841797,15.8771915436
158.037506104,16.089553833
160.03717041,15.7975502014
162.036834717,15.5589580536
164.036499023,15.4375400543
166.03616333,15.2898035049
168.035827637,15.4225578308
170.035491943,15.5943450928
172.03515625,15.5737857819
174.034820557,15.5097866058
176.034484863,15.285364151
178.03414917,14.9946861267
180.033813477,14.7955245972
182.033477783,14.814040184
184.03314209,15.138422966
186.032806396,15.1561002731
188.032470703,15.1064748764
190.03213501,15.2183132172
192.031799316,15.8522529602
194.031463623,16.5247821808
196.03112793,17.0000610352
198.030792236,17.1601486206
200.030456543,16.9279251099
202.03012085,16.7759151459
204.029785156,16.829126358
206.029449463,16.9447517395
208.02911377,17.1994571686
210.028778076,17.2418060303
212.028442383,17.3092918396
214.028106689,17.6770343781
216.027770996,17.7552223206
218.027435303,17.8730449677
220.027099609,17.6781692505
222.026763916,17.1302947998
224.026428223,17.0495662689
226.026092529,17.0042533875
