t,heat_flux
0.0399999991059,1.03115212369e-06
2.0399992466,3.73366638087e-05
4.03999757767,5.6946551922e-05
6.03999567032,8.75805853866e-05
8.03999423981,0.000146189442603
10.0399923325,0.000254427897744
12.0399904251,0.000451159052318
14.0399885178,0.000809111748822
16.0399875641,0.00146490999032
18.0400333405,0.00267606135458
20.0400791168,0.0049291010946
22.0401248932,0.00914523378015
24.0401706696,0.0170698016882
26.0402164459,0.0320142060518
28.0402622223,0.0602553039789
30.0403079987,0.113641396165
32.0403518677,0.214339524508
34.040397644,0.403120219707
36.0404434204,0.752835571766
38.0404891968,1.38824629784
40.0405349731,2.51192474365
42.0405807495,4.43325948715
44.0406265259,7.57373666763
46.0406723022,12.3420648575
48.0407180786,18.6903953552
50.040763855,25.1194000244
52.0408096313,27.7727508545
54.0408554077,23.437456131
56.0409011841,17.3288154602
58.0409469604,13.8566827774
60.0409927368,11.9186210632
62.0410385132,10.8089437485
64.0410842896,10.0740032196
66.0411300659,9.69479656219
68.0411758423,9.68248748779
70.0412216187,9.6856098175
72.041267395,9.79717826843
74.0413131714,10.0027542114
76.0413589478,10.4836673737
78.0414047241,11.0758495331
80.0414505005,11.5173807144
82.0414962769,12.1574554443
84.0415420532,12.6964931488
86.0415878296,12.9442806244
88.041633606,13.2210845947
90.0416793823,13.386806488
92.0417251587,13.6055049896
94.0417709351,13.7666015625
96.0418167114,14.2411708832
98.0418624878,14.6622629166
100.041908264,14.866101265
102.041954041,15.4927654266
104.041999817,15.6902151108
106.042045593,15.632651329
108.04209137,15.7049503326
110.042137146,15.5432109833
112.042182922,15.3639526367
114.042228699,15.5738544464
116.042274475,15.6601104736
118.042320251,15.7399616241
120.042366028,15.7695093155
122.042411804,15.8722686768
124.042457581,16.2882728577
126.042503357,16.5896244049
128.042541504,17.029460907
130.042205811,17.2171421051
132.041870117,17.3512306213
134.041534424,17.3482971191
136.04119873,17.6601772308
138.040863037,18.1724433899
140.040527344,17.9347038269
142.04019165,17.2327804565
144.039855957,16.5764503479
146.039520264,15.8250761032
148.03918457,15.1984481812
150.038848877,14.6433868408
152.038513184,14.2086210251
154.03817749,14.3504238129
156.037841797,14.334274292
158.037506104,14.1215496063
160.03717041,13.8645133972
162.036834717,14.0153388977
164.036499023,14.1141605377
166.03616333,14.2377071381
168.035827637,14.7076587677
170.035491943,15.133430481
172.03515625,15.6206588745
174.034820557,15.9200553894
176.034484863,16.2486877441
178.03414917,16.5818939209
180.033813477,16.9152870178
182.033477783,17.3935813904
184.03314209,17.3539505005
186.032806396,17.0431022644
188.032470703,17.1130867004
