t,heat_flux
0.0500000007451,1.28824353851e-06
2.54999876022,4.25149410148e-05
5.05000114441,6.99453667039e-05
7.55001068115,0.000128256651806
10.0500202179,0.000255148363067
12.5500297546,0.000523128255736
15.0500392914,0.00109067861922
17.5500183105,0.00230695679784
20.0499801636,0.0049442765303
22.5499420166,0.0107172327116
25.0499038696,0.0234381817281
27.5498657227,0.0515936389565
30.0498275757,0.11400283128
32.5497894287,0.251904845238
35.0497512817,0.553283452988
37.5497131348,1.19676947594
40.0496749878,2.51924157143
42.5496368408,5.09989929199
45.0495986938,9.7616815567
47.5495605469,17.0344009399
50.0495223999,25.1462497711
52.5494842529,27.2703170776
55.049446106,20.0196075439
57.549407959,14.5452480316
60.049369812,11.9115848541
62.549331665,10.5904798508
65.049369812,9.85289573669
67.5495223999,9.67499351501
70.0496749878,9.68628501892
72.5498275757,9.84523963928
75.0499801636,10.2100048065
77.5501327515,10.948299408
80.0502853394,11.5239849091
82.5504379272,12.3520526886
85.0505905151,12.8323640823
87.550743103,13.1961727142
90.0508956909,13.4077568054
92.5510482788,13.6612691879
95.0512008667,13.9476528168
97.5513534546,14.6108646393
100.051506042,14.8027791977
102.55165863,15.5880212784
105.051811218,15.6721134186
107.551963806,15.4367618561
110.052116394,15.3128786087
112.552268982,14.8096628189
115.05242157,14.8035736084
117.552574158,15.0780038834
120.052726746,15.172618866
122.552879333,15.606180191
125.053031921,16.4939651489
127.553184509,17.4287033081
130.053329468,18.009349823
132.553482056,18.0764923096
135.053634644,18.1235694885
137.553787231,17.7269153595
140.053939819,17.4461688995
142.554092407,17.2131557465
145.054244995,16.9489593506
147.554397583,17.2413978577
150.054550171,17.6360702515
152.554702759,17.5846595764
155.054855347,17.3881378174
157.555007935,16.9355220795
160.055160522,16.311958313
162.55531311,15.6757831573
165.055465698,15.3350124359
167.555618286,15.1083946228
170.055770874,14.9895915985
172.555923462,14.343952179
175.05607605,13.6660404205
177.556228638,13.0043487549
180.056381226,13.0083999634
182.556533813,12.7722444534
185.056686401,12.6569805145
187.556838989,12.806303978
190.056991577,12.8866729736
192.557144165,12.9952011108
195.057296753,13.1887969971
197.557449341,13.1775665283
200.057601929,13.1903171539
202.557754517,13.2830085754
205.057907104,13.2478609085
207.558059692,13.6114768982
210.05821228,14.0478830338
212.558364868,14.028676033
215.058517456,14.3462314606
217.558670044,15.2087535858
220.058822632,15.7323665619
222.55897522,16.08644104
225.059127808,16.0192317963
227.559280396,16.0225505829
230.059432983,15.8185329437
232.559585571,16.2009544373
235.059738159,16.4642486572
237.559890747,16.6069202423
240.060043335,17.1648750305
242.560195923,17.3805770874
245.060348511,17.1378688812
247.560501099,17.2503242493
250.060653687,17.4056816101
252.560806274,17.3174438477
255.060958862,16.8907203674
257.560638428,16.4863739014
260.060028076,16.1505756378
262.559417725,15.9007415771
265.058807373,15.120557785
267.558197021,14.6921463013
270.05758667,14.7573680878
272.556976318,14.4978179932
275.056365967,14.5760288239
277.555755615,14.7533226013
280.055145264,14.9792251587
282.554534912,15.3542499542
285.053924561,15.4515476227
287.553314209,15.8719425201
290.052703857,16.2133750916
292.552093506,16.0290603638
295.051483154,15.7247209549
297.550872803,15.875875473
300.050262451,16.2571754456
302.5496521,16.4205684662
305.049041748,16.6245002747
307.548431396,16.9138278961
310.047821045,16.8258914948
312.547210693,16.970615387
315.046600342,16.649230957
317.54598999,16.3913326263
320.045379639,16.1468467712
322.544769287,16.0383167267
325.044158936,15.7420520782
327.543548584,15.8031187057
330.042938232,15.4908065796
332.542327881,15.4076423645
335.041717529,15.3933963776
337.541107178,15.7203807831
340.040496826,15.837515831
342.539886475,15.7981185913
345.039276123,15.883649826
347.538665771,15.5147018433
350.03805542,15.2683734894
