state,index,variant_label,variant_axis,late_mean,sem,ensemble_mean,relative_delta,running_mean_rel_drift,terminal_mean_rel_delta,sem_rel,n_blocks,passed,promotion_ready,source_artifact
baseline,0,seed31,seed,15.746310406992857,0.5147252434664683,15.77320978355736,-0.0017053838079643918,0.021705765035296733,0.019063203566745374,0.0326886254724079,13.0,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_baseline_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_baseline_nonlinear_t900_n64_seed31_heat_flux_trace.csv
baseline,1,seed32,seed,15.575302417463735,0.4529575487194598,15.77320978355736,-0.012547057245122816,0.035459703200430875,0.08714372941460347,0.029081781950608118,13.0,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_baseline_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_baseline_nonlinear_t900_n64_seed32_heat_flux_trace.csv
baseline,2,dt0p04,timestep,15.998016526215487,0.29475772497850056,15.77320978355736,0.014252441053086982,0.04421698618574184,0.002656312358838378,0.01842464186078878,15.0,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_baseline_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_baseline_nonlinear_t900_n64_dt0p04_heat_flux_trace.csv
plus_delta,0,seed31,seed,15.653701834628022,0.4567442955865357,15.892360302242878,-0.015017182034387585,0.06907418768942149,0.003504186569393729,0.02917803727270172,13.0,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_nonlinear_t900_n64_seed31_heat_flux_trace.csv
plus_delta,1,seed32,seed,16.95995268454725,0.4651727256246778,15.892360302242878,0.06717645220727245,0.09457231950913768,0.027865334834430624,0.027427713642651338,13.0,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_nonlinear_t900_n64_seed32_heat_flux_trace.csv
plus_delta,2,dt0p04,timestep,14.322196479395132,0.2680164613325233,15.892360302242878,-0.09879991347956982,0.07934319967187153,0.053263490190055454,0.018713362976000902,15.0,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_nonlinear_t900_n64_dt0p04_heat_flux_trace.csv
plus_delta,3,seed22_dt0p05,seed_timestep,15.785162889045601,0.4292985154639674,15.892360302242878,-0.006745216642372996,,,,,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_nonlinear_t900_n64_seed22_dt0p05_heat_flux_trace.csv
plus_delta,4,seed32_dt0p04,seed_timestep,15.953021484140708,0.4141747270023452,15.892360302242878,0.0038170026820540113,,,,,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_nonlinear_t900_n64_seed32_dt0p04_heat_flux_trace.csv
plus_delta,5,seed33_dt0p05,seed_timestep,16.68012644170055,0.3837340854577897,15.892360302242878,0.049568857267003726,,,,,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_plus_delta_nonlinear_t900_n64_seed33_dt0p05_heat_flux_trace.csv
minus_delta,0,seed31,seed,16.149440057981867,0.26272094973644916,16.46020399120979,-0.018879713361625496,0.04969465047914936,0.04859688421508567,0.016268115104498576,13.0,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_minus_delta_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_minus_delta_nonlinear_t900_n64_seed31_heat_flux_trace.csv
minus_delta,1,seed32,seed,16.503702855375824,0.40086484419338536,16.46020399120979,0.002642668595678532,0.015978815544910662,0.004533375615725852,0.02428938812739287,13.0,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_minus_delta_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_minus_delta_nonlinear_t900_n64_seed32_heat_flux_trace.csv
minus_delta,2,dt0p04,timestep,16.727469060271684,0.5151834520556808,16.46020399120979,0.016237044765946965,0.12189872238037856,0.04705188485870828,0.030798649227769866,15.0,True,True,docs/_static/qa_ess_descent_profile_rel2_nonlinear_gradient_minus_delta_replicates/qa_ess_descent_profile_rel2_nonlinear_gradient_minus_delta_nonlinear_t900_n64_dt0p04_heat_flux_trace.csv
