t,heat_flux
0.0500000007451,1.28511021558e-06
2.54999876022,4.31196167483e-05
5.05000114441,7.18727605999e-05
7.55001068115,0.00013197096996
10.0500202179,0.000262734596618
12.5500297546,0.000539509346709
15.0500392914,0.00112703233026
17.5500183105,0.00238884845749
20.0499801636,0.0051308106631
22.5499420166,0.0111454119906
25.0499038696,0.0244263578206
27.5498657227,0.053881905973
30.0498275757,0.119299173355
32.5497894287,0.264083385468
35.0497512817,0.580858170986
37.5497131348,1.25754368305
40.0496749878,2.64819669724
42.5496368408,5.36003017426
45.0495986938,10.2465486526
47.5495605469,17.8522777557
50.0495223999,26.3182048798
52.5494842529,28.3842887878
55.049446106,21.1657829285
57.549407959,15.5323314667
60.049369812,12.3870687485
62.549331665,10.7481994629
65.049369812,10.2717590332
67.5495223999,10.2361268997
70.0496749878,10.5646038055
72.5498275757,10.4228515625
75.0499801636,10.2875013351
77.5501327515,10.5440254211
80.0502853394,10.7916269302
82.5504379272,11.1447353363
85.0505905151,11.6603899002
87.550743103,12.4506855011
90.0508956909,13.206533432
92.5510482788,13.8116664886
95.0512008667,14.4830131531
97.5513534546,14.7740707397
100.051506042,14.9059562683
102.55165863,14.9011211395
105.051811218,15.3012657166
107.551963806,15.773566246
110.052116394,16.0474815369
112.552268982,16.4667129517
115.05242157,16.7594051361
117.552574158,17.0262641907
120.052726746,17.2809867859
122.552879333,17.7618770599
125.053031921,17.8039855957
127.553184509,17.9330177307
130.053329468,17.820892334
132.553482056,17.6372489929
135.053634644,17.2972755432
137.553787231,16.8978023529
140.053939819,16.855846405
142.554092407,16.5246582031
145.054244995,15.7671031952
147.554397583,15.4380187988
150.054550171,15.6463756561
152.554702759,15.6932287216
155.054855347,15.8271627426
157.555007935,15.8365650177
160.055160522,15.7305021286
162.55531311,15.4277467728
165.055465698,15.713634491
167.555618286,16.1946792603
170.055770874,15.8968448639
172.555923462,15.8123064041
175.05607605,16.2808704376
177.556228638,16.643447876
180.056381226,16.9015197754
182.556533813,17.2025699615
185.056686401,17.40026474
187.556838989,17.9336013794
190.056991577,18.7267017365
192.557144165,19.112569809
195.057296753,19.6905899048
197.557449341,20.2053318024
200.057601929,20.9752521515
202.557754517,20.876745224
205.057907104,21.0280017853
207.558059692,21.2288284302
210.05821228,21.4700565338
212.558364868,21.8685951233
215.058517456,22.2833366394
217.558670044,22.3919334412
220.058822632,21.6883964539
222.55897522,20.6390323639
225.059127808,19.681842804
227.559280396,18.8811187744
230.059432983,18.3421363831
232.559585571,17.8148269653
235.059738159,17.2890377045
237.559890747,17.1041965485
240.060043335,17.2219867706
242.560195923,16.8724861145
245.060348511,16.2031593323
247.560501099,16.1150588989
250.060653687,16.5311050415
252.560806274,16.5594978333
255.060958862,16.6964416504
257.560638428,16.6915245056
260.060028076,17.076877594
262.559417725,17.6280479431
265.058807373,17.6293640137
267.558197021,17.2847194672
270.05758667,16.7687492371
272.556976318,16.9419155121
275.056365967,16.9546585083
277.555755615,17.1540031433
280.055145264,17.3707275391
282.554534912,17.4488296509
285.053924561,17.3430099487
287.553314209,17.2994365692
290.052703857,17.3858413696
292.552093506,17.4721946716
295.051483154,17.3740539551
297.550872803,17.4272041321
300.050262451,17.4261302948
302.5496521,17.4547786713
305.049041748,17.2297592163
307.548431396,17.3818397522
310.047821045,17.7449512482
312.547210693,18.055480957
315.046600342,18.514919281
317.54598999,18.2875232697
320.045379639,18.4331474304
322.544769287,18.6388072968
325.044158936,18.75050354
