t,heat_flux
0.0500000007451,1.28898511775e-06
2.54999876022,4.34984758613e-05
5.05000114441,7.20519092283e-05
7.55001068115,0.000130035827169
10.0500202179,0.000254600454355
12.5500297546,0.000515131163411
15.0500392914,0.00106222042814
17.5500183105,0.0022247126326
20.0499801636,0.00472620734945
22.5499420166,0.0101697556674
25.0499038696,0.0221099369228
27.5498657227,0.0484400615096
30.0498275757,0.106656223536
32.5497894287,0.235135853291
35.0497512817,0.515983581543
37.5497131348,1.11663961411
40.0496749878,2.35323596001
42.5496368408,4.75857210159
45.0495986938,9.05801963806
47.5495605469,15.8301753998
50.0495223999,24.1262989044
52.5494842529,28.8315620422
55.049446106,24.6835842133
57.549407959,17.9759597778
60.049369812,13.3803939819
62.549331665,11.5841302872
65.049369812,10.5787563324
67.5495223999,10.178894043
70.0496749878,10.1759395599
72.5498275757,10.5584449768
75.0499801636,10.8942527771
77.5501327515,11.2101707458
80.0502853394,11.44161129
82.5504379272,12.0275764465
85.0505905151,12.7257976532
87.550743103,13.3939838409
90.0508956909,13.6558856964
92.5510482788,14.0351886749
95.0512008667,14.3948822021
97.5513534546,15.0954866409
100.051506042,15.7695226669
102.55165863,16.3370952606
105.051811218,16.8759994507
107.551963806,17.2845172882
110.052116394,17.0677852631
112.552268982,16.8435745239
115.05242157,16.4241409302
117.552574158,15.35242939
120.052726746,14.4250812531
122.552879333,14.1013669968
125.053031921,13.7575378418
127.553184509,13.510892868
130.053329468,13.43567276
132.553482056,13.3325233459
135.053634644,13.4966754913
137.553787231,13.4672794342
140.053939819,13.4781961441
142.554092407,13.7116117477
145.054244995,13.8351621628
147.554397583,13.8730335236
150.054550171,13.8102703094
152.554702759,13.9274158478
155.054855347,14.2200641632
157.555007935,14.6048679352
160.055160522,14.7701663971
162.55531311,14.8925247192
165.055465698,15.160323143
167.555618286,15.1334657669
170.055770874,15.5358657837
172.555923462,15.8129863739
175.05607605,15.863904953
177.556228638,15.7919073105
180.056381226,16.153793335
182.556533813,16.267698288
185.056686401,16.1447906494
187.556838989,16.4986896515
190.056991577,16.4912471771
