t,heat_flux
0.0399999991059,1.10389373731e-06
2.0399992466,4.13387460867e-05
4.03999757767,6.5440806793e-05
6.03999567032,0.000101166217064
8.03999423981,0.000168283047969
10.0399923325,0.000291483942419
12.0399904251,0.000514725048561
14.0399885178,0.000920356367715
16.0399875641,0.00166243663989
18.0400333405,0.00303133414127
20.0400791168,0.00557766901329
22.0401248932,0.0103446375579
24.0401706696,0.0193100832403
26.0402164459,0.0362303778529
28.0402622223,0.0682329908013
30.0403079987,0.1287856251
32.0403518677,0.243104204535
34.040397644,0.457593023777
36.0404434204,0.855198264122
38.0404891968,1.57779669762
40.0405349731,2.85413360596
42.0405807495,5.02552223206
44.0406265259,8.54105567932
46.0406723022,13.8479442596
48.0407180786,20.7776641846
50.040763855,27.3731403351
52.0408096313,29.7480220795
54.0408554077,25.312412262
56.0409011841,18.9773464203
58.0409469604,15.0590906143
60.0409927368,12.5842723846
62.0410385132,11.486410141
64.0410842896,10.7121143341
66.0411300659,10.1636714935
68.0411758423,10.075510025
70.0412216187,10.2649917603
72.041267395,10.4718513489
74.0413131714,10.7832870483
76.0413589478,11.2434339523
78.0414047241,11.8417949677
80.0414505005,12.3873691559
82.0414962769,12.9093227386
84.0415420532,13.3487987518
86.0415878296,13.6104164124
88.041633606,13.6390924454
90.0416793823,13.919878006
92.0417251587,14.1352653503
94.0417709351,14.340877533
96.0418167114,14.7902050018
98.0418624878,15.1270627975
100.041908264,15.1263389587
102.041954041,15.2108726501
104.041999817,15.6459217072
106.042045593,16.0099754333
108.04209137,16.3297691345
110.042137146,16.6810741425
112.042182922,16.7941055298
114.042228699,16.7431030273
116.042274475,16.5172576904
118.042320251,16.1280212402
120.042366028,16.3365821838
122.042411804,16.7972106934
124.042457581,17.2042922974
126.042503357,17.6417770386
128.042541504,18.4848918915
130.042205811,19.1867980957
132.041870117,19.6522712708
134.041534424,20.4025154114
136.04119873,20.7974891663
138.040863037,20.3617362976
140.040527344,19.7293243408
142.04019165,19.4483985901
144.039855957,19.0314674377
146.039520264,18.6813621521
148.03918457,18.422290802
150.038848877,18.0153846741
152.038513184,17.8259773254
154.03817749,17.5207996368
156.037841797,16.9339008331
158.037506104,16.685174942
160.03717041,16.6627807617
162.036834717,16.755317688
164.036499023,16.800786972
166.03616333,16.5224647522
168.035827637,16.1405601501
170.035491943,16.2109565735
172.03515625,16.6331291199
174.034820557,16.9789352417
176.034484863,16.857919693
178.03414917,17.0212154388
180.033813477,17.1109600067
182.033477783,17.0091571808
184.03314209,16.865524292
186.032806396,16.6893081665
188.032470703,16.478263855
190.03213501,16.3954315186
192.031799316,16.4327201843
194.031463623,16.5311946869
196.03112793,16.5241012573
198.030792236,16.841632843
200.030456543,17.1835403442
202.03012085,17.2581214905
204.029785156,17.3842887878
206.029449463,17.630531311
208.02911377,17.6513519287
210.028778076,17.5960655212
212.028442383,17.5322761536
214.028106689,17.1502914429
216.027770996,17.1404457092
218.027435303,17.2130966187
220.027099609,17.6829986572
222.026763916,17.8770637512
224.026428223,17.818977356
226.026092529,18.1719322205
228.025756836,18.3441429138
230.025421143,18.5535793304
232.025085449,18.3502464294
234.024749756,18.2233219147
236.024414062,17.881652832
238.024078369,17.7646903992
240.023742676,17.894487381
242.023406982,18.1359214783
244.023071289,18.4916381836
246.022735596,18.795791626
248.022399902,19.1610164642
250.022064209,19.212896347
252.021728516,18.5347690582
254.021392822,17.683391571
256.021057129,17.1511573792
258.021484375,16.9189319611
260.021911621,16.8079376221
262.022338867,16.7434177399
264.022766113,16.5395965576
266.023193359,16.1873893738
268.023620605,15.7823829651
270.024047852,15.4132823944
272.024475098,15.1935586929
274.024902344,15.0319137573
276.02532959,14.8129854202
278.025756836,14.8774738312
280.026184082,15.0348815918
282.026611328,15.0123910904
284.027038574,15.3038454056
286.02746582,15.7261981964
288.027893066,16.112154007
290.028320312,16.4724884033
292.028747559,17.174861908
294.029174805,17.537815094
296.029602051,17.7902336121
298.030029297,18.4023685455
300.030456543,18.9122848511
302.030883789,19.2026882172
304.031311035,19.5130748749
306.031738281,19.8267364502
308.032165527,19.892124176
310.032592773,19.7927360535
312.03302002,19.7470741272
314.033447266,19.7130413055
316.033874512,19.2710380554
318.034301758,18.824213028
320.034729004,18.6548576355
322.03515625,18.4647750854
324.035583496,18.0146217346
326.036010742,17.9882545471
328.036437988,18.1461105347
330.036865234,18.1679363251
332.03729248,18.2269706726
334.037719727,18.4209022522
336.038146973,18.4708251953
338.038574219,18.5266036987
340.039001465,18.5575752258
342.039428711,18.518989563
344.039855957,18.3614768982
346.040283203,17.9655380249
348.040710449,17.6446723938
350.041137695,17.4101219177
352.041564941,17.2027587891
354.041992188,17.2814617157
356.042419434,17.1917705536
358.04284668,17.1587963104
360.043273926,16.94373703
362.043701172,16.0358123779
364.044128418,15.1802682877
366.044555664,14.6821546555
368.04498291,14.8426561356
370.045410156,14.9554290771
372.045837402,14.7850704193
374.046264648,14.3841276169
376.046691895,14.1583862305
378.047119141,13.8681077957
380.047546387,13.7455463409
382.047973633,13.807472229
384.048400879,14.0372447968
386.048828125,14.3466720581
388.049255371,14.8103017807
390.049682617,15.3501319885
392.050109863,15.9051771164
394.050537109,16.8409156799
396.050964355,17.5057601929
398.051391602,18.2580947876
400.011810303,18.2580947876
400.051818848,18.8670578003
402.051818848,19.2638759613
404.051818848,19.6488227844
406.051818848,20.1003513336
408.051818848,20.303812027
410.05178833,20.344575882
412.05178833,20.0468196869
414.05178833,19.3290214539
416.05178833,18.839723587
418.051849365,18.5116863251
420.051879883,17.9802742004
422.051940918,17.5440731049
424.051971436,16.9258594513
426.052032471,16.4033203125
428.052062988,16.3082809448
430.052124023,15.9849395752
432.052154541,16.0143222809
434.052215576,16.0277080536
436.052246094,16.1653862
438.052307129,16.1123428345
440.052337646,15.9302196503
442.052398682,15.665927887
444.052429199,15.8305091858
446.052490234,15.7308101654
448.052520752,15.9643707275
450.052581787,16.1300125122
452.052612305,16.2381019592
454.05267334,16.1460494995
456.052703857,16.054315567
458.052764893,16.1772708893
460.05279541,16.1968669891
462.052856445,16.4384727478
464.052886963,16.35887146
466.052947998,16.5471191406
468.052978516,16.9104118347
470.053039551,17.035282135
472.053070068,17.029876709
474.053131104,16.8721008301
476.053161621,16.8259792328
478.053222656,17.1269302368
480.053253174,16.9524078369
482.053314209,16.7656288147
484.053344727,16.5366706848
486.053405762,16.6328258514
488.053436279,16.7682094574
490.053497314,16.9009590149
492.053527832,16.9156074524
494.053588867,16.9206428528
496.053619385,16.924577713
498.05368042,16.8296699524
500.053710938,16.8003044128
502.053771973,16.8169364929
504.05380249,16.3247241974
506.053863525,16.0420093536
508.053894043,15.6561927795
510.053955078,15.1017656326
512.054016113,14.5754098892
514.054016113,14.3100738525
516.054077148,14.1186294556
518.054138184,14.0325698853
520.054199219,14.3409128189
522.054199219,14.5855045319
524.054260254,14.8734798431
526.054321289,14.987613678
528.054321289,14.9956121445
530.054016113,15.0245895386
532.053710938,15.2981090546
534.053344727,15.2973489761
536.052978516,15.4704017639
538.05267334,15.4622192383
540.052368164,15.4329862595
542.052001953,15.4620895386
544.051635742,15.5135917664
546.051330566,15.655210495
548.051025391,15.768415451
550.05065918,15.6857891083
552.050292969,15.4960432053
554.049987793,15.5644044876
556.049682617,15.6999807358
558.049316406,15.9221687317
560.048950195,16.124797821
562.04864502,16.0706100464
564.048339844,15.9967718124
566.047973633,16.051574707
568.047607422,15.7719135284
570.047302246,15.6163845062
572.04699707,15.3288059235
574.046630859,15.0226917267
576.046264648,14.7681045532
578.045959473,14.5109462738
580.045654297,14.5561618805
