t,heat_flux
0.0500000007451,1.29952934458e-06
2.54999876022,4.42971031589e-05
5.05000114441,7.51147090341e-05
7.55001068115,0.000137980663567
10.0500202179,0.0002744627418
12.5500297546,0.000563904060982
15.0500392914,0.00117976602633
17.5500183105,0.00250817183405
20.0499801636,0.00541125796735
22.5499420166,0.0118219815195
25.0499038696,0.0260841865093
27.5498657227,0.0579636842012
30.0498275757,0.129297479987
32.5497894287,0.288148403168
35.0497512817,0.636741280556
37.5497131348,1.37937247753
40.0496749878,2.88757634163
42.5496368408,5.75361728668
45.0495986938,10.7159700394
47.5495605469,18.1425209045
50.0495223999,25.65483284
52.5494842529,27.1539440155
55.049446106,22.5336055756
57.549407959,16.815158844
60.049369812,13.2750825882
62.549331665,11.6309556961
65.049369812,11.0956888199
67.5495223999,10.9520044327
70.0496749878,11.2009687424
72.5498275757,11.7079296112
75.0499801636,12.5108127594
77.5501327515,13.5650129318
80.0502853394,14.7843027115
82.5504379272,15.3391609192
85.0505905151,16.2215328217
87.550743103,16.4831371307
90.0508956909,16.5138835907
92.5510482788,16.5477085114
95.0512008667,16.6005496979
97.5513534546,16.3883724213
100.051506042,15.9053144455
102.55165863,15.707857132
105.051811218,15.5723314285
107.551963806,15.7044878006
110.052116394,15.8035449982
112.552268982,15.6189470291
115.05242157,15.748963356
117.552574158,15.7332448959
120.052726746,15.2493162155
122.552879333,15.2366905212
125.053031921,15.2314939499
127.553184509,15.1857481003
130.053329468,15.2915287018
132.553482056,15.2977228165
135.053634644,15.542807579
137.553787231,16.0446357727
140.053939819,16.0895385742
142.554092407,16.2371501923
145.054244995,16.5161590576
147.554397583,16.5630531311
150.054550171,16.6585350037
152.554702759,16.9697208405
155.054855347,16.9786777496
157.555007935,17.2371406555
160.055160522,18.1244792938
162.55531311,18.6195049286
165.055465698,18.6085300446
167.555618286,18.2826595306
170.055770874,18.1385402679
172.555923462,17.7362613678
175.05607605,16.7220478058
177.556228638,16.5737800598
180.056381226,16.141336441
182.556533813,15.8520860672
185.056686401,15.4921131134
187.556838989,15.0191354752
190.056991577,14.4117546082
192.557144165,13.8005542755
195.057296753,13.4029064178
197.557449341,12.8930101395
200.057601929,13.1210069656
202.557754517,13.4082288742
205.057907104,13.5418128967
207.558059692,13.5122919083
210.05821228,13.6546373367
212.558364868,13.8584842682
215.058517456,14.1551570892
217.558670044,14.5049505234
220.058822632,14.8047008514
222.55897522,15.1578235626
225.059127808,15.7797966003
227.559280396,16.2432022095
230.059432983,16.8849143982
232.559585571,17.329120636
235.059738159,17.5243225098
237.559890747,17.6162776947
240.060043335,17.2204608917
242.560195923,16.8607769012
245.060348511,17.0713787079
247.560501099,16.9804153442
250.060653687,17.0365390778
252.560806274,17.0321006775
255.060958862,16.773935318
257.560638428,15.8155593872
260.060028076,14.9135789871
262.559417725,14.251709938
265.058807373,13.8479700089
267.558197021,13.9873514175
270.05758667,14.1590948105
272.556976318,14.4875421524
275.056365967,14.5721292496
277.555755615,14.692738533
280.055145264,14.6034832001
282.554534912,15.2285013199
285.053924561,15.7926044464
287.553314209,16.2219638824
290.052703857,16.1180477142
292.552093506,16.0927791595
295.051483154,16.30975914
297.550872803,16.2634048462
300.050262451,16.4810619354
302.5496521,16.5301990509
305.049041748,16.1545658112
307.548431396,15.9924926758
310.047821045,15.9785118103
312.547210693,16.1473007202
315.046600342,16.4492530823
317.54598999,16.5858688354
320.045379639,16.4333057404
322.544769287,15.7002449036
325.044158936,15.2214345932
327.543548584,14.8618984222
330.042938232,14.9134378433
332.542327881,15.0445508957
335.041717529,15.1643314362
337.541107178,15.3735952377
340.040496826,15.3459215164
342.539886475,15.2379169464
345.039276123,14.9499149323
347.538665771,14.5835523605
350.03805542,14.0792608261
352.537445068,13.9029111862
355.036834717,14.167222023
357.536224365,14.3291025162
360.035614014,14.1970243454
362.535003662,14.2703027725
365.034393311,14.2991790771
367.533782959,14.4689302444
370.033172607,14.3469934464
372.532562256,14.4539861679
375.031951904,14.2228240967
377.531341553,14.2966794968
380.030731201,13.9556570053
382.53012085,13.3325939178
385.029510498,12.9707460403
387.528900146,13.051358223
390.028289795,13.3232164383
392.527679443,13.3587236404
395.027069092,13.6662521362
397.52645874,13.7687005997
400.025848389,13.9115285873
402.525238037,14.3518381119
405.024627686,14.8374118805
407.524017334,15.3210344315
410.023406982,15.775762558
412.522796631,16.1616287231
415.022186279,16.2673416138
417.521575928,16.5362701416
420.020965576,16.4848136902
422.520355225,16.3444824219
425.019744873,16.1276321411
427.519134521,15.8928194046
430.01852417,15.5952539444
432.517913818,15.5054502487
435.017303467,15.1368198395
437.516693115,15.1010608673
440.016082764,15.2415628433
442.515472412,15.2318344116
445.014862061,15.2054977417
447.514251709,15.4730911255
450.013641357,15.5875453949
452.513031006,15.5243577957
455.012420654,15.8667736053
457.511810303,16.0150947571
460.011199951,16.0860061646
462.5105896,16.0800514221
465.009979248,16.3253650665
