t,heat_flux
0.0500000007451,1.29822228701e-06
2.54999876022,4.42591663159e-05
5.05000114441,7.46849327697e-05
7.55001068115,0.000137584924232
10.0500202179,0.000275163503829
12.5500297546,0.000568068819121
15.0500392914,0.00119390175678
17.5500183105,0.00254686875269
20.0499801636,0.00550709338859
22.5499420166,0.0120454281569
25.0499038696,0.0265786536038
27.5498657227,0.0590102598071
30.0498275757,0.131393492222
32.5497894287,0.291892439127
35.0497512817,0.641503810883
37.5497131348,1.37761640549
40.0496749878,2.85298585892
42.5496368408,5.63427305222
45.0495986938,10.3619775772
47.5495605469,16.9108562469
50.0495223999,23.480298996
52.5494842529,24.6404838562
55.049446106,19.9306373596
57.549407959,15.4536705017
60.049369812,13.1400356293
62.549331665,11.7428207397
65.049369812,10.7526855469
67.5495223999,10.1436214447
70.0496749878,9.89611816406
72.5498275757,9.94496917725
75.0499801636,10.3243532181
77.5501327515,10.9769849777
80.0502853394,11.6117343903
82.5504379272,12.1779413223
85.0505905151,12.5707149506
87.550743103,13.0654001236
90.0508956909,13.9588098526
92.5510482788,14.5755500793
95.0512008667,14.9559736252
97.5513534546,15.4532432556
100.051506042,16.0363082886
102.55165863,16.6548366547
105.051811218,16.8068389893
107.551963806,16.8134651184
110.052116394,16.6279983521
112.552268982,16.6900024414
115.05242157,16.6532287598
117.552574158,16.7382144928
120.052726746,16.4685935974
122.552879333,16.3920898438
125.053031921,16.4943351746
127.553184509,16.1303977966
130.053329468,15.7076148987
132.553482056,15.3880748749
135.053634644,15.3219270706
137.553787231,15.0863513947
140.053939819,14.800163269
142.554092407,14.7432718277
145.054244995,14.8229846954
147.554397583,14.7578144073
150.054550171,14.7621736526
152.554702759,14.9450311661
155.054855347,14.9546871185
157.555007935,14.9250030518
160.055160522,15.1979122162
162.55531311,15.039935112
165.055465698,14.9000091553
167.555618286,14.6631908417
170.055770874,14.7074079514
172.555923462,14.2892036438
175.05607605,13.6846446991
177.556228638,13.7446269989
180.056381226,13.7020320892
182.556533813,13.4732179642
185.056686401,13.7964668274
187.556838989,14.414513588
190.056991577,14.5196685791
192.557144165,14.8730201721
195.057296753,14.9918327332
197.557449341,15.2998828888
200.057601929,15.7553529739
202.557754517,16.660364151
205.057907104,17.1408596039
207.558059692,17.2980670929
210.05821228,17.404417038
212.558364868,17.2664432526
215.058517456,16.9273300171
217.558670044,16.7955055237
220.058822632,16.8103752136
222.55897522,17.1023616791
225.059127808,16.9965362549
227.559280396,16.8698158264
230.059432983,16.6823692322
232.559585571,16.9853038788
235.059738159,17.3387794495
237.559890747,18.1962852478
240.060043335,19.3687648773
242.560195923,20.2295875549
245.060348511,20.6705989838
247.560501099,21.0003299713
250.060653687,20.9243373871
252.560806274,20.8637428284
255.060958862,20.0890045166
257.560638428,19.6139640808
260.060028076,19.3428058624
262.559417725,19.0935325623
265.058807373,18.6175231934
267.558197021,18.027431488
270.05758667,17.0577278137
272.556976318,15.767829895
275.056365967,14.7603912354
277.555755615,13.9558048248
280.055145264,13.0986213684
282.554534912,12.6137657166
285.053924561,12.3566474915
287.553314209,12.2541856766
290.052703857,12.3435192108
292.552093506,12.2050886154
295.051483154,12.3867120743
297.550872803,12.3906259537
300.050262451,12.5670471191
302.5496521,12.5777921677
305.049041748,12.5806598663
307.548431396,12.7185459137
310.047821045,13.2418336868
312.547210693,13.754776001
315.046600342,14.0842285156
317.54598999,14.4346103668
320.045379639,14.7496442795
322.544769287,14.9698572159
325.044158936,14.8188076019
327.543548584,15.1282253265
330.042938232,14.8150119781
332.542327881,14.3173732758
335.041717529,14.2475223541
337.541107178,14.0091133118
340.040496826,14.0839595795
342.539886475,14.1940956116
345.039276123,14.4849452972
347.538665771,14.7407979965
350.03805542,14.5583000183
352.537445068,14.5960359573
