t,heat_flux
0.0399999991059,1.07278424366e-06
2.0399992466,4.13283669332e-05
4.03999757767,6.67433050694e-05
6.03999567032,0.000103789570858
8.03999423981,0.000172300322447
10.0399923325,0.000296910235193
12.0399904251,0.000520712521393
14.0399885178,0.000924057909288
16.0399875641,0.00165713066235
18.0400333405,0.00300106639042
20.0400791168,0.00548378750682
22.0401248932,0.0101001765579
24.0401706696,0.0187251120806
26.0402164459,0.0348947271705
28.0402622223,0.065274938941
30.0403079987,0.122381918132
32.0403518677,0.229502990842
34.040397644,0.429228544235
36.0404434204,0.797246694565
38.0404891968,1.46233272552
40.0405349731,2.63097286224
42.0405807495,4.61014986038
44.0406265259,7.80415678024
46.0406723022,12.61977005
48.0407180786,19.0548286438
50.040763855,25.561958313
52.0408096313,29.2672042847
54.0408554077,27.1309089661
56.0409011841,20.5976791382
58.0409469604,15.372469902
60.0409927368,12.5528497696
62.0410385132,11.1817455292
64.0410842896,10.5279636383
66.0411300659,10.2014923096
68.0411758423,10.2110424042
70.0412216187,10.3088855743
72.041267395,10.475030899
74.0413131714,10.8385276794
76.0413589478,11.2944507599
78.0414047241,11.8598594666
80.0414505005,12.6580429077
82.0414962769,13.3329257965
84.0415420532,14.0327663422
86.0415878296,14.8660030365
88.041633606,15.6987075806
90.0416793823,16.2317466736
92.0417251587,16.3446140289
94.0417709351,16.4304695129
96.0418167114,16.1095733643
98.0418624878,15.4103136063
100.041908264,14.857749939
102.041954041,14.442735672
104.041999817,14.0677700043
106.042045593,13.575056076
108.04209137,13.0236387253
110.042137146,12.6711702347
112.042182922,12.7134056091
114.042228699,12.5754117966
116.042274475,12.4558439255
118.042320251,12.3392839432
120.042366028,12.5625228882
122.042411804,12.5379085541
124.042457581,12.6921329498
126.042503357,13.2820339203
128.042541504,13.5751800537
130.042205811,13.726193428
132.041870117,13.7460069656
134.041534424,13.9679431915
136.04119873,14.0639362335
138.040863037,13.9192209244
140.040527344,13.8714408875
142.04019165,14.4537563324
144.039855957,14.6091041565
146.039520264,14.7807540894
148.03918457,14.986700058
150.038848877,15.256603241
152.038513184,15.4181280136
154.03817749,15.7855291367
156.037841797,16.402973175
158.037506104,16.7741069794
160.03717041,16.6519889832
162.036834717,16.3918800354
164.036499023,16.2678146362
166.03616333,16.2524929047
168.035827637,16.076839447
170.035491943,15.912817955
172.03515625,15.576839447
174.034820557,15.1202793121
176.034484863,14.5985469818
178.03414917,14.3691101074
180.033813477,14.3219738007
182.033477783,14.2867145538
184.03314209,14.1042003632
186.032806396,14.0932312012
188.032470703,13.938167572
190.03213501,13.9541721344
192.031799316,13.8379688263
194.031463623,13.5778808594
196.03112793,13.7396221161
198.030792236,13.997086525
