t,heat_flux
0.0500000007451,1.25996382394e-06
2.54999876022,4.4733624236e-05
5.05000114441,7.75082080509e-05
7.55001068115,0.000142966935528
10.0500202179,0.000283772154944
12.5500297546,0.000580247899052
15.0500392914,0.00120723049622
17.5500183105,0.00255284667946
20.0499801636,0.00547775486484
22.5499420166,0.0118972947821
25.0499038696,0.0260891616344
27.5498657227,0.0576038323343
30.0498275757,0.127656877041
32.5497894287,0.282676666975
35.0497512817,0.621052026749
37.5497131348,1.3396333456
40.0496749878,2.7989563942
42.5496368408,5.57570838928
45.0495986938,10.3737182617
47.5495605469,17.4962043762
50.0495223999,24.7711811066
52.5494842529,26.6826496124
55.049446106,21.2331829071
57.549407959,14.6247301102
60.049369812,11.8378572464
62.549331665,10.7414283752
65.049369812,10.2547302246
67.5495223999,10.2110061646
70.0496749878,10.389248848
72.5498275757,10.9820690155
75.0499801636,11.4299697876
77.5501327515,12.1793088913
80.0502853394,13.1531896591
82.5504379272,14.1396045685
85.0505905151,14.904841423
87.550743103,15.4706039429
90.0508956909,16.328502655
92.5510482788,16.7071247101
95.0512008667,17.0832519531
97.5513534546,17.2866401672
100.051506042,17.5177822113
102.55165863,18.0702915192
105.051811218,18.4012870789
107.551963806,18.3622112274
110.052116394,18.2191581726
112.552268982,17.40001297
115.05242157,16.6040802002
117.552574158,15.9991102219
120.052726746,15.4886426926
122.552879333,15.1048765182
125.053031921,14.795838356
127.553184509,14.3954029083
130.053329468,14.0157661438
132.553482056,13.5547065735
135.053634644,13.6445560455
137.553787231,13.9896669388
140.053939819,14.2471151352
142.554092407,14.4196100235
145.054244995,14.6737222672
147.554397583,14.9779682159
150.054550171,15.1800661087
152.554702759,15.206530571
155.054855347,15.1244096756
157.555007935,15.1533527374
160.055160522,15.0780363083
162.55531311,15.1021175385
165.055465698,15.1795606613
167.555618286,15.2906398773
170.055770874,15.4030981064
172.555923462,16.0431957245
175.05607605,16.2360515594
177.556228638,15.6639680862
180.056381226,15.1804218292
182.556533813,14.9064035416
185.056686401,14.8523292542
187.556838989,14.6700172424
190.056991577,14.9098291397
192.557144165,14.6343154907
195.057296753,14.6188554764
197.557449341,14.9742860794
200.057601929,15.4114055634
202.557754517,15.3660020828
205.057907104,15.4777936935
207.558059692,15.6364002228
210.05821228,15.6371650696
212.558364868,16.1563529968
215.058517456,16.3421955109
217.558670044,16.6744384766
220.058822632,16.862165451
222.55897522,17.6467285156
225.059127808,18.1305065155
227.559280396,18.2200622559
230.059432983,18.7514038086
232.559585571,19.3767433167
235.059738159,19.829126358
237.559890747,19.7664833069
240.060043335,19.6489315033
242.560195923,19.7260971069
245.060348511,19.4686775208
247.560501099,18.6210136414
250.060653687,17.9029388428
252.560806274,17.4382591248
255.060958862,17.2729454041
257.560638428,16.9288349152
260.060028076,16.5559806824
262.559417725,16.3009147644
265.058807373,16.3023204803
267.558197021,16.6510105133
