t,heat_flux
0.0500000007451,1.24092741771e-06
2.54999876022,4.43028038717e-05
5.05000114441,7.59985123295e-05
7.55001068115,0.000138264600537
10.0500202179,0.000270868302323
12.5500297546,0.000547043513507
15.0500392914,0.00112477503717
17.5500183105,0.00234932638705
20.0499801636,0.0049775633961
22.5499420166,0.0106821451336
25.0499038696,0.0231639463454
27.5498657227,0.0506192371249
30.0498275757,0.111173458397
32.5497894287,0.24450057745
35.0497512817,0.535340845585
37.5497131348,1.15643239021
40.0496749878,2.43421554565
42.5496368408,4.92104768753
45.0495986938,9.39621448517
47.5495605469,16.6133079529
50.0495223999,26.0044002533
52.5494842529,32.1611557007
55.049446106,28.5836486816
57.549407959,20.0889701843
60.049369812,14.6526193619
62.549331665,12.4020767212
65.049369812,10.9440479279
67.5495223999,10.1802024841
70.0496749878,10.0382232666
72.5498275757,10.073431015
75.0499801636,10.3662948608
77.5501327515,10.8124980927
80.0502853394,11.465549469
82.5504379272,12.3577013016
85.0505905151,13.3050174713
87.550743103,14.0773696899
90.0508956909,15.1591396332
92.5510482788,16.2650756836
95.0512008667,16.9255371094
97.5513534546,17.234287262
100.051506042,17.3450622559
102.55165863,17.2078819275
105.051811218,17.2729053497
107.551963806,16.78723526
110.052116394,15.9226169586
112.552268982,15.4147577286
115.05242157,14.7767448425
117.552574158,14.133140564
120.052726746,13.7802600861
122.552879333,13.7606449127
125.053031921,13.7941217422
127.553184509,13.7946777344
130.053329468,13.7649002075
132.553482056,14.2563447952
135.053634644,14.6413593292
137.553787231,14.7965373993
140.053939819,14.974694252
142.554092407,15.523891449
145.054244995,16.1818962097
147.554397583,16.5132522583
150.054550171,16.4809303284
152.554702759,16.4116153717
155.054855347,16.1887245178
157.555007935,16.0140743256
160.055160522,15.5373325348
162.55531311,15.5236053467
165.055465698,15.8748807907
167.555618286,16.140329361
170.055770874,16.5862369537
172.555923462,16.8784408569
175.05607605,16.8092784882
177.556228638,16.5368022919
180.056381226,16.3554534912
182.556533813,16.529510498
185.056686401,16.6872673035
187.556838989,16.839887619
190.056991577,16.7558555603
192.557144165,16.6301078796
195.057296753,16.285905838
197.557449341,16.1102142334
200.057601929,15.9813508987
202.557754517,15.9069042206
205.057907104,16.1524009705
207.558059692,16.3076210022
210.05821228,16.4825668335
212.558364868,16.9420261383
215.058517456,17.8244113922
217.558670044,18.5821495056
220.058822632,18.6564064026
222.55897522,18.632522583
225.059127808,18.642583847
227.559280396,18.5146751404
230.059432983,18.319732666
232.559585571,18.2711811066
235.059738159,18.0299110413
237.559890747,18.3015174866
240.060043335,18.1605987549
242.560195923,17.9432621002
245.060348511,17.365814209
247.560501099,17.0652389526
250.060653687,17.0897483826
252.560806274,16.7982406616
255.060958862,16.828420639
257.560638428,16.5423297882
260.060028076,16.6200752258
262.559417725,16.8698272705
265.058807373,17.4101104736
267.558197021,17.4962730408
