t,heat_flux
0.0500000007451,1.31210094878e-06
2.54999876022,4.39035284217e-05
5.05000114441,7.32160478947e-05
7.55001068115,0.000133693771204
10.0500202179,0.000265111622866
12.5500297546,0.000542883411981
15.0500392914,0.00113170384429
17.5500183105,0.00239720474929
20.0499801636,0.00515290582553
22.5499420166,0.0112162511796
25.0499038696,0.0246554352343
27.5498657227,0.0545819848776
30.0498275757,0.121300823987
32.5497894287,0.269380748272
35.0497512817,0.59350836277
37.5497131348,1.28330874443
40.0496749878,2.68573331833
42.5496368408,5.35600662231
45.0495986938,9.97494316101
47.5495605469,16.8563213348
50.0495223999,23.8063964844
52.5494842529,25.4962501526
55.049446106,21.42827034
57.549407959,16.1110305786
60.049369812,12.9136533737
62.549331665,11.524682045
65.049369812,10.6376571655
67.5495223999,10.3173408508
70.0496749878,10.267074585
72.5498275757,10.4980049133
75.0499801636,10.7973299026
77.5501327515,11.3968219757
80.0502853394,12.0693130493
82.5504379272,12.7569923401
85.0505905151,13.7509012222
87.550743103,14.6523017883
90.0508956909,15.0585956573
92.5510482788,15.0626144409
95.0512008667,15.3975772858
97.5513534546,15.6575708389
100.051506042,15.9368209839
102.55165863,16.4116954803
105.051811218,16.3524837494
107.551963806,16.5974979401
110.052116394,16.8636608124
112.552268982,17.0153656006
115.05242157,17.0881271362
117.552574158,17.2985496521
120.052726746,17.6951446533
122.552879333,18.4530029297
125.053031921,18.8038406372
127.553184509,18.7692527771
130.053329468,18.4277534485
132.553482056,17.1254692078
135.053634644,16.3342208862
137.553787231,15.9154376984
140.053939819,15.7585296631
142.554092407,15.5708618164
145.054244995,15.2532300949
147.554397583,15.0522127151
150.054550171,14.9055891037
152.554702759,14.9790258408
155.054855347,15.1709156036
157.555007935,15.056634903
160.055160522,14.9297409058
162.55531311,15.0817241669
165.055465698,15.2286052704
167.555618286,15.3592510223
170.055770874,15.8091983795
172.555923462,16.0152664185
175.05607605,15.9433403015
177.556228638,15.8969678879
180.056381226,15.8400173187
182.556533813,16.2076015472
185.056686401,16.64478302
187.556838989,16.9050598145
190.056991577,16.9072246552
192.557144165,16.3553504944
195.057296753,16.1795463562
197.557449341,16.3190956116
200.057601929,16.0587081909
202.557754517,15.929391861
205.057907104,15.6650333405
207.558059692,15.9398355484
210.05821228,16.2992687225
212.558364868,16.568769455
215.058517456,16.9688491821
217.558670044,17.0610866547
220.058822632,16.5454521179
222.55897522,16.1219921112
225.059127808,16.3097553253
227.559280396,16.5004482269
230.059432983,16.3474407196
232.559585571,16.3681716919
235.059738159,16.6700382233
237.559890747,16.7945556641
240.060043335,16.9980316162
242.560195923,17.2139530182
245.060348511,17.5101776123
247.560501099,17.5123519897
250.010650635,17.5123519897
250.060653687,17.1267662048
252.560653687,16.9371070862
255.060653687,16.7840690613
257.560668945,16.4437999725
260.060668945,16.2701225281
262.560668945,15.8516874313
265.060699463,15.4790744781
267.560668945,15.1352272034
270.060638428,14.8205938339
272.56060791,14.8098182678
275.060546875,14.4963703156
277.560516357,14.3645486832
280.06048584,14.5190124512
282.560424805,14.6213827133
285.060394287,14.8802576065
287.56036377,15.3008365631
290.060333252,15.8068599701
292.560302734,15.9867811203
295.060241699,16.2521438599
297.560211182,16.2110729218
300.060180664,15.8937206268
302.560119629,15.9926319122
305.060089111,16.2257556915
307.560058594,16.7509613037
310.060028076,17.2246742249
312.559997559,17.8812789917
315.060028076,18.3420734406
317.560180664,18.758014679
320.060333252,18.8983306885
322.56048584,18.5205230713
325.060638428,17.9029178619
327.560791016,17.5759410858
330.060943604,17.2322731018
332.561096191,17.071144104
335.061248779,16.942565918
337.561401367,16.8648796082
340.061553955,16.876127243
342.561706543,16.9949913025
345.061859131,16.8873443604
347.562011719,17.1216926575
350.012145996,17.1216926575
350.062133789,16.9628486633
