t,heat_flux
0.0399999991059,1.10564451461e-06
2.0399992466,4.12207264162e-05
4.03999757767,6.48613495287e-05
6.03999567032,9.99456533464e-05
8.03999423981,0.000165975448908
10.0399923325,0.00028711889172
12.0399904251,0.000506369862705
14.0399885178,0.000904207583517
16.0399875641,0.00163106550463
18.0400333405,0.00297004729509
20.0400791168,0.00545725598931
22.0401248932,0.0101073160768
24.0401706696,0.0188414044678
26.0402164459,0.0353032127023
28.0402622223,0.0663974881172
30.0403079987,0.125155314803
32.0403518677,0.235947787762
34.040397644,0.44358164072
36.0404434204,0.828090548515
38.0404891968,1.5263171196
40.0405349731,2.75887489319
42.0405807495,4.8552942276
44.0406265259,8.25026893616
46.0406723022,13.3795251846
48.0407180786,20.1227779388
50.040763855,26.6454200745
52.0408096313,29.1420021057
54.0408554077,25.0871448517
56.0409011841,18.7913665771
58.0409469604,14.9595737457
60.0409927368,12.7386693954
62.0410385132,11.4859647751
64.0410842896,10.7151088715
66.0411300659,10.3034038544
68.0411758423,10.1965703964
70.0412216187,10.4236240387
72.041267395,10.8210830688
74.0413131714,11.4091510773
76.0413589478,11.9751672745
78.0414047241,12.4064178467
80.0414505005,12.9422855377
82.0414962769,13.3846035004
84.0415420532,13.5979595184
86.0415878296,13.906370163
88.041633606,14.368522644
90.0416793823,14.9300031662
92.0417251587,15.7053489685
94.0417709351,16.0494804382
96.0418167114,15.9247951508
98.0418624878,15.6745166779
100.041908264,15.5701675415
102.041954041,15.7870388031
104.041999817,15.9283647537
106.042045593,16.0420532227
108.04209137,16.1547660828
110.042137146,15.9005889893
112.042182922,15.7176704407
114.042228699,15.6689844131
116.042274475,15.8452539444
118.042320251,16.4551200867
120.042366028,16.997461319
122.042411804,17.3098392487
124.042457581,17.375333786
126.042503357,17.6604175568
128.042541504,18.2501869202
130.042205811,18.8118476868
132.041870117,19.4245796204
134.041534424,19.8799819946
136.04119873,20.461025238
138.040863037,21.0423812866
140.040527344,21.8392944336
142.04019165,22.0358638763
144.039855957,21.9533863068
146.039520264,21.6487541199
148.03918457,21.0776844025
150.038848877,20.4830818176
152.038513184,19.965303421
154.03817749,19.4040203094
156.037841797,18.5278205872
158.037506104,17.8755989075
160.03717041,17.3730659485
162.036834717,16.9107627869
164.036499023,16.2788658142
166.03616333,15.7628545761
168.035827637,15.6965208054
170.035491943,15.6620159149
172.03515625,15.5593128204
174.034820557,15.3127126694
176.034484863,15.2058258057
178.03414917,14.9453601837
180.033813477,14.7401456833
182.033477783,14.9326858521
184.03314209,15.0914649963
186.032806396,15.4026603699
188.032470703,15.6536235809
190.03213501,15.8506240845
192.031799316,15.7203502655
194.031463623,15.5904560089
196.03112793,15.6568164825
198.030792236,15.7362928391
200.030456543,15.6891708374
202.03012085,15.6515159607
204.029785156,15.3719024658
206.029449463,15.6067123413
208.02911377,15.7979040146
210.028778076,16.1283950806
212.028442383,16.1904678345
214.028106689,16.3964138031
216.027770996,16.4392280579
218.027435303,16.5544815063
220.027099609,16.4948616028
222.026763916,16.4053115845
224.026428223,16.7249145508
226.026092529,16.9282264709
228.025756836,17.2016067505
230.025421143,17.5473098755
232.025085449,17.6393680573
234.024749756,17.5553970337
236.024414062,18.0484752655
238.024078369,18.3676223755
240.023742676,18.0037288666
242.023406982,17.4470882416
244.023071289,17.2720108032
246.022735596,17.2338180542
248.022399902,17.1444396973
249.982070923,17.1444396973
250.022064209,17.317401886
252.022064209,17.16746521
254.022064209,16.6465797424
256.022064209,16.1055355072
258.022064209,15.8685369492
260.022064209,15.7939863205
262.022064209,16.0733604431
264.022064209,16.127620697
266.022064209,15.8122844696
268.022094727,15.5784463882
270.022155762,15.2974786758
272.022186279,15.3948287964
274.022247314,15.4934282303
276.022277832,15.5030927658
278.022338867,15.7088489532
280.022369385,16.1117362976
282.02243042,16.3688201904
284.022460938,16.2185134888
286.022521973,15.8332061768
288.02255249,15.8966293335
290.022613525,15.62241745
292.022644043,15.4696598053
294.022705078,15.3518466949
296.022735596,15.4250812531
298.022796631,15.6071119308
300.022827148,15.890130043
302.022888184,15.9828166962
304.022918701,16.3989028931
306.022979736,16.4141139984
308.023010254,16.4769821167
310.023071289,16.4474182129
312.023101807,16.4199123383
314.023162842,16.2809467316
316.023193359,16.5727539062
318.023254395,16.9039173126
320.023284912,17.0118103027
322.023345947,17.1634178162
324.023376465,16.9959659576
326.0234375,16.8687801361
328.023468018,16.6986083984
330.023529053,16.3668937683
332.02355957,16.0222473145
334.023620605,15.8499069214
336.023651123,15.7371578217
338.023712158,15.8602075577
340.023742676,15.7818641663
342.023803711,15.4937486649
344.023834229,15.6071720123
346.023895264,15.8856258392
348.023925781,15.8621444702
349.983978271,15.8621444702
350.023986816,15.4400997162
352.023986816,15.298532486
354.023986816,15.1293802261
356.023986816,15.1851501465
358.023986816,15.039806366
360.023956299,14.9995660782
362.023956299,14.8910598755
364.023956299,14.8914089203
366.023956299,15.1819028854
368.024017334,15.0944433212
370.024047852,15.1082611084
372.024108887,15.0288295746
374.024139404,15.2592830658
376.024200439,15.5800123215
378.024230957,15.6104888916
380.024291992,15.9074954987
382.02432251,16.5806121826
384.024383545,17.1252193451
386.024414062,17.6012458801
388.024475098,17.7699794769
390.024505615,17.997428894
392.02456665,18.1970825195
394.024597168,18.0137939453
396.024658203,17.6924228668
398.024688721,17.4197502136
400.024749756,16.8403186798
402.024780273,16.2659378052
404.024841309,15.7139482498
406.024871826,15.1636276245
408.024932861,14.9611406326
410.024963379,15.1096954346
412.025024414,15.2870178223
414.025054932,15.2120037079
416.025115967,14.8860998154
418.025146484,14.4288196564
420.02520752,14.1302080154
422.025238037,14.2635564804
424.025299072,14.5296783447
426.02532959,14.707616806
428.025390625,14.7093219757
430.025421143,14.8166160583
432.025482178,15.1200656891
434.025512695,15.4182510376
436.02557373,15.1558666229
438.025604248,15.1437511444
440.025665283,15.1210184097
442.025695801,15.1997365952
444.025756836,15.49817276
446.025787354,15.865240097
448.025848389,16.2812194824
449.985900879,16.2812194824
450.025909424,16.5267162323
452.025909424,16.380607605
454.025909424,16.5633583069
456.025909424,16.534078598
458.025909424,16.3577041626
460.025878906,16.2966194153
462.025878906,16.0784091949
464.025878906,15.862739563
466.025878906,15.7696819305
468.025939941,15.8190412521
470.025970459,15.6231536865
472.026031494,15.3771619797
474.026062012,15.1228256226
476.026123047,14.8259706497
478.026153564,14.876127243
480.0262146,14.6982460022
482.026245117,14.8157176971
484.026306152,14.8781166077
486.02633667,14.9756526947
488.026397705,14.808971405
490.026428223,14.5541067123
492.026489258,14.548415184
494.026519775,14.6378269196
496.026580811,14.4735927582
498.026611328,14.4505825043
500.026672363,14.3220653534
502.026702881,14.6666564941
504.026763916,14.941567421
506.026794434,15.0671424866
508.026855469,15.036441803
510.026885986,15.3983373642
512.026916504,15.5881328583
