t,heat_flux
0.0500000007451,1.30179603275e-06
2.54999876022,4.41027477791e-05
5.05000114441,7.43743366911e-05
7.55001068115,0.000136346105137
10.0500202179,0.000270941935014
12.5500297546,0.000556093582418
15.0500392914,0.00116212712601
17.5500183105,0.00246792286634
20.0499801636,0.0053185718134
22.5499420166,0.0116069307551
25.0499038696,0.0255819261074
27.5498657227,0.0567854940891
30.0498275757,0.12653362751
32.5497894287,0.281707882881
35.0497512817,0.622000455856
37.5497131348,1.34682035446
40.0496749878,2.81961345673
42.5496368408,5.62045001984
45.0495986938,10.4686832428
47.5495605469,17.7191238403
50.0495223999,25.0597915649
52.5494842529,26.5727539062
55.049446106,22.2007369995
57.549407959,16.6764392853
60.049369812,13.0972766876
62.549331665,11.298705101
65.049369812,10.4018630981
67.5495223999,10.2941408157
70.0496749878,10.6042308807
72.5498275757,11.2270288467
75.0499801636,11.7036628723
77.5501327515,12.3419075012
80.0502853394,13.0652532578
82.5504379272,14.1975669861
85.0505905151,14.9886436462
87.550743103,15.2622461319
90.0508956909,15.6070346832
92.5510482788,15.8708229065
95.0512008667,16.3515281677
97.5513534546,16.5177669525
100.051506042,16.8854427338
102.55165863,16.8935832977
105.051811218,16.8982124329
107.551963806,16.8142547607
110.052116394,16.6679039001
112.552268982,16.0291824341
115.05242157,15.1442909241
117.552574158,14.8483867645
120.052726746,14.2565793991
122.552879333,13.5172653198
125.053031921,12.7893352509
127.553184509,12.451169014
130.053329468,12.3157196045
132.553482056,11.7399787903
135.053634644,11.3428840637
137.553787231,11.4472560883
140.053939819,11.9845409393
142.554092407,12.3425292969
145.054244995,12.3419332504
147.554397583,12.7456989288
150.054550171,13.0668678284
152.554702759,13.6146144867
155.054855347,14.2978668213
157.555007935,15.5289230347
160.055160522,16.8490867615
162.55531311,17.8492469788
165.055465698,18.9775447845
167.555618286,20.1380157471
170.055770874,20.7394332886
172.555923462,20.976890564
175.05607605,19.8898525238
177.556228638,18.7107219696
180.056381226,18.0559406281
182.556533813,17.7700004578
185.056686401,17.4786186218
187.556838989,17.2792110443
190.056991577,16.813331604
192.557144165,16.67603302
195.057296753,16.4496269226
197.557449341,16.6406021118
200.057601929,16.993598938
202.557754517,17.1885375977
205.057907104,17.4732189178
207.558059692,17.2979030609
210.05821228,17.371307373
212.558364868,17.9270114899
215.058517456,18.2175369263
217.558670044,18.0761814117
220.058822632,17.8877296448
222.55897522,17.4721107483
225.059127808,17.2410011292
227.559280396,17.2744503021
230.059432983,17.0195217133
232.559585571,17.0333061218
235.059738159,16.2485694885
237.559890747,15.990322113
240.060043335,15.3834438324
242.560195923,15.3109512329
245.060348511,15.379693985
247.560501099,15.1701374054
250.010650635,15.1701374054
250.060653687,15.3300199509
252.560653687,15.7867383957
255.060653687,16.48595047
257.560668945,16.4271621704
260.060668945,16.0102577209
262.560668945,15.2144355774
265.060699463,14.7354316711
267.560668945,14.96068573
270.060638428,14.863366127
272.56060791,14.3072128296
275.060546875,13.9413785934
277.560516357,13.9595947266
280.06048584,13.7454490662
282.560424805,13.7915382385
285.060394287,13.7771129608
287.56036377,13.8660202026
290.060333252,14.0317659378
292.560302734,13.6595611572
295.060241699,13.3040294647
297.560211182,12.7887687683
300.060180664,12.7689685822
302.560119629,12.7908973694
305.060089111,12.8486757278
307.560058594,12.7949209213
310.060028076,12.8124237061
312.559997559,12.5879421234
315.060028076,12.8058052063
317.560180664,13.0075817108
320.060333252,13.2426509857
322.56048584,13.268696785
325.060638428,13.4858388901
327.560791016,13.3833847046
330.060943604,13.3743467331
332.561096191,13.6894216537
335.061248779,14.0348930359
337.561401367,14.3553237915
340.061553955,14.4613571167
342.561706543,14.9458761215
345.061859131,15.5164012909
347.562011719,15.9231414795
350.012145996,15.9231414795
350.062133789,16.2171592712
352.562133789,16.4205036163
355.062133789,16.6919517517
357.562164307,17.3036956787
360.062164307,17.7215976715
362.562164307,17.6214675903
365.062194824,17.6498641968
367.562164307,17.3211727142
370.062133789,17.2429962158
372.562072754,17.6257514954
375.062042236,17.6732139587
377.562011719,17.2436294556
380.061981201,16.5742073059
382.561950684,16.2043018341
385.061889648,16.3403320312
387.561859131,16.395526886
390.061828613,16.6689338684
392.561767578,17.1466121674
395.061737061,17.095205307
397.561706543,16.4600906372
400.061676025,15.6061134338
402.561645508,15.6222362518
405.061584473,15.7076015472
407.561553955,15.8701105118
410.061523438,15.8945922852
412.561462402,15.4820537567
415.061523438,15.0227651596
417.561676025,14.9050130844
420.061828613,14.666888237
422.561981201,14.8967494965
425.062133789,14.9101810455
427.562286377,15.3788204193
430.062438965,15.5954370499
432.562591553,15.7572202682
435.062744141,15.7722816467
437.562896729,15.7373847961
440.063049316,15.8030014038
442.563201904,16.3535957336
445.063354492,16.8291168213
447.56350708,16.8457756042
450.013641357,16.8457756042
450.06362915,16.9611816406
452.56362915,17.0576820374
455.06362915,17.2351779938
457.563659668,17.3414268494
460.063659668,17.2434158325
462.563659668,17.5400505066
465.063690186,17.1860580444
467.563659668,16.6792850494
470.06362915,16.4765548706
472.563598633,16.7034301758
475.063537598,17.2456283569
477.56350708,17.3897953033
480.063476562,17.4518184662
482.563415527,17.362903595
485.06338501,17.8436431885
487.563354492,18.2868499756
490.063323975,17.8798141479
492.563293457,17.6729412079
495.063232422,17.526556015
497.563201904,17.4074783325
500.063171387,17.4219093323
502.563110352,17.5678348541
505.063079834,17.5724811554
507.563049316,17.7342338562
510.063018799,17.1931610107
512.562988281,17.2300262451
515.062988281,17.2637519836
517.563171387,16.7373085022
520.063293457,15.9916687012
522.563476562,15.8537416458
525.063598633,15.7629833221
527.563781738,15.4947557449
530.063903809,15.5815048218
532.564086914,15.4435930252
535.064208984,15.4942207336
537.56439209,15.6414356232
540.06451416,15.5071353912
542.564697266,15.5380506516
545.064819336,15.4338445663
547.565002441,15.5174417496
550.065124512,15.7560653687
552.565307617,15.9018144608
555.065429688,16.2788963318
557.565612793,16.961933136
560.065734863,17.5350265503
562.565917969,18.6060180664
565.066040039,19.3208694458
567.566223145,20.0642414093
570.066345215,20.5479183197
572.56652832,20.4516468048
575.066650391,20.8635444641
577.566833496,20.442150116
580.066955566,19.7054290771
582.567138672,18.9244384766
585.067260742,18.9213676453
587.567443848,18.7420806885
590.067565918,18.4548873901
592.567749023,18.3946151733
595.067871094,18.4957847595
597.568054199,18.2138595581
600.06817627,18.2657718658
602.568359375,18.3506507874
605.068481445,18.5524120331
607.568664551,18.9424247742
610.068786621,19.5417919159
612.568969727,20.2905311584
615.069091797,20.5183181763
617.569274902,20.3028869629
620.069396973,20.475107193
622.569580078,21.2980556488
625.069702148,21.5118255615
627.569885254,21.5653572083
630.070007324,20.8044891357
632.57019043,19.8040866852
635.0703125,19.4054584503
637.570495605,19.5070838928
640.070617676,18.9332790375
642.570800781,18.3670272827
645.070922852,17.6445770264
647.571105957,17.0184211731
650.071228027,16.6136207581
652.571411133,16.1841773987
655.071533203,15.6983718872
657.571716309,15.1345338821
660.071838379,14.6800909042
662.572021484,14.6528396606
665.072143555,14.6240720749
667.57232666,14.844042778
670.07244873,14.6381587982
672.572631836,14.396068573
675.072753906,14.2766695023
677.572937012,14.5622205734
680.073059082,14.8447933197
682.573242188,15.2628364563
685.073364258,15.8156661987
687.573547363,15.9659938812
690.073669434,15.7835321426
692.573852539,15.8809776306
695.073974609,15.515625
697.574157715,15.4795017242
700.024291992,15.4795017242
700.074279785,15.4108276367
702.574279785,15.4725418091
705.074279785,15.8146305084
707.574279785,15.9890260696
710.07434082,16.2598419189
712.57434082,16.7300662994
715.07434082,17.1237335205
717.57434082,16.8311481476
720.074279785,16.1347846985
722.57421875,15.3991603851
725.07421875,14.8189468384
727.574157715,14.6678342819
730.07409668,14.5347261429
732.57409668,14.5608406067
735.074035645,14.319519043
737.573974609,14.4929790497
740.073974609,14.4351663589
742.573913574,14.390291214
745.073913574,14.090461731
747.573852539,13.8727073669
750.073791504,13.7600688934
752.573791504,13.3859462738
755.073730469,12.9935207367
757.573730469,13.0269126892
760.073669434,12.969078064
762.573608398,13.2193183899
765.073669434,13.0647344589
767.573791504,13.1217422485
770.073974609,13.2575931549
772.57409668,13.5606918335
775.074279785,13.9957294464
777.574401855,14.3460063934
780.074584961,14.8326807022
782.574707031,15.098115921
785.074890137,15.5243930817
787.575012207,15.5106916428
790.075195312,15.3994083405
792.575317383,15.3957223892
795.075500488,15.5659236908
797.575622559,15.929769516
800.075805664,16.1751823425
802.575927734,15.9945011139
805.07611084,15.4684734344
807.57623291,14.8492927551
810.076416016,14.5094738007
812.576538086,14.737449646
815.076721191,14.7388153076
817.576843262,14.5486469269
820.077026367,14.4165096283
822.577148438,14.5533037186
825.077331543,14.8754615784
827.577453613,15.1677427292
830.077636719,15.0847969055
832.577758789,15.0888500214
835.077941895,15.0858306885
837.578063965,15.2444572449
840.07824707,14.9029083252
842.578369141,14.2587032318
845.078552246,13.9119625092
847.578674316,13.4744386673
850.078857422,13.5554733276
852.578979492,13.4438667297
855.079162598,13.3880348206
857.579284668,13.3375396729
860.079467773,13.0706253052
862.579589844,13.223154068
865.079772949,13.7664670944
867.57989502,13.9570178986
870.080078125,13.9165172577
872.580200195,14.1198043823
875.080383301,14.7230968475
877.580505371,14.7646274567
880.080688477,14.6744022369
882.580810547,14.6195163727
885.080993652,14.6207141876
887.581115723,14.5696582794
890.081298828,14.3243999481
892.581420898,14.4935626984
895.081604004,14.4299182892
897.581726074,14.7592830658
900.031860352,14.7592830658
