t,heat_flux
0.0399999991059,1.11726478735e-06
2.0399992466,4.09191015933e-05
4.03999757767,6.27949120826e-05
6.03999567032,9.54917341005e-05
8.03999423981,0.000157490081619
10.0399923325,0.000270967604592
12.0399904251,0.000475300330436
14.0399885178,0.0008439674275
16.0399875641,0.00151383236516
18.0400333405,0.00274085672572
20.0400791168,0.00500693265349
22.0401248932,0.00922004692256
24.0401706696,0.0170903205872
26.0402164459,0.031843084842
28.0402622223,0.0595585517585
30.0403079987,0.111655071378
32.0403518677,0.209388509393
34.040397644,0.391676664352
36.0404434204,0.727805256844
38.0404891968,1.33598601818
40.0405349731,2.40659332275
42.0405807495,4.2245182991
44.0406265259,7.16844367981
46.0406723022,11.6271104813
48.0407180786,17.6372928619
50.040763855,23.8683547974
52.0408096313,27.391620636
54.0408554077,24.8671531677
56.0409011841,18.7666053772
58.0409469604,14.7696552277
60.0409927368,12.5841808319
62.0410385132,11.4454441071
64.0410842896,10.6678552628
66.0411300659,10.3480968475
68.0411758423,10.1497859955
70.0412216187,10.3412904739
72.041267395,10.6493968964
74.0413131714,10.9680118561
76.0413589478,11.3780441284
78.0414047241,11.7824068069
80.0414505005,12.1687240601
82.0414962769,12.2155809402
84.0415420532,12.3076534271
86.0415878296,12.5912952423
88.041633606,12.8165168762
90.0416793823,12.9505996704
92.0417251587,13.1672868729
94.0417709351,13.3910655975
96.0418167114,13.3795051575
98.0418624878,13.4932489395
100.041908264,13.4607753754
102.041954041,13.47864151
104.041999817,13.7038974762
106.042045593,13.9046783447
108.04209137,13.9486141205
110.042137146,13.9997997284
112.042182922,14.0369987488
114.042228699,13.8456325531
116.042274475,13.6148290634
118.042320251,13.6773729324
120.042366028,13.5691623688
122.042411804,13.63052845
124.042457581,13.731218338
126.042503357,13.8316173553
128.042541504,14.0341119766
130.042205811,14.1797771454
132.041870117,14.4896993637
134.041534424,14.5920038223
136.04119873,14.9005460739
138.040863037,14.823469162
140.040527344,14.9543533325
142.04019165,15.0719604492
144.039855957,15.3236494064
146.039520264,15.8735923767
148.03918457,16.5844268799
150.038848877,17.0334091187
152.038513184,17.2663345337
154.03817749,17.4329833984
156.037841797,17.4228019714
158.037506104,17.5309848785
160.03717041,17.5690917969
162.036834717,17.3896846771
164.036499023,17.3589382172
166.03616333,17.1828212738
168.035827637,16.6044769287
170.035491943,15.9514446259
172.03515625,15.5438251495
174.034820557,15.3956747055
176.034484863,15.3102903366
178.03414917,15.1098442078
180.033813477,14.5516490936
182.033477783,13.7224712372
184.03314209,13.5765838623
186.032806396,13.8975839615
188.032470703,13.75349617
190.03213501,13.2973384857
192.031799316,13.1045980453
194.031463623,13.0433959961
196.03112793,13.0334758759
198.030792236,12.9311466217
200.030456543,13.1601543427
202.03012085,13.1300640106
204.029785156,13.0440349579
206.029449463,12.9686965942
208.02911377,12.8268051147
210.028778076,12.9059467316
212.028442383,13.202922821
214.028106689,13.3105335236
216.027770996,12.9064598083
218.027435303,12.7453041077
220.027099609,12.6026229858
222.026763916,12.5473670959
224.026428223,12.612282753
226.026092529,12.6555719376
228.025756836,12.7016162872
230.025421143,12.9680805206
232.025085449,13.4483108521
234.024749756,13.8155078888
236.024414062,14.5111503601
238.024078369,14.9887599945
240.023742676,15.2758073807
242.023406982,15.5334787369
244.023071289,15.6074028015
246.022735596,15.8484325409
248.022399902,16.1964740753
249.982070923,16.1964740753
250.022064209,16.2364006042
252.022064209,16.4932899475
254.022064209,16.786939621
256.022064209,16.9125156403
258.022064209,16.8511199951
260.022064209,16.7575492859
262.022064209,16.5759277344
264.022064209,16.3162097931
266.022064209,15.9740943909
268.022094727,15.7276315689
270.022155762,16.0328674316
272.022186279,15.9679079056
274.022247314,15.8576545715
276.022277832,15.5574150085
278.022338867,15.437245369
280.022369385,15.6086978912
282.02243042,15.6219491959
284.022460938,15.5473403931
286.022521973,15.3812561035
288.02255249,15.2850894928
290.022613525,15.3824996948
292.022644043,15.432641983
294.022705078,15.3365097046
296.022735596,15.1721143723
298.022796631,15.0718517303
300.022827148,14.6069393158
302.022888184,14.3677845001
304.022918701,14.5639438629
306.022979736,14.6571369171
308.023010254,14.755654335
310.023071289,14.6487922668
312.023101807,14.4896535873
314.023162842,14.52186203
316.023193359,14.3737440109
318.023254395,14.2172489166
320.023284912,14.2927026749
322.023345947,14.4555253983
324.023376465,14.9454784393
326.0234375,15.2733478546
328.023468018,15.4578151703
330.023529053,15.4066762924
332.02355957,15.4775314331
334.023620605,15.5149154663
336.023651123,15.6918077469
338.023712158,15.9099845886
340.023742676,15.8420944214
342.023803711,16.0365447998
344.023834229,16.4477577209
346.023895264,16.6737251282
348.023925781,16.6421489716
349.983978271,16.6421489716
350.023986816,16.2363567352
352.023986816,16.2326126099
354.023986816,16.3681468964
356.023986816,16.6714477539
358.023986816,16.6961021423
360.023956299,16.4164924622
362.023956299,16.3982543945
364.023956299,16.339963913
366.023956299,16.3012237549
368.024017334,16.3449211121
370.024047852,16.2440128326
372.024108887,16.1825180054
374.024139404,16.2364730835
376.024200439,16.2688541412
378.024230957,16.3045940399
380.024291992,16.4457187653
382.02432251,16.5226516724
384.024383545,16.6183795929
386.024414062,16.5375480652
388.024475098,16.860124588
390.024505615,16.7992172241
392.02456665,16.5724658966
394.024597168,16.2274551392
396.024658203,15.8854913712
398.024688721,15.510184288
400.024749756,15.4198322296
402.024780273,15.1074438095
404.024841309,14.9967041016
406.024871826,14.8375329971
408.024932861,14.8035526276
410.024963379,14.7353858948
412.025024414,14.3893184662
414.025054932,14.2544670105
416.025115967,13.9017543793
418.025146484,13.6153774261
420.02520752,13.6447763443
422.025238037,13.5938930511
424.025299072,13.5699958801
426.02532959,13.4781551361
428.025390625,13.5702514648
430.025421143,13.3999385834
432.025482178,13.1957845688
434.025512695,13.1617393494
436.02557373,13.3272600174
438.025604248,13.4394207001
440.025665283,13.4761219025
442.025695801,13.6493206024
444.025756836,13.8696908951
446.025787354,14.1041173935
448.025848389,14.1719512939
449.985900879,14.1719512939
450.025909424,14.1671552658
452.025909424,14.3870201111
454.025909424,14.6060676575
456.025909424,14.8480453491
458.025909424,14.9370937347
460.025878906,14.97569561
462.025878906,15.0860843658
464.025878906,15.2474918365
466.025878906,15.2363834381
468.025939941,14.984744072
470.025970459,14.8617839813
472.026031494,14.7848958969
474.026062012,14.8061742783
476.026123047,14.918847084
478.026153564,15.2659597397
480.0262146,15.2890548706
482.026245117,15.1961317062
484.026306152,15.043179512
486.02633667,15.1768341064
488.026397705,15.4175052643
490.026428223,15.5603513718
492.026489258,15.6724452972
494.026519775,16.0692939758
496.026580811,16.4263858795
