t,heat_flux
0.0399999991059,1.11384451884e-06
2.0399992466,4.11551409343e-05
4.03999757767,6.39594582026e-05
6.03999567032,9.79065880529e-05
8.03999423981,0.000162017109687
10.0399923325,0.000279489438981
12.0399904251,0.00049152772408
14.0399885178,0.000875110155903
16.0399875641,0.00157385179773
18.0400333405,0.0028571151197
20.0400791168,0.00523340608925
22.0401248932,0.00966279022396
24.0401706696,0.0179578382522
26.0402164459,0.0335457697511
28.0402622223,0.0629024803638
30.0403079987,0.118216231465
32.0403518677,0.222222596407
34.040397644,0.416623681784
36.0404434204,0.775766611099
38.0404891968,1.42660903931
40.0405349731,2.57371377945
42.0405807495,4.52318286896
44.0406265259,7.68071365356
46.0406723022,12.4569225311
48.0407180786,18.8198432922
50.040763855,25.1813545227
52.0408096313,28.2393131256
54.0408554077,25.0244178772
56.0409011841,18.9255523682
58.0409469604,14.9156169891
60.0409927368,12.9052410126
62.0410385132,11.4819459915
64.0410842896,10.7242774963
66.0411300659,10.483165741
68.0411758423,10.4001808167
70.0412216187,10.3089447021
72.041267395,10.5070714951
74.0413131714,10.8280982971
76.0413589478,11.1974430084
78.0414047241,11.6419849396
80.0414505005,11.9879055023
82.0414962769,12.3174333572
84.0415420532,12.6773252487
86.0415878296,12.8719654083
88.041633606,12.6608943939
90.0416793823,12.6393995285
92.0417251587,12.7023983002
94.0417709351,12.5169744492
96.0418167114,12.1261472702
98.0418624878,11.898607254
100.041908264,11.9809036255
102.041954041,12.1308326721
104.041999817,12.2193317413
106.042045593,12.2693891525
108.04209137,12.4898834229
110.042137146,12.7413463593
112.042182922,12.9463119507
114.042228699,13.460981369
116.042274475,14.0402002335
118.042320251,14.1521368027
120.042366028,13.9878416061
122.042411804,13.5656147003
124.042457581,12.956319809
126.042503357,12.521238327
128.042541504,12.4239788055
130.042205811,12.3832035065
132.041870117,12.378742218
134.041534424,12.587934494
136.04119873,12.9469633102
138.040863037,13.3447589874
140.040527344,13.898399353
142.04019165,14.0854759216
144.039855957,14.1743183136
146.039520264,14.4103546143
148.03918457,14.8027114868
150.038848877,14.8957653046
152.038513184,14.978354454
154.03817749,14.8579587936
156.037841797,14.7944545746
158.037506104,14.8489780426
160.03717041,15.0733366013
162.036834717,15.2169141769
164.036499023,15.5098085403
166.03616333,15.9809684753
168.035827637,16.5690498352
170.035491943,17.1926555634
