t,heat_flux
0.0500000007451,1.31059914565e-06
2.54999876022,4.39063296653e-05
5.05000114441,7.29905004846e-05
7.55001068115,0.000133739755256
10.0500202179,0.000266487593763
12.5500297546,0.000547803298105
15.0500392914,0.00114574865438
17.5500183105,0.00243108253926
20.0499801636,0.00522675272077
22.5499420166,0.0113653726876
25.0499038696,0.0249307304621
27.5498657227,0.0550270006061
30.0498275757,0.121828988194
32.5497894287,0.269257158041
35.0497512817,0.589413762093
37.5497131348,1.26313328743
40.0496749878,2.61589455605
42.5496368408,5.17504787445
45.0495986938,9.57382011414
47.5495605469,15.9087467194
50.0495223999,22.7485542297
52.5494842529,24.7569961548
55.049446106,20.5467453003
57.549407959,15.9703598022
60.049369812,12.8152990341
62.549331665,11.4816293716
65.049369812,10.8532276154
67.5495223999,10.8141899109
70.0496749878,11.170425415
72.5498275757,11.906129837
75.0499801636,12.6097860336
77.5501327515,13.1395788193
80.0502853394,13.7356910706
82.5504379272,13.9787158966
85.0505905151,14.019241333
87.550743103,13.9281349182
90.0508956909,14.1720924377
92.5510482788,14.3933124542
95.0512008667,14.5731430054
97.5513534546,15.297246933
100.051506042,15.6805763245
102.55165863,15.8589725494
105.051811218,15.6362419128
107.551963806,15.6057481766
110.052116394,15.9676856995
112.552268982,16.3687400818
115.05242157,16.7158317566
117.552574158,16.9651756287
120.052726746,16.5973720551
122.552879333,16.6486415863
125.053031921,17.0961799622
127.553184509,17.1793994904
130.053329468,17.1653842926
132.553482056,17.0782012939
135.053634644,17.0542640686
137.553787231,17.1185951233
140.053939819,16.9766845703
142.554092407,16.9585552216
145.054244995,16.6490783691
147.554397583,16.2336997986
150.054550171,16.0009880066
152.554702759,15.6171379089
155.054855347,15.5593080521
157.555007935,15.5956315994
160.055160522,15.3812732697
162.55531311,15.0981998444
165.055465698,14.9842090607
167.555618286,15.1185407639
170.055770874,14.9438743591
172.555923462,15.0623970032
175.05607605,14.8585681915
177.556228638,14.7099761963
180.056381226,14.315413475
182.556533813,13.9402732849
