t,heat_flux
0.0399999991059,1.11323015517e-06
2.0399992466,4.11473083659e-05
4.03999757767,6.38907804387e-05
6.03999567032,9.76699375315e-05
8.03999423981,0.00016150882584
10.0399923325,0.000278449733742
12.0399904251,0.000489371188451
14.0399885178,0.00087061629165
16.0399875641,0.00156451226212
18.0400333405,0.00283776386641
20.0400791168,0.00519345514476
22.0401248932,0.00958066061139
24.0401706696,0.0177896693349
26.0402164459,0.0332027263939
28.0402622223,0.0622057504952
30.0403079987,0.116809263825
32.0403518677,0.219404965639
34.040397644,0.411050975323
36.0404434204,0.764947235584
38.0404891968,1.40614748001
40.0405349731,2.53631067276
42.0405807495,4.4575510025
44.0406265259,7.5716342926
46.0406723022,12.2905006409
48.0407180786,18.6044139862
50.040763855,24.9916477203
52.0408096313,28.218711853
54.0408554077,25.186958313
56.0409011841,19.0308876038
58.0409469604,15.0123653412
60.0409927368,12.9522533417
62.0410385132,11.4439430237
64.0410842896,10.7995910645
66.0411300659,10.5910005569
68.0411758423,10.6686525345
70.0412216187,10.8254365921
72.041267395,10.9339103699
74.0413131714,11.3268699646
76.0413589478,11.6978931427
78.0414047241,12.1790332794
80.0414505005,12.5778484344
82.0414962769,12.7802000046
84.0415420532,12.8975458145
86.0415878296,12.8202857971
88.041633606,12.7380161285
90.0416793823,12.929889679
92.0417251587,13.2068881989
94.0417709351,13.4159240723
96.0418167114,13.9012451172
98.0418624878,14.2165088654
100.041908264,14.3506298065
102.041954041,14.6283884048
104.041999817,14.9168510437
106.042045593,14.9700489044
108.04209137,14.7317419052
110.042137146,14.3123397827
112.042182922,14.4574489594
114.042228699,14.3525352478
116.042274475,14.3422966003
118.042320251,14.6024093628
120.042366028,14.9353866577
122.042411804,15.1789798737
124.042457581,15.2250881195
126.042503357,15.0608816147
128.042541504,14.8562831879
130.042205811,14.3740978241
132.041870117,14.0005092621
134.041534424,14.0943450928
136.04119873,14.3543815613
138.040863037,14.4920082092
140.040527344,14.7884626389
142.04019165,15.2837638855
144.039855957,16.0591239929
146.039520264,16.5996284485
148.03918457,17.2607307434
150.038848877,17.7707595825
152.038513184,18.057723999
154.03817749,18.2473888397
156.037841797,18.3969078064
158.037506104,18.7677154541
160.03717041,18.7360038757
162.036834717,18.9183235168
164.036499023,19.054391861
166.03616333,18.6236801147
168.035827637,18.0108032227
170.035491943,17.7472305298
172.03515625,17.3354473114
174.034820557,16.813117981
176.034484863,16.5380935669
178.03414917,16.1995449066
180.033813477,15.6949634552
182.033477783,15.5169706345
184.03314209,15.5564508438
186.032806396,15.8582754135
188.032470703,15.9367208481
190.03213501,16.1533317566
192.031799316,16.4476356506
194.031463623,16.563659668
196.03112793,16.6629619598
198.030792236,16.6690731049
200.030456543,16.6038093567
202.03012085,16.41771698
204.029785156,16.7459411621
206.029449463,16.8599281311
208.02911377,16.5463352203
210.028778076,16.4312705994
212.028442383,16.0478420258
214.028106689,16.1422252655
216.027770996,16.1291503906
218.027435303,16.1585731506
220.027099609,15.9580879211
222.026763916,15.5398139954
224.026428223,15.5993204117
226.026092529,15.7071056366
228.025756836,15.710600853
230.025421143,15.3376979828
232.025085449,14.7782697678
234.024749756,14.6435546875
236.024414062,14.7962989807
238.024078369,15.0525569916
240.023742676,15.0094175339
242.023406982,15.1526622772
244.023071289,15.3010559082
246.022735596,15.3298768997
248.022399902,15.317574501
250.022064209,15.429564476
252.021728516,15.3395767212
254.021392822,15.3162460327
256.021057129,15.3095808029
258.021484375,15.0625705719
260.021911621,15.1998176575
262.022338867,15.2601051331
264.022766113,15.1656322479
266.023193359,15.191988945
268.023620605,15.2014312744
270.024047852,15.3400306702
272.024475098,15.8386096954
274.024902344,16.296705246
276.02532959,16.5550384521
278.025756836,16.5582714081
280.026184082,16.348449707
282.026611328,16.0927753448
284.027038574,15.8657779694
286.02746582,15.8248271942
288.027893066,15.9097824097
290.028320312,15.6043510437
292.028747559,15.5149860382
294.029174805,15.4558591843
296.029602051,15.2554788589
298.030029297,15.0843067169
300.030456543,14.5946855545
302.030883789,14.3750324249
304.031311035,14.3553791046
306.031738281,14.2757940292
308.032165527,14.3624324799
310.032592773,14.5338459015
312.03302002,14.651599884
314.033447266,14.9506721497
316.033874512,15.2418174744
318.034301758,15.4937906265
320.034729004,16.1552619934
322.03515625,16.4488792419
324.035583496,16.7642250061
326.036010742,17.2294692993
328.036437988,17.2228927612
330.036865234,17.2710762024
332.03729248,17.3693981171
334.037719727,17.4067382812
336.038146973,17.8349838257
338.038574219,18.0524024963
340.039001465,18.1648025513
342.039428711,18.4218482971
344.039855957,18.8759670258
346.040283203,19.0132064819
348.040710449,19.3182182312
350.041137695,19.1541595459
352.041564941,18.7006111145
354.041992188,18.3546447754
356.042419434,17.9096641541
358.04284668,17.6494579315
360.043273926,17.209192276
362.043701172,16.9735126495
364.044128418,17.0279846191
366.044555664,16.7719287872
368.04498291,16.1490077972
370.045410156,15.7609729767
372.045837402,15.4157857895
374.046264648,15.3730039597
376.046691895,15.1665496826
378.047119141,14.9671487808
380.047546387,14.5804977417
382.047973633,14.1271038055
384.048400879,13.754360199
386.048828125,13.5998630524
388.049255371,13.5806236267
390.049682617,13.5376396179
392.050109863,13.3809890747
394.050537109,13.4473342896
396.050964355,13.6146640778
398.051391602,13.7333564758
400.011810303,13.7333564758
400.051818848,13.6125545502
402.051818848,13.1684560776
404.051818848,12.7510309219
406.051818848,12.7280569077
408.051818848,12.6573896408
410.05178833,12.5551538467
412.05178833,12.5556354523
414.05178833,12.4805774689
416.05178833,12.3669185638
418.051849365,12.4370174408
420.051879883,12.6726884842
422.051940918,12.8023529053
424.051971436,12.8373155594
426.052032471,12.9206314087
428.052062988,13.0524263382
430.052124023,13.3935518265
432.052154541,13.6497516632
434.052215576,13.7398147583
436.052246094,14.1869010925
438.052307129,14.7674541473
440.052337646,15.1440086365
442.052398682,15.4254007339
444.052429199,15.9199428558
446.052490234,16.5259647369
448.052520752,16.9349441528
450.052581787,17.1780662537
