t,heat_flux
0.0500000007451,1.30955299937e-06
2.54999876022,4.38884489995e-05
5.05000114441,7.28528902982e-05
7.55001068115,0.000133340159664
10.0500202179,0.000265503622359
12.5500297546,0.000545324874111
15.0500392914,0.00113946327474
17.5500183105,0.00241522560827
20.0499801636,0.00518699456006
22.5499420166,0.0112664075568
25.0499038696,0.0246861614287
27.5498657227,0.0544272884727
30.0498275757,0.120373979211
32.5497894287,0.265787869692
35.0497512817,0.581385016441
37.5497131348,1.24540960789
40.0496749878,2.57905960083
42.5496368408,5.103515625
45.0495986938,9.45038223267
47.5495605469,15.740105629
50.0495223999,22.6023788452
52.5494842529,24.8124256134
55.049446106,20.7497348785
57.549407959,16.0718231201
60.049369812,12.9081983566
62.549331665,11.6674795151
65.049369812,11.1699523926
67.5495223999,11.1448402405
70.0496749878,11.4504261017
72.5498275757,11.9046897888
75.0499801636,12.5837783813
77.5501327515,13.2786235809
80.0502853394,14.0068416595
82.5504379272,14.5427732468
85.0505905151,14.7757816315
87.550743103,15.146282196
90.0508956909,15.6606140137
92.5510482788,15.7933454514
95.0512008667,15.8903312683
97.5513534546,15.8771734238
100.051506042,15.9709024429
102.55165863,15.9512290955
105.051811218,15.8973760605
107.551963806,15.7130012512
110.052116394,15.6723613739
112.552268982,16.3293037415
115.05242157,16.7165336609
117.552574158,17.0143318176
120.052726746,17.2655391693
122.552879333,17.2007713318
125.053031921,16.9192352295
127.553184509,16.640625
130.053329468,16.4623451233
132.553482056,15.1318855286
135.053634644,13.9716310501
137.553787231,13.5292167664
140.053939819,13.3325634003
142.554092407,13.3651847839
145.054244995,13.2679538727
147.554397583,13.2412929535
150.054550171,13.5510005951
152.554702759,13.7800350189
155.054855347,14.093536377
157.555007935,14.3623962402
160.055160522,14.7860174179
162.55531311,15.1053180695
165.055465698,15.5066251755
167.555618286,16.4300270081
170.055770874,17.2356472015
172.555923462,17.9900608063
175.05607605,18.7017650604
177.556228638,18.8643035889
180.056381226,18.8107376099
182.556533813,18.9360046387
185.056686401,19.5187950134
187.556838989,19.7077789307
190.056991577,19.4361057281
192.557144165,19.3053970337
195.057296753,18.5228500366
197.557449341,17.6077346802
200.057601929,16.9040145874
202.557754517,16.5154266357
205.057907104,15.5326089859
207.558059692,14.7845211029
210.05821228,14.2863178253
212.558364868,14.2359199524
215.058517456,14.3653945923
217.558670044,14.4670963287
220.058822632,14.823507309
222.55897522,15.2141361237
225.059127808,15.6455373764
227.559280396,16.1747245789
230.059432983,16.753704071
232.559585571,16.9937400818
235.059738159,17.1578865051
237.559890747,17.2942504883
240.060043335,17.529296875
242.560195923,17.9410324097
245.060348511,18.1480560303
247.560501099,18.6047954559
250.060653687,19.1097431183
252.560806274,19.2761459351
255.060958862,19.2646522522
257.560638428,18.7784080505
260.060028076,18.6743011475
262.559417725,18.583694458
265.058807373,18.7169380188
267.558197021,18.3036174774
270.05758667,18.127035141
272.556976318,18.0493621826
275.056365967,17.677526474
277.555755615,16.7003860474
280.055145264,15.7792482376
282.554534912,15.3079395294
285.053924561,14.7460432053
287.553314209,14.4544610977
290.052703857,14.0992431641
292.552093506,14.1937065125
295.051483154,14.0661735535
297.550872803,14.2020664215
300.050262451,14.1245002747
302.5496521,14.3906669617
305.049041748,14.8470478058
307.548431396,15.4241285324
310.047821045,15.9639854431
312.547210693,16.2205104828
315.046600342,16.3317508698
317.54598999,16.5046463013
320.045379639,16.5923080444
322.544769287,16.3886089325
325.044158936,15.9411993027
327.543548584,15.3789243698
330.042938232,15.0381641388
332.542327881,14.8964958191
335.041717529,14.8092460632
337.541107178,14.9682283401
340.040496826,14.9144792557
342.539886475,15.3524837494
345.039276123,15.6826896667
347.538665771,15.7208976746
350.03805542,15.5548152924
352.537445068,15.2983036041
355.036834717,14.9299564362
357.536224365,14.9215183258
360.035614014,15.2919139862
362.535003662,15.1457109451
365.034393311,15.0202207565
367.533782959,15.1157159805
370.033172607,15.4491539001
372.532562256,15.3951015472
375.031951904,15.043258667
377.531341553,15.0452852249
380.030731201,14.9516525269
382.53012085,15.1975393295
385.029510498,15.3425006866
387.528900146,16.2138557434
390.028289795,16.7464294434
392.527679443,17.1433601379
395.027069092,17.675453186
397.52645874,18.0616054535
400.025848389,18.7239322662
402.525238037,19.263130188
405.024627686,19.2639122009
407.524017334,19.0343570709
410.023406982,18.9693336487
412.522796631,18.6686115265
415.022186279,18.1198616028
417.521575928,17.5940055847
420.020965576,17.4987411499
422.520355225,17.1550159454
425.019744873,16.5435752869
427.519134521,16.6810054779
430.01852417,16.8933982849
432.517913818,17.052280426
435.017303467,16.8906650543
437.516693115,16.9099884033
440.016082764,17.112203598
442.515472412,17.5472564697
445.014862061,18.1820793152
447.514251709,18.673789978
450.013641357,18.4687538147
452.513031006,18.2526931763
455.012420654,18.2974014282
457.511810303,18.5036907196
460.011199951,18.69190979
462.5105896,18.4337921143
465.009979248,18.3899860382
467.509368896,18.4356040955
470.008758545,18.5421867371
472.508148193,18.7888183594
475.007537842,19.2780056
477.50692749,19.5837173462
480.006317139,19.9560947418
482.505706787,20.3959407806
485.005096436,20.3725280762
487.504486084,20.1978130341
490.003875732,20.0494556427
492.503265381,19.688709259
495.002655029,18.9156684875
497.502044678,18.1058063507
499.951446533,18.1058063507
500.001434326,17.4584159851
502.501434326,17.4671363831
505.001434326,17.6780891418
507.501464844,17.7547988892
510.001464844,17.6349525452
512.501464844,18.0476360321
515.001464844,18.1394920349
517.501464844,18.5172328949
520.001403809,18.4191493988
522.501403809,18.389995575
525.001342773,18.7815189362
527.501342773,19.1847648621
530.001281738,19.7464256287
532.501220703,20.0140914917
535.001220703,20.1344051361
537.501159668,20.3272247314
540.001098633,20.1248283386
542.501098633,20.0505237579
545.001037598,19.8331165314
547.500976562,19.6497459412
550.000976562,19.3254394531
552.500915527,19.1083335876
555.000915527,18.7379608154
557.500854492,18.1655826569
560.000793457,17.6459102631
562.500793457,17.0184631348
565.000793457,16.3739089966
567.500976562,15.6059064865
570.001098633,15.1433925629
572.501281738,14.8098678589
575.001403809,14.5557575226
577.501586914,14.2706241608
580.001708984,14.1286563873
582.50189209,13.913848877
585.00201416,13.8471088409
587.502197266,13.7504835129
590.002319336,13.6773462296
592.502502441,13.8592014313
595.002624512,14.2073173523
597.502807617,14.4417543411
600.002929688,14.5931043625
602.503112793,14.859670639
605.003234863,14.8143405914
607.503417969,14.8317184448
610.003540039,14.8856334686
612.503723145,15.4097528458
615.003845215,15.8483257294
617.50402832,16.001739502
620.004150391,16.1934509277
622.504333496,16.1718444824
625.004455566,16.1989345551
627.504638672,16.1320343018
630.004760742,16.122379303
632.504943848,15.9810371399
635.005065918,15.938744545
637.505249023,15.7137584686
640.005371094,15.5464134216
642.505554199,15.2765922546
645.00567627,14.8837223053
647.505859375,14.4178829193
650.005981445,14.4614715576
652.506164551,14.1613416672
655.006286621,13.7958965302
657.506469727,13.8110046387
660.006591797,13.8354969025
662.506774902,13.8075551987
665.006896973,13.9745254517
667.507080078,13.7863855362
670.007202148,13.4514694214
672.507385254,13.2218170166
675.007507324,13.3051624298
677.50769043,13.2199840546
680.0078125,13.5435962677
682.507995605,13.6210050583
685.008117676,13.6665840149
687.508300781,13.5073204041
690.008422852,13.5490951538
692.508605957,13.8051996231
695.008728027,13.8082065582
697.508911133,14.0038824081
700.009033203,14.0122356415
702.509216309,14.1290016174
705.009338379,14.3676548004
707.509521484,14.5626468658
710.009643555,14.4465808868
712.50982666,14.6949291229
715.00994873,14.6127967834
717.510131836,14.462143898
720.010253906,14.6869564056
722.510437012,15.1103439331
725.010559082,15.5760641098
727.510742188,15.9384403229
730.010864258,16.1424255371
732.511047363,16.4381465912
735.011169434,16.9279899597
737.511352539,17.4124145508
740.011474609,18.0072288513
742.511657715,18.378868103
745.011779785,18.8343467712
747.511962891,19.0397415161
750.012084961,18.9635047913
752.512268066,19.0890388489
755.012390137,19.0162658691
757.512084961,18.9634628296
760.011474609,18.9538536072
762.510864258,18.8457679749
765.010253906,18.1552696228
767.509643555,17.9552898407
770.009033203,17.6029396057
772.508422852,17.0010490417
775.0078125,16.1693344116
777.507202148,15.8453969955
780.006591797,15.5863027573
782.505981445,15.3825922012
785.005371094,14.8074111938
787.504760742,14.5097637177
790.004150391,14.1484918594
792.503540039,14.156291008
795.002929688,14.2996330261
797.502319336,14.2646045685
800.001708984,14.1640529633
802.501098633,14.0633468628
805.000488281,14.1922340393
807.49987793,14.3417110443
809.999267578,14.4050655365
812.498657227,14.6895275116
814.998046875,15.0436859131
817.497436523,15.4235134125
819.996826172,15.5604572296
822.49621582,15.7809867859
824.995605469,16.1049232483
827.494995117,16.5905380249
829.994384766,16.8966293335
832.493774414,17.0130271912
834.993164062,17.2354660034
837.492553711,17.4843788147
839.991943359,17.5426063538
842.491333008,17.7668399811
844.990722656,17.7349071503
847.490112305,17.5818328857
849.989501953,17.0726585388
852.488891602,17.0777168274
854.98828125,17.0784912109
857.487670898,17.4987869263
859.987060547,17.8673706055
862.486450195,17.7217941284
864.985839844,17.5664291382
867.485229492,17.2018928528
869.984619141,16.5038223267
872.484008789,16.1091995239
874.983398438,15.8699245453
877.482788086,15.9978580475
879.982177734,16.1590499878
882.481567383,16.3372573853
884.980957031,16.1980705261
887.48034668,16.6233024597
889.979736328,16.6709289551
892.479125977,16.7761802673
894.978515625,16.4086303711
897.477905273,15.7688369751
899.927307129,15.7688369751
