t,heat_flux
0.0399999991059,1.11445820039e-06
2.0399992466,4.11624496337e-05
4.03999757767,6.40256039333e-05
6.03999567032,9.81385965133e-05
8.03999423981,0.000162517520948
10.0399923325,0.000280515028862
12.0399904251,0.000493658590131
14.0399885178,0.000879557686858
16.0399875641,0.00158310844563
18.0400333405,0.00287632085383
20.0400791168,0.00527310464531
22.0401248932,0.00974449794739
24.0401706696,0.0181253459305
26.0402164459,0.0338878706098
28.0402622223,0.063598126173
30.0403079987,0.119622536004
32.0403518677,0.22504170239
34.040397644,0.422204077244
36.0404434204,0.7866076231
38.0404891968,1.44711899757
40.0405349731,2.61120915413
42.0405807495,4.58896493912
44.0406265259,7.78994894028
46.0406723022,12.6231145859
48.0407180786,19.0334224701
50.040763855,25.364906311
52.0408096313,28.2456703186
54.0408554077,24.8427200317
56.0409011841,18.7851715088
58.0409469604,14.8227291107
60.0409927368,12.7887382507
62.0410385132,11.4321737289
64.0410842896,10.7024717331
66.0411300659,10.3779735565
68.0411758423,10.1784172058
70.0412216187,10.2471160889
72.041267395,10.4081134796
74.0413131714,10.6263313293
76.0413589478,10.835849762
78.0414047241,11.175403595
80.0414505005,11.408873558
82.0414962769,11.5483675003
84.0415420532,11.7179508209
86.0415878296,12.202296257
88.041633606,12.5942239761
90.0416793823,12.8230485916
92.0417251587,12.9259796143
94.0417709351,13.0003223419
96.0418167114,13.1296138763
98.0418624878,13.3383178711
100.041908264,13.6670036316
102.041954041,14.1620540619
104.041999817,14.4778785706
106.042045593,14.7136211395
108.04209137,14.6611318588
110.042137146,14.7121295929
112.042182922,14.6672286987
114.042228699,14.9005289078
116.042274475,15.326795578
118.042320251,16.0571155548
120.042366028,16.1600151062
122.042411804,15.8844738007
124.042457581,16.1429405212
126.042503357,16.4482498169
128.042541504,16.619178772
130.042205811,16.3099784851
132.041870117,16.1395397186
134.041534424,16.2161026001
136.04119873,16.0911140442
138.040863037,15.7457523346
140.040527344,15.510307312
142.04019165,15.65666008
144.039855957,15.7262020111
146.039520264,16.0948619843
148.03918457,16.0654602051
150.038848877,16.294002533
152.038513184,16.369556427
154.03817749,16.4624881744
156.037841797,16.5865573883
158.037506104,16.5483379364
160.03717041,16.674911499
162.036834717,16.8356895447
164.036499023,16.9401092529
166.03616333,16.9404888153
168.035827637,17.1537246704
170.035491943,17.0070476532
172.03515625,16.7246494293
174.034820557,16.5616073608
176.034484863,16.6279964447
178.03414917,16.7090492249
180.033813477,16.5362110138
182.033477783,16.0601387024
184.03314209,15.6370429993
186.032806396,15.4694910049
188.032470703,15.7521657944
190.03213501,15.9468307495
192.031799316,16.1291809082
194.031463623,16.3431015015
196.03112793,16.6932601929
198.030792236,17.0516872406
200.030456543,17.5445213318
202.03012085,18.1444644928
204.029785156,18.2268257141
206.029449463,18.0968284607
208.02911377,18.0867347717
210.028778076,17.870223999
212.028442383,17.6399822235
214.028106689,17.5866851807
216.027770996,17.3151817322
218.027435303,17.0439624786
220.027099609,17.06016922
222.026763916,16.9645118713
224.026428223,16.9147930145
226.026092529,16.7793998718
228.025756836,16.4683952332
230.025421143,16.1058044434
232.025085449,15.7833566666
234.024749756,15.8893032074
236.024414062,16.0266819
238.024078369,16.1438446045
240.023742676,16.1471920013
242.023406982,15.9709157944
244.023071289,15.6128540039
246.022735596,15.2310733795
248.022399902,15.0072069168
250.022064209,15.0101413727
252.021728516,15.1073703766
254.021392822,15.3014135361
256.021057129,15.5735063553
258.021484375,15.9870567322
260.021911621,16.2827281952
262.022338867,16.6961421967
264.022766113,17.1114082336
266.023193359,17.5505084991
268.023620605,17.8627109528
270.024047852,17.8429756165
272.024475098,17.9525680542
274.024902344,18.0572013855
276.02532959,18.0188007355
278.025756836,17.8250370026
280.026184082,17.8105335236
282.026611328,17.6940574646
284.027038574,17.6931648254
286.02746582,17.5662670135
288.027893066,17.5462112427
290.028320312,17.5545005798
292.028747559,17.4719352722
294.029174805,17.4304542542
296.029602051,17.2026290894
298.030029297,17.0024623871
300.030456543,16.6122360229
302.030883789,16.2786102295
304.031311035,16.1780738831
306.031738281,16.3213996887
308.032165527,16.411895752
310.032592773,16.6582603455
312.03302002,16.7894668579
314.033447266,16.9100532532
316.033874512,16.7737522125
318.034301758,16.8165626526
320.034729004,17.1597976685
322.03515625,17.3072185516
324.035583496,17.2770805359
326.036010742,17.1964836121
328.036437988,17.2502746582
330.036865234,17.406703949
332.03729248,17.8104019165
334.037719727,17.9310760498
336.038146973,17.9535617828
338.038574219,17.7799873352
340.039001465,17.4796867371
342.039428711,17.4896640778
344.039855957,17.549495697
346.040283203,17.4047756195
348.040710449,17.1407756805
350.041137695,17.3597564697
352.041564941,17.861907959
354.041992188,18.097568512
356.042419434,17.8103485107
358.04284668,17.2229728699
360.043273926,16.8843078613
362.043701172,16.2426700592
364.044128418,15.6887016296
366.044555664,15.4759969711
368.04498291,15.4031705856
370.045410156,15.5421524048
372.045837402,15.8563079834
374.046264648,16.0870113373
376.046691895,15.9763612747
378.047119141,15.7919025421
380.047546387,15.5139446259
382.047973633,15.3976039886
384.048400879,15.3637990952
386.048828125,15.4298095703
388.049255371,15.3733701706
390.049682617,15.2989263535
392.050109863,15.5958271027
394.050537109,15.7058210373
396.050964355,15.717590332
398.051391602,15.4162454605
400.011810303,15.4162454605
400.051818848,14.9555187225
402.051818848,14.7790241241
404.051818848,14.6359348297
406.051818848,14.240814209
408.051818848,13.9664564133
410.05178833,14.2212772369
412.05178833,14.4961824417
414.05178833,14.9930534363
416.05178833,15.3477783203
418.051849365,15.6146678925
420.051879883,15.7344884872
422.051940918,16.0416431427
424.051971436,16.3558425903
426.052032471,16.5033531189
428.052062988,16.4881095886
430.052124023,16.3555698395
432.052154541,15.9473276138
434.052215576,15.6766605377
436.052246094,15.3918895721
438.052307129,15.2689170837
440.052337646,14.8755149841
442.052398682,14.7163124084
444.052429199,14.7340869904
446.052490234,14.7903060913
448.052520752,14.9318962097
450.052581787,14.8346061707
452.052612305,14.6150197983
454.05267334,14.5730056763
456.052703857,14.4597167969
458.052764893,14.0598659515
460.05279541,13.8840389252
462.052856445,13.9195861816
464.052886963,13.921628952
466.052947998,14.1576375961
468.052978516,14.4012832642
470.053039551,14.5654706955
472.053070068,14.6152248383
474.053131104,14.4443206787
476.053161621,14.6693077087
478.053222656,14.8513336182
480.053253174,14.8470315933
482.053314209,14.8517456055
484.053344727,14.7064914703
486.053405762,14.6352405548
488.053436279,14.8672370911
490.053497314,14.6082267761
492.053527832,14.2847318649
494.053588867,14.0647172928
496.053619385,14.0187883377
498.05368042,13.9732494354
500.053710938,14.1631336212
502.053771973,14.0312690735
504.05380249,13.9640483856
506.053863525,13.6600055695
508.053894043,13.4940748215
510.053955078,13.4809646606
512.054016113,13.426527977
514.054016113,13.1880693436
516.054077148,13.20008564
518.054138184,12.9329881668
520.054199219,12.6122426987
