t,heat_flux
0.0500000007451,1.31297838379e-06
2.54999876022,4.39152645413e-05
5.05000114441,7.33464694349e-05
7.55001068115,0.000134083355078
10.0500202179,0.000266073417151
12.5500297546,0.000545301823877
15.0500392914,0.00113783066627
17.5500183105,0.00241265213117
20.0499801636,0.00519164185971
22.5499420166,0.0113127939403
25.0499038696,0.0248946994543
27.5498657227,0.0551712438464
30.0498275757,0.122738726437
32.5497894287,0.272835612297
35.0497512817,0.601590871811
37.5497131348,1.30142760277
40.0496749878,2.72399687767
42.5496368408,5.43050384521
45.0495986938,10.1035642624
47.5495605469,17.0380992889
49.9995231628,17.0380992889
50.0495223999,23.9102878571
52.5495223999,25.3462524414
55.0495223999,21.2407150269
57.549533844,15.9641208649
60.0495452881,12.8873128891
62.5495529175,11.5413808823
65.0495605469,10.5883636475
67.5495452881,10.368473053
70.0494995117,10.317908287
72.5494689941,10.5397672653
75.0494232178,11.0281848907
77.5493927002,11.529668808
80.0493469238,12.0615653992
82.5493164062,12.9309930801
85.0492706299,13.9745635986
87.5492401123,14.8759412766
90.0491943359,15.8084945679
92.5491638184,16.7577323914
95.049118042,17.4078941345
97.5490875244,17.4873695374
99.9990463257,17.4873695374
100.049049377,17.5793857574
102.549041748,17.6836738586
105.049049377,17.5727615356
107.549057007,17.2642784119
110.049064636,16.3353672028
112.549072266,15.2246112823
115.049087524,14.9256534576
117.549064636,14.9247694016
120.049026489,14.6731643677
122.548988342,14.5135231018
125.048950195,15.0412321091
127.548912048,15.4222221375
130.048873901,16.0003128052
132.548828125,16.5132446289
135.048797607,16.9164295197
137.54876709,17.2359447479
140.048721313,17.9664497375
142.548675537,18.7876739502
145.04864502,19.8549785614
147.548614502,20.295923233
149.998565674,20.295923233
150.048568726,21.0590553284
152.548568726,21.7080364227
155.048568726,21.7426872253
157.548583984,21.0259914398
160.048583984,20.1166152954
162.548599243,19.1830711365
165.048599243,18.4759292603
167.548583984,18.2094230652
170.048553467,17.9234924316
172.54850769,17.4233474731
175.048461914,16.9770450592
177.548431396,17.0760288239
180.048400879,16.5882339478
182.548355103,15.8205404282
185.048309326,15.4415340424
187.548278809,15.0647068024
190.048248291,14.4445934296
192.548202515,14.1929130554
195.048156738,13.9696626663
197.548126221,13.8045558929
199.998092651,13.8045558929
200.048095703,13.8271856308
202.548095703,13.7213945389
205.048095703,13.8719873428
207.548095703,14.143450737
210.048110962,14.082321167
212.548126221,14.4491443634
215.048126221,14.7498235703
217.548110962,14.869017601
220.048065186,15.000453949
222.548034668,15.2277584076
225.04800415,15.6508197784
227.547958374,16.0003757477
230.047912598,16.3896865845
232.54788208,16.8801422119
235.047851562,17.4968605042
237.547805786,17.8517513275
240.04776001,17.7078666687
242.547729492,17.4695701599
245.047698975,17.1179199219
247.547653198,16.8353404999
249.997619629,16.8353404999
250.047622681,16.6398105621
252.547622681,16.4475269318
255.047622681,16.7932853699
257.547637939,16.7460041046
260.047637939,16.5624523163
262.547637939,16.5234069824
265.047668457,17.2293930054
267.547637939,17.7491111755
270.047607422,17.5368614197
272.547546387,17.6499328613
275.047515869,17.5540008545
277.547485352,17.9061222076
280.047454834,18.5519390106
282.547424316,18.675151825
285.047363281,18.638710022
287.547332764,19.0203742981
290.047302246,19.5555095673
